Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,4,0,0,0,+0,0.000
03-23-2020,61,0,0,0,+57,15.250
03-24-2020,64,0,0,0,+3,1.049
03-25-2020,78,0,0,0,+14,1.219
03-26-2020,83,0,0,0,+5,1.064
03-27-2020,88,0,0,0,+5,1.060
03-28-2020,92,0,0,0,+4,1.045
03-29-2020,93,0,0,0,+1,1.011
03-30-2020,94,2,0,0,+1,1.011
03-31-2020,102,2,0,0,+8,1.085
04-01-2020,107,2,0,0,+5,1.049
04-02-2020,115,2,0,0,+8,1.075
04-03-2020,130,2,0,0,+15,1.130
04-04-2020,137,2,0,0,+7,1.054
04-05-2020,157,2,0,0,+20,1.146
04-06-2020,161,2,0,0,+4,1.025
04-07-2020,175,2,0,0,+14,1.087
04-08-2020,179,2,0,0,+4,1.023
04-09-2020,210,8,0,0,+31,1.173
04-10-2020,225,8,0,0,+15,1.071
04-11-2020,249,9,0,0,+24,1.107
04-12-2020,256,9,0,247,+7,1.028
04-13-2020,273,10,0,263,+17,1.066
04-14-2020,297,10,0,287,+24,1.088
04-15-2020,343,10,0,333,+46,1.155
04-16-2020,355,11,0,344,+12,1.035
04-17-2020,360,11,0,349,+5,1.014
04-18-2020,368,12,0,356,+8,1.022
04-19-2020,377,12,0,365,+9,1.024
04-20-2020,388,12,0,376,+11,1.029
04-21-2020,390,12,0,378,+2,1.005
04-22-2020,404,12,0,392,+14,1.036
04-23-2020,427,12,0,415,+23,1.057
04-24-2020,440,14,0,426,+13,1.030
04-25-2020,471,14,0,457,+31,1.070
04-26-2020,478,14,0,464,+7,1.015
04-27-2020,484,15,0,469,+6,1.013
04-28-2020,490,16,0,474,+6,1.012
04-29-2020,500,16,0,484,+10,1.020
04-30-2020,518,17,0,501,+18,1.036
05-01-2020,527,18,0,509,+9,1.017
05-02-2020,539,19,0,520,+12,1.023
05-03-2020,550,19,0,531,+11,1.020
05-04-2020,551,20,0,531,+1,1.002
05-05-2020,565,21,0,544,+14,1.025
05-06-2020,576,22,0,554,+11,1.019
05-07-2020,588,22,0,566,+12,1.021
05-08-2020,603,22,0,581,+15,1.026
05-09-2020,603,22,0,581,+0,1.000
05-10-2020,627,23,0,604,+24,1.040
05-11-2020,630,23,0,607,+3,1.005
05-12-2020,640,23,0,617,+10,1.016
05-13-2020,647,23,0,624,+7,1.011
05-14-2020,661,23,0,638,+14,1.022
05-15-2020,669,23,0,646,+8,1.012
05-16-2020,683,23,0,660,+14,1.021
05-17-2020,686,23,0,663,+3,1.004
05-18-2020,693,25,0,668,+7,1.010
05-19-2020,713,25,0,688,+20,1.029
05-20-2020,724,28,0,696,+11,1.015
05-21-2020,740,28,0,712,+16,1.022
05-22-2020,761,29,0,732,+21,1.028
05-23-2020,773,29,0,744,+12,1.016
05-24-2020,785,29,0,756,+12,1.016
05-25-2020,793,29,0,764,+8,1.010
05-26-2020,802,30,0,772,+9,1.011
05-27-2020,808,30,0,778,+6,1.007
05-28-2020,830,31,0,799,+22,1.027
05-29-2020,846,34,0,812,+16,1.019
05-30-2020,876,34,0,842,+30,1.035
05-31-2020,888,34,0,854,+12,1.014
06-01-2020,903,34,0,869,+15,1.017
06-02-2020,969,35,0,934,+66,1.073
06-03-2020,1003,35,0,968,+34,1.035
