Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,31,0,0,0,+0,0.000
03-23-2020,31,0,0,0,+0,1.000
03-24-2020,82,0,0,0,+51,2.645
03-25-2020,84,0,0,0,+2,1.024
03-26-2020,94,0,0,0,+10,1.119
03-27-2020,111,0,0,0,+17,1.181
03-28-2020,131,0,0,0,+20,1.180
03-29-2020,144,0,0,0,+13,1.099
03-30-2020,167,0,0,0,+23,1.160
03-31-2020,167,0,0,0,+0,1.000
04-01-2020,207,0,0,0,+40,1.240
04-02-2020,216,0,0,0,+9,1.043
04-03-2020,252,7,0,0,+36,1.167
04-04-2020,283,7,0,0,+31,1.123
04-05-2020,314,7,0,0,+31,1.110
04-06-2020,345,7,0,0,+31,1.099
04-07-2020,402,7,0,0,+57,1.165
04-08-2020,427,7,0,0,+25,1.062
04-09-2020,456,7,0,0,+29,1.068
04-10-2020,487,7,0,0,+31,1.068
04-11-2020,494,7,0,0,+7,1.014
04-12-2020,507,7,0,500,+13,1.026
04-13-2020,507,7,0,500,+0,1.000
04-14-2020,634,7,0,627,+127,1.250
04-15-2020,634,7,0,627,+0,1.000
04-16-2020,634,7,0,627,+0,1.000
04-17-2020,732,7,0,725,+98,1.155
04-18-2020,732,7,0,725,+0,1.000
04-19-2020,778,7,0,771,+46,1.063
04-20-2020,778,7,0,771,+0,1.000
04-21-2020,807,7,0,800,+29,1.037
04-22-2020,831,7,0,824,+24,1.030
04-23-2020,615,7,0,608,+-216,0.740
04-24-2020,619,7,0,612,+4,1.007
04-25-2020,885,7,0,878,+266,1.430
04-26-2020,904,7,0,897,+19,1.021
04-27-2020,925,7,0,918,+21,1.023
04-28-2020,932,7,0,925,+7,1.008
04-29-2020,946,7,0,939,+14,1.015
04-30-2020,970,7,0,963,+24,1.025
05-01-2020,990,7,0,983,+20,1.021
05-02-2020,1003,7,0,996,+13,1.013
05-03-2020,1013,7,0,1006,+10,1.010
05-04-2020,1026,7,0,1019,+13,1.013
05-05-2020,1031,7,0,1024,+5,1.005
05-06-2020,1040,7,0,1033,+9,1.009
05-07-2020,1066,7,0,1059,+26,1.025
05-08-2020,1074,7,0,1067,+8,1.008
05-09-2020,1080,7,0,1073,+6,1.006
05-10-2020,1089,7,0,1082,+9,1.008
05-11-2020,1098,7,0,1091,+9,1.008
05-12-2020,1098,7,0,1091,+0,1.000
05-13-2020,1108,7,0,1101,+10,1.009
05-14-2020,1115,7,0,1108,+7,1.006
05-15-2020,1121,56,0,1065,+6,1.005
05-16-2020,1127,57,0,1070,+6,1.005
05-17-2020,1136,57,0,1079,+9,1.008
05-18-2020,1141,57,0,1084,+5,1.004
05-19-2020,1159,58,0,1101,+18,1.016
05-20-2020,1168,58,0,1110,+9,1.008
05-21-2020,1175,58,0,1117,+7,1.006
05-22-2020,1187,58,0,1129,+12,1.010
05-23-2020,1200,58,0,1142,+13,1.011
05-24-2020,1208,58,0,1150,+8,1.007
05-25-2020,1214,58,0,1156,+6,1.005
05-26-2020,1222,58,0,1164,+8,1.007
05-27-2020,1227,58,0,1169,+5,1.004
05-28-2020,1236,58,0,1178,+9,1.007
05-29-2020,1241,58,0,1183,+5,1.004
05-30-2020,1248,60,0,1188,+7,1.006
05-31-2020,1252,60,0,1192,+4,1.003
06-01-2020,1257,60,0,1197,+5,1.004
06-02-2020,1262,60,0,1202,+5,1.004
06-03-2020,1264,60,0,1204,+2,1.002
