Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,4,0,0,0,+0,0.000
03-23-2020,5,0,0,0,+1,1.250
03-24-2020,5,0,0,0,+0,1.000
03-25-2020,7,0,0,0,+2,1.400
03-26-2020,8,0,0,0,+1,1.143
03-27-2020,9,0,0,0,+1,1.125
03-28-2020,16,0,0,0,+7,1.778
03-29-2020,17,0,0,0,+1,1.062
03-30-2020,21,0,0,0,+4,1.235
03-31-2020,26,0,0,0,+5,1.238
04-01-2020,28,0,0,0,+2,1.077
04-02-2020,35,0,0,0,+7,1.250
04-03-2020,41,0,0,0,+6,1.171
04-04-2020,41,0,0,0,+0,1.000
04-05-2020,54,1,0,0,+13,1.317
04-06-2020,57,2,0,0,+3,1.056
04-07-2020,66,2,0,0,+9,1.158
04-08-2020,66,2,0,0,+0,1.000
04-09-2020,84,2,0,0,+18,1.273
04-10-2020,100,3,0,0,+16,1.190
04-11-2020,105,3,0,0,+5,1.050
04-12-2020,117,3,0,114,+12,1.114
04-13-2020,117,4,0,113,+0,1.000
04-14-2020,135,5,0,130,+18,1.154
04-15-2020,138,6,0,132,+3,1.022
04-16-2020,143,6,0,137,+5,1.036
04-17-2020,157,8,0,149,+14,1.098
04-18-2020,164,8,0,156,+7,1.045
04-19-2020,168,9,0,159,+4,1.024
04-20-2020,174,10,0,164,+6,1.036
04-21-2020,185,10,0,175,+11,1.063
04-22-2020,198,10,0,188,+13,1.070
04-23-2020,215,10,0,205,+17,1.086
04-24-2020,229,10,0,219,+14,1.065
04-25-2020,255,10,0,245,+26,1.114
04-26-2020,270,10,0,260,+15,1.059
04-27-2020,273,10,0,263,+3,1.011
04-28-2020,308,12,0,296,+35,1.128
04-29-2020,317,12,0,305,+9,1.029
04-30-2020,355,12,0,343,+38,1.120
05-01-2020,393,13,0,380,+38,1.107
05-02-2020,408,13,0,395,+15,1.038
05-03-2020,435,13,0,422,+27,1.066
05-04-2020,457,14,0,443,+22,1.051
05-05-2020,535,15,0,520,+78,1.171
05-06-2020,559,15,0,544,+24,1.045
05-07-2020,590,16,0,574,+31,1.055
05-08-2020,634,16,0,618,+44,1.075
05-09-2020,680,16,0,664,+46,1.073
05-10-2020,704,16,0,688,+24,1.035
05-11-2020,724,16,0,708,+20,1.028
05-12-2020,763,17,0,746,+39,1.054
05-13-2020,785,17,0,768,+22,1.029
05-14-2020,833,17,0,816,+48,1.061
05-15-2020,920,18,0,902,+87,1.104
05-16-2020,1004,18,0,986,+84,1.091
05-17-2020,1017,18,0,999,+13,1.013
05-18-2020,1034,18,0,1016,+17,1.017
05-19-2020,1061,19,0,1042,+27,1.026
05-20-2020,1115,20,0,1095,+54,1.051
05-21-2020,1166,20,0,1146,+51,1.046
05-22-2020,1269,22,0,1247,+103,1.088
05-23-2020,1311,22,0,1289,+42,1.033
05-24-2020,1387,22,0,1365,+76,1.058
05-25-2020,1394,25,0,1369,+7,1.005
05-26-2020,1395,25,0,1370,+1,1.001
05-27-2020,1579,28,0,1551,+184,1.132
05-28-2020,1605,33,0,1572,+26,1.016
05-29-2020,1652,35,0,1617,+47,1.029
05-30-2020,1714,36,0,1678,+62,1.038
05-31-2020,1722,37,0,1685,+8,1.005
06-01-2020,1733,40,0,1693,+11,1.006
06-02-2020,1762,41,0,1721,+29,1.017
06-03-2020,1797,41,0,1756,+35,1.020
