Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,18,1,0,0,+0,0.000
03-23-2020,24,1,0,0,+6,1.333
03-24-2020,26,1,0,0,+2,1.083
03-25-2020,27,1,0,0,+1,1.038
03-26-2020,32,2,0,0,+5,1.185
03-27-2020,34,2,0,0,+2,1.062
03-28-2020,42,2,0,0,+8,1.235
03-29-2020,46,2,0,0,+4,1.095
03-30-2020,50,2,0,0,+4,1.087
03-31-2020,56,2,0,0,+6,1.120
04-01-2020,66,2,0,0,+10,1.179
04-02-2020,67,2,0,0,+1,1.015
04-03-2020,71,2,0,0,+4,1.060
04-04-2020,79,2,0,0,+8,1.113
04-05-2020,91,2,0,0,+12,1.152
04-06-2020,96,3,0,0,+5,1.055
04-07-2020,101,3,0,0,+5,1.052
04-08-2020,112,3,0,0,+11,1.109
04-09-2020,121,5,0,0,+9,1.080
04-10-2020,124,5,0,0,+3,1.025
04-11-2020,132,6,0,0,+8,1.065
04-12-2020,152,6,0,146,+20,1.152
04-13-2020,152,6,0,146,+0,1.000
04-14-2020,153,7,0,146,+1,1.007
04-15-2020,164,7,0,157,+11,1.072
04-16-2020,164,7,0,157,+0,1.000
04-17-2020,178,9,0,169,+14,1.085
04-18-2020,192,9,0,183,+14,1.079
04-19-2020,196,9,0,187,+4,1.021
04-20-2020,202,10,0,192,+6,1.031
04-21-2020,215,11,0,204,+13,1.064
04-22-2020,219,11,0,208,+4,1.019
04-23-2020,235,14,0,221,+16,1.073
04-24-2020,247,18,0,229,+12,1.051
04-25-2020,261,20,0,241,+14,1.057
04-26-2020,278,20,0,258,+17,1.065
04-27-2020,297,22,0,275,+19,1.068
04-28-2020,317,22,0,295,+20,1.067
04-29-2020,332,24,0,308,+15,1.047
04-30-2020,374,26,0,348,+42,1.127
05-01-2020,405,29,0,376,+31,1.083
05-02-2020,453,31,0,422,+48,1.119
05-03-2020,493,34,0,459,+40,1.088
05-04-2020,535,34,0,501,+42,1.085
05-05-2020,583,37,0,546,+48,1.090
05-06-2020,656,38,0,618,+73,1.125
05-07-2020,717,39,0,678,+61,1.093
05-08-2020,800,42,0,758,+83,1.116
05-09-2020,875,43,0,832,+75,1.094
05-10-2020,920,45,0,875,+45,1.051
05-11-2020,986,47,0,939,+66,1.072
05-12-2020,1052,49,0,1003,+66,1.067
05-13-2020,1124,55,0,1069,+72,1.068
05-14-2020,1167,56,0,1111,+43,1.038
05-15-2020,1287,61,0,1226,+120,1.103
05-16-2020,1416,67,0,1349,+129,1.100
05-17-2020,1530,71,0,1459,+114,1.081
05-18-2020,1625,72,0,1553,+95,1.062
05-19-2020,1720,74,0,1646,+95,1.058
05-20-2020,1846,80,0,1766,+126,1.073
05-21-2020,1925,86,0,1839,+79,1.043
05-22-2020,2018,93,0,1925,+93,1.048
05-23-2020,2164,94,0,2070,+146,1.072
05-24-2020,2316,97,0,2219,+152,1.070
05-25-2020,2437,97,0,2340,+121,1.052
05-26-2020,2551,98,0,2453,+114,1.047
05-27-2020,2610,103,0,2507,+59,1.023
05-28-2020,2698,110,0,2588,+88,1.034
05-29-2020,2790,115,0,2675,+92,1.034
05-30-2020,2863,122,0,2741,+73,1.026
05-31-2020,3019,124,0,2895,+156,1.054
06-01-2020,3075,128,0,2947,+56,1.019
06-02-2020,3128,133,0,2995,+53,1.017
06-03-2020,3189,134,0,3055,+61,1.020
