Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,2,0,0,0,+0,0.000
03-23-2020,2,0,0,0,+0,1.000
03-24-2020,2,0,0,0,+0,1.000
03-25-2020,2,0,0,0,+0,1.000
03-26-2020,2,0,0,0,+0,1.000
03-27-2020,3,0,0,0,+1,1.500
03-28-2020,3,0,0,0,+0,1.000
03-29-2020,6,0,0,0,+3,2.000
03-30-2020,6,0,0,0,+0,1.000
03-31-2020,10,0,0,0,+4,1.667
04-01-2020,17,0,0,0,+7,1.700
04-02-2020,17,0,0,0,+0,1.000
04-03-2020,21,0,0,0,+4,1.235
04-04-2020,24,0,0,0,+3,1.143
04-05-2020,34,0,0,0,+10,1.417
04-06-2020,36,1,0,0,+2,1.059
04-07-2020,36,1,0,0,+0,1.000
04-08-2020,40,1,0,0,+4,1.111
04-09-2020,52,1,0,0,+12,1.300
04-10-2020,56,1,0,0,+4,1.077
04-11-2020,60,2,0,0,+4,1.071
04-12-2020,64,2,0,62,+4,1.067
04-13-2020,64,2,0,62,+0,1.000
04-14-2020,73,2,0,71,+9,1.141
04-15-2020,73,2,0,71,+0,1.000
04-16-2020,80,2,0,78,+7,1.096
04-17-2020,93,2,0,91,+13,1.163
04-18-2020,97,3,0,94,+4,1.043
04-19-2020,103,3,0,100,+6,1.062
04-20-2020,112,3,0,109,+9,1.087
04-21-2020,115,3,0,112,+3,1.027
