Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,29,0,0,0,+0,0.000
03-23-2020,43,0,0,0,+14,1.483
03-24-2020,45,0,0,0,+2,1.047
03-25-2020,59,0,0,0,+14,1.311
03-26-2020,59,0,0,0,+0,1.000
03-27-2020,65,1,0,0,+6,1.102
03-28-2020,81,2,0,0,+16,1.246
03-29-2020,95,2,0,0,+14,1.173
03-30-2020,135,2,0,0,+40,1.421
03-31-2020,148,2,0,0,+13,1.096
04-01-2020,176,3,0,0,+28,1.189
04-02-2020,200,3,0,0,+24,1.136
04-03-2020,224,5,0,0,+24,1.120
04-04-2020,242,6,0,0,+18,1.080
04-05-2020,298,6,0,0,+56,1.231
04-06-2020,311,7,0,0,+13,1.044
04-07-2020,340,7,0,0,+29,1.093
04-08-2020,340,7,0,0,+0,1.000
04-09-2020,417,10,0,0,+77,1.226
04-10-2020,452,10,0,0,+35,1.084
04-11-2020,479,10,0,0,+27,1.060
04-12-2020,494,10,0,484,+15,1.031
04-13-2020,494,10,0,484,+0,1.000
04-14-2020,535,11,0,524,+41,1.083
04-15-2020,548,12,0,536,+13,1.024
04-16-2020,579,13,0,566,+31,1.057
04-17-2020,612,14,0,598,+33,1.057
04-18-2020,626,14,0,612,+14,1.023
04-19-2020,652,14,0,638,+26,1.042
04-20-2020,657,14,0,643,+5,1.008
04-21-2020,657,14,0,643,+0,1.000
04-22-2020,725,15,0,710,+68,1.104
04-23-2020,736,17,0,719,+11,1.015
04-24-2020,766,17,0,749,+30,1.041
04-25-2020,787,18,0,769,+21,1.027
04-26-2020,837,19,0,818,+50,1.064
04-27-2020,840,19,0,821,+3,1.004
04-28-2020,864,21,0,843,+24,1.029
04-29-2020,884,30,0,854,+20,1.023
04-30-2020,899,33,0,866,+15,1.017
05-01-2020,913,34,0,879,+14,1.016
05-02-2020,946,38,0,908,+33,1.036
05-03-2020,964,40,0,924,+18,1.019
05-04-2020,977,42,0,935,+13,1.013
05-05-2020,990,47,0,943,+13,1.013
05-06-2020,1014,49,0,965,+24,1.024
05-07-2020,1043,52,0,991,+29,1.029
05-08-2020,1057,52,0,1005,+14,1.013
05-09-2020,1082,54,0,1028,+25,1.024
05-10-2020,1100,54,0,1046,+18,1.017
05-11-2020,1119,57,0,1062,+19,1.017
05-12-2020,1145,59,0,1086,+26,1.023
05-13-2020,1167,59,0,1108,+22,1.019
05-14-2020,1180,60,0,1120,+13,1.011
05-15-2020,1196,60,0,1136,+16,1.014
05-16-2020,1222,60,0,1162,+26,1.022
05-17-2020,1238,61,0,1177,+16,1.013
05-18-2020,1250,61,0,1189,+12,1.010
05-19-2020,1267,61,0,1206,+17,1.014
05-20-2020,1287,62,0,1225,+20,1.016
05-21-2020,1302,62,0,1240,+15,1.012
05-22-2020,1333,62,0,1271,+31,1.024
05-23-2020,1349,63,0,1286,+16,1.012
05-24-2020,1361,63,0,1298,+12,1.009
05-25-2020,1366,63,0,1303,+5,1.004
05-26-2020,1386,63,0,1323,+20,1.015
05-27-2020,1405,66,0,1339,+19,1.014
05-28-2020,1432,66,0,1366,+27,1.019
05-29-2020,1461,66,0,1395,+29,1.020
05-30-2020,1485,66,0,1419,+24,1.016
05-31-2020,1518,66,0,1452,+33,1.022
06-01-2020,1530,66,0,1464,+12,1.008
06-02-2020,1542,66,0,1476,+12,1.008
06-03-2020,1542,66,0,1476,+0,1.000
