Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,0,0,0,0,+0,0.000
03-23-2020,8,0,0,0,+8,0.000
03-24-2020,11,0,0,0,+3,1.375
03-25-2020,13,0,0,0,+2,1.182
03-26-2020,14,0,0,0,+1,1.077
03-27-2020,17,0,0,0,+3,1.214
03-28-2020,20,0,0,0,+3,1.176
03-29-2020,25,0,0,0,+5,1.250
03-30-2020,25,0,0,0,+0,1.000
03-31-2020,26,0,0,0,+1,1.040
04-01-2020,33,0,0,0,+7,1.269
04-02-2020,52,0,0,0,+19,1.576
04-03-2020,76,0,0,0,+24,1.462
04-04-2020,96,0,0,0,+20,1.263
04-05-2020,99,0,0,0,+3,1.031
04-06-2020,105,0,0,0,+6,1.061
04-07-2020,110,0,0,0,+5,1.048
04-08-2020,119,0,0,0,+9,1.082
04-09-2020,126,0,0,0,+7,1.059
04-10-2020,139,0,0,0,+13,1.103
04-11-2020,148,0,0,0,+9,1.065
04-12-2020,154,0,0,154,+6,1.041
04-13-2020,167,0,0,167,+13,1.084
04-14-2020,175,0,0,175,+8,1.048
04-15-2020,177,0,0,177,+2,1.011
04-16-2020,188,0,0,188,+11,1.062
04-17-2020,201,10,0,191,+13,1.069
04-18-2020,211,10,0,201,+10,1.050
04-19-2020,231,10,0,221,+20,1.095
04-20-2020,236,10,0,226,+5,1.022
04-21-2020,246,10,0,236,+10,1.042
04-22-2020,250,10,0,240,+4,1.016
04-23-2020,259,13,0,246,+9,1.036
04-24-2020,267,14,0,253,+8,1.031
04-25-2020,287,14,0,273,+20,1.075
04-26-2020,301,14,0,287,+14,1.049
04-27-2020,304,14,0,290,+3,1.010
04-28-2020,312,14,0,298,+8,1.026
04-29-2020,323,14,0,309,+11,1.035
04-30-2020,339,15,0,324,+16,1.050
05-01-2020,364,15,0,349,+25,1.074
05-02-2020,382,16,0,366,+18,1.049
05-03-2020,403,16,0,387,+21,1.055
05-04-2020,419,16,0,403,+16,1.040
05-05-2020,438,16,0,422,+19,1.045
05-06-2020,438,16,0,422,+0,1.000
05-07-2020,473,17,0,456,+35,1.080
05-08-2020,494,18,0,476,+21,1.044
05-09-2020,512,18,0,494,+18,1.036
05-10-2020,530,18,0,512,+18,1.035
05-11-2020,546,18,0,528,+16,1.030
05-12-2020,565,18,0,547,+19,1.035
05-13-2020,592,18,0,574,+27,1.048
05-14-2020,611,18,0,593,+19,1.032
05-15-2020,665,18,0,647,+54,1.088
05-16-2020,741,18,0,723,+76,1.114
05-17-2020,758,18,0,740,+17,1.023
05-18-2020,779,18,0,761,+21,1.028
05-19-2020,811,19,0,792,+32,1.041
05-20-2020,835,19,0,816,+24,1.030
05-21-2020,888,20,0,868,+53,1.063
05-22-2020,934,20,0,914,+46,1.052
05-23-2020,979,19,0,960,+45,1.048
05-24-2020,1012,19,0,993,+33,1.034
05-25-2020,1040,20,0,1020,+28,1.028
05-26-2020,1089,20,0,1069,+49,1.047
05-27-2020,1112,21,0,1091,+23,1.021
05-28-2020,1133,21,0,1112,+21,1.019
05-29-2020,1202,22,0,1180,+69,1.061
05-30-2020,1249,24,0,1225,+47,1.039
05-31-2020,1316,24,0,1292,+67,1.054
06-01-2020,1397,25,0,1372,+81,1.062
06-02-2020,1434,24,0,1410,+37,1.026
06-03-2020,1455,24,0,1431,+21,1.015
