Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,29,6,0,0,+0,0.000
03-23-2020,46,6,0,0,+17,1.586
03-24-2020,57,6,0,0,+11,1.239
03-25-2020,68,7,0,0,+11,1.193
03-26-2020,105,8,0,0,+37,1.544
03-27-2020,149,8,0,0,+44,1.419
03-28-2020,183,8,0,0,+34,1.228
03-29-2020,195,8,0,0,+12,1.066
03-30-2020,291,9,0,0,+96,1.492
03-31-2020,371,13,0,0,+80,1.275
04-01-2020,371,13,0,0,+0,1.000
04-02-2020,493,14,0,0,+122,1.329
04-03-2020,493,14,0,0,+0,1.000
04-04-2020,638,15,0,0,+145,1.294
04-05-2020,799,19,0,0,+161,1.252
04-06-2020,946,25,0,0,+147,1.184
04-07-2020,1016,28,0,0,+70,1.074
04-08-2020,1179,32,0,0,+163,1.160
04-09-2020,1280,33,0,0,+101,1.086
04-10-2020,1350,39,0,0,+70,1.055
04-11-2020,1431,41,0,0,+81,1.060
04-12-2020,1619,41,0,1578,+188,1.131
04-13-2020,1619,41,0,1578,+0,1.000
04-14-2020,1961,50,0,1911,+342,1.211
04-15-2020,1961,50,0,1911,+0,1.000
04-16-2020,2105,54,0,2051,+144,1.073
04-17-2020,2457,69,0,2388,+352,1.167
04-18-2020,2457,69,0,2388,+0,1.000
04-19-2020,2638,75,0,2563,+181,1.074
04-20-2020,2847,85,0,2762,+209,1.079
04-21-2020,2847,85,0,2762,+0,1.000
04-22-2020,2960,93,0,2867,+113,1.040
04-23-2020,3218,100,0,3118,+258,1.087
04-24-2020,3315,112,0,3203,+97,1.030
04-25-2020,3315,112,0,3203,+0,1.000
04-26-2020,3563,118,0,3445,+248,1.075
04-27-2020,3643,141,0,3502,+80,1.022
04-28-2020,3735,141,0,3594,+92,1.025
04-29-2020,3942,143,0,3799,+207,1.055
04-30-2020,4031,149,0,3882,+89,1.023
05-01-2020,4079,156,0,3923,+48,1.012
05-02-2020,4079,156,0,3923,+0,1.000
05-03-2020,4180,161,0,4019,+101,1.025
05-04-2020,4354,181,0,4173,+174,1.042
05-05-2020,4454,184,0,4270,+100,1.023
05-06-2020,4672,186,0,4486,+218,1.049
05-07-2020,4756,192,0,4564,+84,1.018
05-08-2020,4756,192,0,4564,+0,1.000
05-09-2020,4992,204,0,4788,+236,1.050
05-10-2020,4992,204,0,4788,+0,1.000
05-11-2020,5189,217,0,4972,+197,1.039
05-12-2020,5248,225,0,5023,+59,1.011
05-13-2020,5248,225,0,5023,+0,1.000
05-14-2020,5440,235,0,5205,+192,1.037
05-15-2020,5618,242,0,5376,+178,1.033
05-16-2020,5618,242,0,5376,+0,1.000
05-17-2020,5618,242,0,5376,+0,1.000
05-18-2020,5952,261,0,5691,+334,1.059
05-19-2020,6053,270,0,5783,+101,1.017
05-20-2020,6184,270,0,5914,+131,1.022
05-21-2020,6343,284,0,6059,+159,1.026
05-22-2020,6464,290,0,6174,+121,1.019
05-23-2020,6464,290,0,6174,+0,1.000
05-24-2020,6464,290,0,6174,+0,1.000
05-25-2020,7004,292,0,6712,+540,1.084
05-26-2020,7139,303,0,6836,+135,1.019
05-27-2020,7139,303,0,6836,+0,1.000
05-28-2020,7341,313,0,7028,+202,1.028
05-29-2020,7486,323,0,7163,+145,1.020
05-30-2020,7486,323,0,7163,+0,1.000
05-31-2020,7486,323,0,7163,+0,1.000
06-01-2020,7982,331,0,7651,+496,1.066
06-02-2020,8155,342,0,7813,+173,1.022
06-03-2020,8155,342,0,7813,+0,1.000
