Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,28,0,0,0,+0,0.000
03-23-2020,28,0,0,0,+0,1.000
03-24-2020,38,0,0,0,+10,1.357
03-25-2020,42,0,0,0,+4,1.105
03-26-2020,56,0,0,0,+14,1.333
03-27-2020,67,0,0,0,+11,1.196
03-28-2020,75,0,0,0,+8,1.119
03-29-2020,86,0,0,0,+11,1.147
03-30-2020,100,1,0,0,+14,1.163
03-31-2020,137,1,0,0,+37,1.370
04-01-2020,137,1,0,0,+0,1.000
04-02-2020,170,1,0,0,+33,1.241
04-03-2020,170,1,0,0,+0,1.000
04-04-2020,190,1,0,0,+20,1.118
04-05-2020,213,1,0,0,+23,1.121
04-06-2020,246,1,0,0,+33,1.155
04-07-2020,246,1,0,0,+0,1.000
04-08-2020,255,1,0,0,+9,1.037
04-09-2020,268,1,0,0,+13,1.051
04-10-2020,268,1,0,0,+0,1.000
04-11-2020,305,1,0,0,+37,1.138
04-12-2020,314,1,0,313,+9,1.030
04-13-2020,345,1,0,344,+31,1.099
04-14-2020,378,1,0,377,+33,1.096
04-15-2020,399,1,0,398,+21,1.056
04-16-2020,399,1,0,398,+0,1.000
04-17-2020,449,1,0,448,+50,1.125
04-18-2020,466,1,0,465,+17,1.038
04-19-2020,479,1,0,478,+13,1.028
04-20-2020,489,1,0,488,+10,1.021
04-21-2020,493,1,0,492,+4,1.008
04-22-2020,519,1,0,518,+26,1.053
04-23-2020,551,1,0,550,+32,1.062
04-24-2020,568,1,0,567,+17,1.031
04-25-2020,593,1,0,592,+25,1.044
04-26-2020,619,1,0,618,+26,1.044
04-27-2020,643,1,0,642,+24,1.039
04-28-2020,664,1,0,663,+21,1.033
04-29-2020,670,1,0,669,+6,1.009
04-30-2020,692,16,0,676,+22,1.033
05-01-2020,779,16,0,763,+87,1.126
05-02-2020,828,16,0,812,+49,1.063
05-03-2020,862,16,0,846,+34,1.041
05-04-2020,878,16,0,862,+16,1.019
05-05-2020,888,16,0,872,+10,1.011
05-06-2020,903,16,0,887,+15,1.017
05-07-2020,933,28,0,905,+30,1.033
05-08-2020,949,28,0,921,+16,1.017
05-09-2020,964,28,0,936,+15,1.016
05-10-2020,978,28,0,950,+14,1.015
05-11-2020,994,28,0,966,+16,1.016
05-12-2020,1010,28,0,982,+16,1.016
05-13-2020,1021,28,0,993,+11,1.011
05-14-2020,1040,53,0,987,+19,1.019
05-15-2020,1040,53,0,987,+0,1.000
05-16-2020,1095,53,0,1042,+55,1.053
05-17-2020,1104,53,0,1051,+9,1.008
05-18-2020,1113,53,0,1060,+9,1.008
05-19-2020,1138,53,0,1085,+25,1.022
05-20-2020,1159,53,0,1106,+21,1.018
05-21-2020,1179,62,0,1117,+20,1.017
05-22-2020,1199,62,0,1137,+20,1.017
05-23-2020,1218,62,0,1156,+19,1.016
05-24-2020,1223,62,0,1161,+5,1.004
05-25-2020,1230,62,0,1168,+7,1.006
05-26-2020,1240,62,0,1178,+10,1.008
05-27-2020,1254,62,0,1192,+14,1.011
05-28-2020,1277,62,0,1215,+23,1.018
05-29-2020,1284,73,0,1211,+7,1.005
05-30-2020,1284,73,0,1211,+0,1.000
05-31-2020,1306,75,0,1231,+22,1.017
06-01-2020,1313,75,0,1238,+7,1.005
06-02-2020,1320,76,0,1244,+7,1.005
06-03-2020,1336,76,0,1260,+16,1.012
