Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,8,0,0,0,+0,0.000
03-23-2020,9,0,0,0,+1,1.125
03-24-2020,13,0,0,0,+4,1.444
03-25-2020,19,0,0,0,+6,1.462
03-26-2020,27,0,0,0,+8,1.421
03-27-2020,39,0,0,0,+12,1.444
03-28-2020,46,0,0,0,+7,1.179
03-29-2020,48,0,0,0,+2,1.043
03-30-2020,48,0,0,0,+0,1.000
03-31-2020,68,0,0,0,+20,1.417
04-01-2020,86,0,0,0,+18,1.265
04-02-2020,113,1,0,0,+27,1.314
04-03-2020,127,3,0,0,+14,1.124
04-04-2020,140,3,0,0,+13,1.102
04-05-2020,147,3,0,0,+7,1.050
04-06-2020,161,3,0,0,+14,1.095
04-07-2020,178,3,0,0,+17,1.106
04-08-2020,193,3,0,0,+15,1.084
04-09-2020,203,6,0,0,+10,1.052
04-10-2020,222,6,0,0,+19,1.094
04-11-2020,235,6,0,0,+13,1.059
04-12-2020,243,6,0,237,+8,1.034
04-13-2020,250,6,0,244,+7,1.029
04-14-2020,253,6,0,247,+3,1.012
04-15-2020,253,6,0,247,+0,1.000
04-16-2020,269,6,0,263,+16,1.063
04-17-2020,271,6,0,265,+2,1.007
04-18-2020,295,6,0,289,+24,1.089
04-19-2020,309,6,0,303,+14,1.047
04-20-2020,328,7,0,321,+19,1.061
04-21-2020,338,7,0,331,+10,1.030
04-22-2020,338,7,0,331,+0,1.000
04-23-2020,352,7,0,345,+14,1.041
04-24-2020,364,7,0,357,+12,1.034
04-25-2020,387,8,0,379,+23,1.063
04-26-2020,405,9,0,396,+18,1.047
04-27-2020,423,9,0,414,+18,1.044
04-28-2020,434,10,0,424,+11,1.026
04-29-2020,448,11,0,437,+14,1.032
04-30-2020,474,11,0,463,+26,1.058
05-01-2020,502,11,0,491,+28,1.059
05-02-2020,547,11,0,536,+45,1.090
05-03-2020,579,11,0,568,+32,1.059
05-04-2020,603,11,0,592,+24,1.041
05-05-2020,620,12,0,608,+17,1.028
05-06-2020,655,14,0,641,+35,1.056
05-07-2020,661,14,0,647,+6,1.009
05-08-2020,685,14,0,671,+24,1.036
05-09-2020,720,14,0,706,+35,1.051
05-10-2020,725,14,0,711,+5,1.007
05-11-2020,745,14,0,731,+20,1.028
05-12-2020,764,18,0,746,+19,1.026
05-13-2020,780,20,0,760,+16,1.021
05-14-2020,796,19,0,777,+16,1.021
05-15-2020,814,19,0,795,+18,1.023
05-16-2020,847,19,0,828,+33,1.041
05-17-2020,847,19,0,828,+0,1.000
05-18-2020,884,19,0,865,+37,1.044
05-19-2020,906,19,0,887,+22,1.025
05-20-2020,906,19,0,887,+0,1.000
05-21-2020,930,20,0,910,+24,1.026
05-22-2020,950,20,0,930,+20,1.022
05-23-2020,977,22,0,955,+27,1.028
05-24-2020,998,22,0,976,+21,1.021
05-25-2020,1029,22,0,1007,+31,1.031
05-26-2020,1063,22,0,1041,+34,1.033
05-27-2020,1090,22,0,1068,+27,1.025
05-28-2020,1116,22,0,1094,+26,1.024
05-29-2020,1162,22,0,1140,+46,1.041
05-30-2020,1196,23,0,1173,+34,1.029
05-31-2020,1196,23,0,1173,+0,1.000
06-01-2020,1196,23,0,1173,+0,1.000
06-02-2020,1278,27,0,1251,+82,1.069
06-03-2020,1321,28,0,1293,+43,1.034
