Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,53,3,0,0,+0,0.000
03-23-2020,88,4,0,0,+35,1.660
03-24-2020,88,4,0,0,+0,1.000
03-25-2020,113,5,0,0,+25,1.284
03-26-2020,113,5,0,0,+0,1.000
03-27-2020,164,6,0,0,+51,1.451
03-28-2020,164,6,0,0,+0,1.000
03-29-2020,164,6,0,0,+0,1.000
03-30-2020,224,7,0,0,+60,1.366
03-31-2020,224,7,0,0,+0,1.000
04-01-2020,224,7,0,0,+0,1.000
04-02-2020,314,9,0,0,+90,1.402
04-03-2020,390,10,0,0,+76,1.242
04-04-2020,390,10,0,0,+0,1.000
04-05-2020,442,16,0,0,+52,1.133
04-06-2020,462,18,0,0,+20,1.045
04-07-2020,525,21,0,0,+63,1.136
04-08-2020,580,22,0,0,+55,1.105
04-09-2020,580,33,0,0,+0,1.000
04-10-2020,653,24,0,0,+73,1.126
04-11-2020,653,24,0,0,+0,1.000
04-12-2020,707,26,0,681,+54,1.083
04-13-2020,739,27,0,712,+32,1.045
04-14-2020,816,28,0,788,+77,1.104
04-15-2020,853,32,0,821,+37,1.045
04-16-2020,879,32,0,847,+26,1.030
04-17-2020,896,32,0,864,+17,1.019
04-18-2020,914,33,0,881,+18,1.020
04-19-2020,925,34,0,891,+11,1.012
04-20-2020,940,34,0,906,+15,1.016
04-21-2020,954,35,0,919,+14,1.015
04-22-2020,971,36,0,935,+17,1.018
04-23-2020,987,41,0,946,+16,1.016
04-24-2020,1019,41,0,978,+32,1.032
04-25-2020,1019,41,0,978,+0,1.000
04-26-2020,1037,41,0,996,+18,1.018
04-27-2020,1045,41,0,1004,+8,1.008
04-28-2020,1053,41,0,1012,+8,1.008
04-29-2020,1068,42,0,1026,+15,1.014
04-30-2020,1077,43,0,1034,+9,1.008
05-01-2020,1090,42,0,1048,+13,1.012
05-02-2020,1107,42,0,1065,+17,1.016
05-03-2020,1117,42,0,1075,+10,1.009
05-04-2020,1127,47,0,1080,+10,1.009
05-05-2020,1133,47,0,1086,+6,1.005
05-06-2020,1142,47,0,1095,+9,1.008
05-07-2020,1153,49,0,1104,+11,1.010
05-08-2020,1160,50,0,1110,+7,1.006
05-09-2020,1165,50,0,1115,+5,1.004
05-10-2020,1167,50,0,1117,+2,1.002
05-11-2020,1173,50,0,1123,+6,1.005
05-12-2020,1181,50,0,1131,+8,1.007
05-13-2020,1183,51,0,1132,+2,1.002
05-14-2020,1194,54,0,1140,+11,1.009
05-15-2020,1211,54,0,1157,+17,1.014
05-16-2020,1222,54,0,1168,+11,1.009
05-17-2020,1237,55,0,1182,+15,1.012
05-18-2020,1245,56,0,1189,+8,1.006
05-19-2020,1250,56,0,1194,+5,1.004
05-20-2020,1255,56,0,1199,+5,1.004
05-21-2020,1266,56,0,1210,+11,1.009
05-22-2020,1272,56,0,1216,+6,1.005
05-23-2020,1289,56,0,1233,+17,1.013
05-24-2020,1293,56,0,1237,+4,1.003
05-25-2020,1302,56,0,1246,+9,1.007
05-26-2020,1310,56,0,1254,+8,1.006
05-27-2020,1319,56,0,1263,+9,1.007
05-28-2020,1349,56,0,1293,+30,1.023
05-29-2020,1373,56,0,1317,+24,1.018
05-30-2020,1400,56,0,1344,+27,1.020
05-31-2020,1400,56,0,1344,+0,1.000
06-01-2020,1429,58,0,1371,+29,1.021
06-02-2020,1439,58,0,1381,+10,1.007
06-03-2020,1463,58,0,1405,+24,1.017
