Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,2,0,0,0,+0,0.000
03-23-2020,2,0,0,0,+0,1.000
03-24-2020,8,0,0,0,+6,4.000
03-25-2020,9,0,0,0,+1,1.125
03-26-2020,10,0,0,0,+1,1.111
03-27-2020,14,0,0,0,+4,1.400
03-28-2020,19,0,0,0,+5,1.357
03-29-2020,24,0,0,0,+5,1.263
03-30-2020,36,0,0,0,+12,1.500
03-31-2020,51,0,0,0,+15,1.417
04-01-2020,71,0,0,0,+20,1.392
04-02-2020,82,0,0,0,+11,1.155
04-03-2020,90,0,0,0,+8,1.098
04-04-2020,103,0,0,0,+13,1.144
04-05-2020,118,0,0,0,+15,1.146
04-06-2020,139,2,0,0,+21,1.178
04-07-2020,153,3,0,0,+14,1.101
04-08-2020,186,6,0,0,+33,1.216
04-09-2020,205,7,0,0,+19,1.102
04-10-2020,240,9,0,0,+35,1.171
04-11-2020,254,9,0,0,+14,1.058
04-12-2020,274,9,0,265,+20,1.079
04-13-2020,293,13,0,280,+19,1.069
04-14-2020,302,17,0,285,+9,1.031
04-15-2020,313,19,0,294,+11,1.036
04-16-2020,349,20,0,329,+36,1.115
04-17-2020,369,24,0,345,+20,1.057
04-18-2020,394,24,0,370,+25,1.068
04-19-2020,404,24,0,380,+10,1.025
04-20-2020,419,29,0,390,+15,1.037
04-21-2020,433,32,0,401,+14,1.033
04-22-2020,474,35,0,439,+41,1.095
04-23-2020,507,38,0,469,+33,1.070
04-24-2020,534,40,0,494,+27,1.053
04-25-2020,545,43,0,502,+11,1.021
04-26-2020,558,43,0,515,+13,1.024
04-27-2020,586,47,0,539,+28,1.050
04-28-2020,609,52,0,557,+23,1.039
04-29-2020,632,56,0,576,+23,1.038
04-30-2020,663,59,0,604,+31,1.049
05-01-2020,684,63,0,621,+21,1.032
05-02-2020,700,66,0,634,+16,1.023
05-03-2020,720,66,0,654,+20,1.029
05-04-2020,728,68,0,660,+8,1.011
05-05-2020,742,70,0,672,+14,1.019
05-06-2020,760,74,0,686,+18,1.024
05-07-2020,772,78,0,694,+12,1.016
05-08-2020,779,79,0,700,+7,1.009
05-09-2020,780,83,0,697,+1,1.001
05-10-2020,789,83,0,706,+9,1.012
05-11-2020,809,85,0,724,+20,1.025
05-12-2020,829,87,0,742,+20,1.025
05-13-2020,849,90,0,759,+20,1.024
05-14-2020,866,93,0,773,+17,1.020
05-15-2020,877,95,0,782,+11,1.013
05-16-2020,903,97,0,806,+26,1.030
05-17-2020,913,97,0,816,+10,1.011
05-18-2020,930,99,0,831,+17,1.019
05-19-2020,940,99,0,841,+10,1.011
05-20-2020,957,100,0,857,+17,1.018
05-21-2020,968,103,0,865,+11,1.011
05-22-2020,973,104,0,869,+5,1.005
05-23-2020,982,105,0,877,+9,1.009
05-24-2020,989,106,0,883,+7,1.007
05-25-2020,997,106,0,891,+8,1.008
05-26-2020,1000,107,0,893,+3,1.003
05-27-2020,1002,107,0,895,+2,1.002
05-28-2020,1013,108,0,905,+11,1.011
05-29-2020,1018,108,0,910,+5,1.005
05-30-2020,1029,108,0,921,+11,1.011
05-31-2020,1038,108,0,930,+9,1.009
06-01-2020,1048,108,0,940,+10,1.010
06-02-2020,1050,109,0,941,+2,1.002
06-03-2020,1057,109,0,948,+7,1.007
