Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,80,0,0,0,+0,0.000
03-23-2020,109,0,0,0,+29,1.363
03-24-2020,124,0,0,0,+15,1.138
03-25-2020,151,0,0,0,+27,1.218
03-26-2020,178,0,0,0,+27,1.179
03-27-2020,218,0,0,0,+40,1.225
03-28-2020,276,0,0,0,+58,1.266
03-29-2020,321,0,0,0,+45,1.163
03-30-2020,360,2,0,0,+39,1.121
03-31-2020,396,2,0,0,+36,1.100
04-01-2020,396,2,0,0,+0,1.000
04-02-2020,476,4,0,0,+80,1.202
04-03-2020,541,4,0,0,+65,1.137
04-04-2020,650,4,0,0,+109,1.201
04-05-2020,741,4,0,0,+91,1.140
04-06-2020,777,7,0,0,+36,1.049
04-07-2020,807,7,0,0,+30,1.039
04-08-2020,858,7,0,0,+51,1.063
04-09-2020,858,7,0,0,+0,1.000
04-10-2020,1011,7,0,0,+153,1.178
04-11-2020,1071,7,0,0,+60,1.059
04-12-2020,1126,7,0,1119,+55,1.051
04-13-2020,1157,7,0,1150,+31,1.028
04-14-2020,1187,7,0,1180,+30,1.026
04-15-2020,1285,7,0,1278,+98,1.083
04-16-2020,1377,7,0,1370,+92,1.072
04-17-2020,1456,12,0,1444,+79,1.057
04-18-2020,1547,13,0,1534,+91,1.062
04-19-2020,1615,15,0,1600,+68,1.044
04-20-2020,1671,15,0,1656,+56,1.035
04-21-2020,1714,18,0,1696,+43,1.026
