Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,17,0,0,0,+0,0.000
03-23-2020,17,0,0,0,+0,1.000
03-24-2020,31,0,0,0,+14,1.824
03-25-2020,38,1,0,0,+7,1.226
03-26-2020,54,2,0,0,+16,1.421
03-27-2020,54,3,0,0,+0,1.000
03-28-2020,76,3,0,0,+22,1.407
03-29-2020,76,3,0,0,+0,1.000
03-30-2020,111,3,0,0,+35,1.461
03-31-2020,125,4,0,0,+14,1.126
04-01-2020,183,6,0,0,+58,1.464
04-02-2020,254,6,0,0,+71,1.388
04-03-2020,304,8,0,0,+50,1.197
04-04-2020,353,13,0,0,+49,1.161
04-05-2020,372,13,0,0,+19,1.054
04-06-2020,373,13,0,0,+1,1.003
04-07-2020,530,16,0,0,+157,1.421
04-08-2020,547,17,0,0,+17,1.032
04-09-2020,641,20,0,0,+94,1.172
04-10-2020,729,24,0,0,+88,1.137
04-11-2020,810,25,0,0,+81,1.111
04-12-2020,810,25,0,785,+0,1.000
04-13-2020,887,31,0,856,+77,1.095
04-14-2020,977,31,0,946,+90,1.101
04-15-2020,977,31,0,946,+0,1.000
04-16-2020,996,39,0,957,+19,1.019
04-17-2020,1032,47,0,985,+36,1.036
04-18-2020,1219,57,0,1162,+187,1.181
04-19-2020,1286,57,0,1229,+67,1.055
04-20-2020,1406,60,0,1346,+120,1.093
04-21-2020,1489,67,0,1422,+83,1.059
