Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,155,0,0,0,+0,0.000
03-23-2020,201,1,0,0,+46,1.297
03-24-2020,226,1,0,0,+25,1.124
03-25-2020,238,2,0,0,+12,1.053
03-26-2020,293,3,0,0,+55,1.231
03-27-2020,341,3,0,0,+48,1.164
03-28-2020,413,6,0,0,+72,1.211
03-29-2020,484,7,0,0,+71,1.172
03-30-2020,515,7,0,0,+31,1.064
03-31-2020,603,7,0,0,+88,1.171
04-01-2020,733,9,0,0,+130,1.216
04-02-2020,849,15,0,0,+116,1.158
04-03-2020,966,16,0,0,+117,1.138
04-04-2020,1112,17,0,0,+146,1.151
04-05-2020,1209,18,0,0,+97,1.087
