Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,108,0,0,0,+0,0.000
03-23-2020,131,0,0,0,+23,1.213
03-24-2020,152,0,0,0,+21,1.160
03-25-2020,178,1,0,0,+26,1.171
03-26-2020,223,2,0,0,+45,1.253
03-27-2020,279,3,0,0,+56,1.251
03-28-2020,308,4,0,0,+29,1.104
03-29-2020,340,4,0,0,+32,1.104
03-30-2020,374,6,0,0,+34,1.100
03-31-2020,397,6,0,0,+23,1.061
04-01-2020,434,7,0,0,+37,1.093
04-02-2020,450,7,0,0,+16,1.037
04-03-2020,497,7,0,0,+47,1.104
04-04-2020,529,8,0,0,+32,1.064
04-05-2020,568,8,0,0,+39,1.074
04-06-2020,583,9,0,0,+15,1.026
04-07-2020,622,9,0,0,+39,1.067
04-08-2020,676,10,0,0,+54,1.087
04-09-2020,724,10,0,0,+48,1.071
04-10-2020,797,13,0,0,+73,1.101
04-11-2020,857,13,0,0,+60,1.075
04-12-2020,872,14,0,858,+15,1.018
04-13-2020,957,15,0,942,+85,1.097
04-14-2020,987,15,0,972,+30,1.031
04-15-2020,1013,17,0,996,+26,1.026
04-16-2020,1019,17,0,1002,+6,1.006
04-17-2020,1058,20,0,1038,+39,1.038
04-18-2020,1137,20,0,1117,+79,1.075
04-19-2020,1157,20,0,1137,+20,1.018
04-20-2020,1216,20,0,1196,+59,1.051
04-21-2020,1231,20,0,1211,+15,1.012
04-22-2020,1233,21,0,1212,+2,1.002
04-23-2020,1302,21,0,1281,+69,1.056
04-24-2020,1340,22,0,1318,+38,1.029
04-25-2020,1354,22,0,1332,+14,1.010
04-26-2020,1408,22,0,1386,+54,1.040
04-27-2020,1424,23,0,1401,+16,1.011
04-28-2020,1468,23,0,1445,+44,1.031
04-29-2020,1490,23,0,1467,+22,1.015
04-30-2020,1499,25,0,1474,+9,1.006
05-01-2020,1523,28,0,1495,+24,1.016
05-02-2020,1543,29,0,1514,+20,1.013
05-03-2020,1602,29,0,1573,+59,1.038
05-04-2020,1624,29,0,1595,+22,1.014
05-05-2020,1728,31,0,1697,+104,1.064
05-06-2020,1754,31,0,1723,+26,1.015
05-07-2020,1806,32,0,1774,+52,1.030
05-08-2020,1853,33,0,1820,+47,1.026
05-09-2020,1891,33,0,1858,+38,1.021
05-10-2020,1943,34,0,1909,+52,1.027
05-11-2020,1954,35,0,1919,+11,1.006
05-12-2020,1977,35,0,1942,+23,1.012
05-13-2020,1994,35,0,1959,+17,1.009
05-14-2020,1999,35,0,1964,+5,1.003
05-15-2020,2026,36,0,1990,+27,1.014
05-16-2020,2054,36,0,2018,+28,1.014
05-17-2020,2091,36,0,2055,+37,1.018
05-18-2020,2131,36,0,2095,+40,1.019
05-19-2020,2179,36,0,2143,+48,1.023
05-20-2020,2185,37,0,2148,+6,1.003
05-21-2020,2198,37,0,2161,+13,1.006
05-22-2020,2320,40,0,2280,+122,1.056
05-23-2020,2350,40,0,2310,+30,1.013
05-24-2020,2367,40,0,2327,+17,1.007
05-25-2020,2386,40,0,2346,+19,1.008
05-26-2020,2399,40,0,2359,+13,1.005
05-27-2020,2408,40,0,2368,+9,1.004
05-28-2020,2437,40,0,2397,+29,1.012
05-29-2020,2473,41,0,2432,+36,1.015
05-30-2020,2532,41,0,2491,+59,1.024
05-31-2020,2588,42,0,2546,+56,1.022
06-01-2020,2570,43,0,2527,+-18,0.993
06-02-2020,2587,43,0,2544,+17,1.007
06-03-2020,2613,43,0,2570,+26,1.010
