Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,31,2,0,0,+0,0.000
03-23-2020,41,2,0,0,+10,1.323
03-24-2020,51,2,0,0,+10,1.244
03-25-2020,68,3,0,0,+17,1.333
03-26-2020,71,3,0,0,+3,1.044
03-27-2020,90,3,0,0,+19,1.268
03-28-2020,93,4,0,0,+3,1.033
03-29-2020,113,4,0,0,+20,1.215
03-30-2020,123,6,0,0,+10,1.088
03-31-2020,136,6,0,0,+13,1.106
04-01-2020,151,8,0,0,+15,1.110
04-02-2020,173,9,0,0,+22,1.146
04-03-2020,180,9,0,0,+7,1.040
04-04-2020,185,11,0,0,+5,1.028
04-05-2020,191,11,0,0,+6,1.032
04-06-2020,206,11,0,0,+15,1.079
04-07-2020,217,13,0,0,+11,1.053
04-08-2020,223,13,0,0,+6,1.028
04-09-2020,237,14,0,0,+14,1.063
04-10-2020,253,14,0,0,+16,1.068
04-11-2020,257,14,0,0,+4,1.016
04-12-2020,266,15,0,251,+9,1.035
04-13-2020,293,16,0,277,+27,1.102
04-14-2020,314,17,0,297,+21,1.072
04-15-2020,341,17,0,324,+27,1.086
04-16-2020,365,17,0,348,+24,1.070
04-17-2020,371,17,0,354,+6,1.016
04-18-2020,400,17,0,383,+29,1.078
04-19-2020,415,17,0,398,+15,1.038
04-20-2020,428,17,0,411,+13,1.031
04-21-2020,449,18,0,431,+21,1.049
04-22-2020,460,20,0,440,+11,1.024
04-23-2020,487,22,0,465,+27,1.059
04-24-2020,495,24,0,471,+8,1.016
04-25-2020,505,24,0,481,+10,1.020
04-26-2020,512,25,0,487,+7,1.014
04-27-2020,528,25,0,503,+16,1.031
04-28-2020,529,25,0,504,+1,1.002
04-29-2020,540,25,0,515,+11,1.021
04-30-2020,543,25,0,518,+3,1.006
05-01-2020,557,25,0,532,+14,1.026
05-02-2020,560,25,0,535,+3,1.005
05-03-2020,570,25,0,545,+10,1.018
05-04-2020,574,26,0,548,+4,1.007
05-05-2020,578,26,0,552,+4,1.007
05-06-2020,579,27,0,552,+1,1.002
05-07-2020,581,28,0,553,+2,1.003
05-08-2020,597,28,0,569,+16,1.028
05-09-2020,605,28,0,577,+8,1.013
05-10-2020,612,29,0,583,+7,1.012
05-11-2020,621,29,0,592,+9,1.015
05-12-2020,629,30,0,599,+8,1.013
05-13-2020,638,31,0,607,+9,1.014
05-14-2020,644,31,0,613,+6,1.009
05-15-2020,659,31,0,628,+15,1.023
05-16-2020,670,31,0,639,+11,1.017
05-17-2020,689,32,0,657,+19,1.028
05-18-2020,699,32,0,667,+10,1.015
05-19-2020,709,33,0,676,+10,1.014
05-20-2020,716,33,0,683,+7,1.010
05-21-2020,733,33,0,700,+17,1.024
05-22-2020,752,33,0,719,+19,1.026
05-23-2020,752,33,0,719,+0,1.000
05-24-2020,752,33,0,719,+0,1.000
05-25-2020,752,33,0,719,+0,1.000
05-26-2020,771,33,0,738,+19,1.025
05-27-2020,771,33,0,738,+0,1.000
05-28-2020,842,35,0,807,+71,1.092
05-29-2020,858,34,0,824,+16,1.019
05-30-2020,858,34,0,824,+0,1.000
05-31-2020,858,34,0,824,+0,1.000
06-01-2020,908,34,0,874,+50,1.058
06-02-2020,982,35,0,947,+74,1.081
06-03-2020,1080,35,0,1045,+98,1.100
