Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,0,0,0,0,+0,0.000
03-23-2020,3,0,0,0,+3,0.000
03-24-2020,7,0,0,0,+4,2.333
03-25-2020,8,0,0,0,+1,1.143
03-26-2020,8,0,0,0,+0,1.000
03-27-2020,14,0,0,0,+6,1.750
03-28-2020,18,0,0,0,+4,1.286
03-29-2020,22,0,0,0,+4,1.222
03-30-2020,22,0,0,0,+0,1.000
03-31-2020,32,0,0,0,+10,1.455
04-01-2020,47,0,0,0,+15,1.469
04-02-2020,52,0,0,0,+5,1.106
04-03-2020,72,0,0,0,+20,1.385
04-04-2020,72,0,0,0,+0,1.000
04-05-2020,84,0,0,0,+12,1.167
04-06-2020,128,0,0,0,+44,1.524
04-07-2020,156,0,0,0,+28,1.219
04-08-2020,173,0,0,0,+17,1.109
04-09-2020,116,0,0,0,+-57,0.671
04-10-2020,142,0,0,0,+26,1.224
04-11-2020,142,0,0,0,+0,1.000
04-12-2020,151,2,0,149,+9,1.063
04-13-2020,151,2,0,149,+0,1.000
04-14-2020,173,7,0,166,+22,1.146
04-15-2020,200,10,0,190,+27,1.156
04-16-2020,200,10,0,190,+0,1.000
04-17-2020,229,13,0,216,+29,1.145
04-18-2020,260,14,0,246,+31,1.135
04-19-2020,275,15,0,260,+15,1.058
04-20-2020,293,17,0,276,+18,1.065
04-21-2020,293,17,0,276,+0,1.000
04-22-2020,339,22,0,317,+46,1.157
04-23-2020,390,24,0,366,+51,1.150
04-24-2020,420,27,0,393,+30,1.077
04-25-2020,435,33,0,402,+15,1.036
04-26-2020,442,35,0,407,+7,1.016
04-27-2020,463,35,0,428,+21,1.048
04-28-2020,508,36,0,472,+45,1.097
04-29-2020,576,38,0,538,+68,1.134
04-30-2020,621,45,0,576,+45,1.078
05-01-2020,637,49,0,588,+16,1.026
05-02-2020,710,51,0,659,+73,1.115
05-03-2020,736,57,0,679,+26,1.037
05-04-2020,781,57,0,724,+45,1.061
05-05-2020,806,62,0,744,+25,1.032
05-06-2020,844,62,0,782,+38,1.047
05-07-2020,921,62,0,859,+77,1.091
05-08-2020,989,64,0,925,+68,1.074
05-09-2020,1015,69,0,946,+26,1.026
05-10-2020,1034,71,0,963,+19,1.019
05-11-2020,1107,71,0,1036,+73,1.071
05-12-2020,1149,74,0,1075,+42,1.038
05-13-2020,1203,80,0,1123,+54,1.047
05-14-2020,1237,81,0,1156,+34,1.028
05-15-2020,1274,84,0,1190,+37,1.030
05-16-2020,1316,85,0,1231,+42,1.033
05-17-2020,1344,86,0,1258,+28,1.021
05-18-2020,1376,87,0,1289,+32,1.024
05-19-2020,1408,92,0,1316,+32,1.023
05-20-2020,1457,96,0,1361,+49,1.035
05-21-2020,1451,99,0,1352,+-6,0.996
05-22-2020,1490,103,0,1387,+39,1.027
05-23-2020,1490,103,0,1387,+0,1.000
05-24-2020,1558,108,0,1450,+68,1.046
05-25-2020,1581,110,0,1471,+23,1.015
05-26-2020,1605,112,0,1493,+24,1.015
05-27-2020,1642,113,0,1529,+37,1.023
05-28-2020,1662,114,0,1548,+20,1.012
05-29-2020,1692,115,0,1577,+30,1.018
05-30-2020,1715,117,0,1598,+23,1.014
05-31-2020,1733,121,0,1612,+18,1.010
06-01-2020,1771,123,0,1648,+38,1.022
06-02-2020,1813,124,0,1689,+42,1.024
06-03-2020,1821,127,0,1694,+8,1.004
