Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,117,1,0,0,+0,0.000
03-23-2020,142,1,0,0,+25,1.214
03-24-2020,161,1,0,0,+19,1.134
03-25-2020,165,5,0,0,+4,1.025
03-26-2020,195,5,0,0,+30,1.182
03-27-2020,239,6,0,0,+44,1.226
03-28-2020,274,6,0,0,+35,1.146
03-29-2020,277,6,0,0,+3,1.011
03-30-2020,309,6,0,0,+32,1.116
03-31-2020,309,10,0,0,+0,1.000
04-01-2020,388,10,0,0,+79,1.256
04-02-2020,453,10,0,0,+65,1.168
04-03-2020,486,13,0,0,+33,1.073
04-04-2020,538,13,0,0,+52,1.107
04-05-2020,555,13,0,0,+17,1.032
04-06-2020,579,13,0,0,+24,1.043
04-07-2020,589,21,0,0,+10,1.017
04-08-2020,617,21,0,0,+28,1.048
04-09-2020,633,21,0,0,+16,1.026
04-10-2020,638,21,0,0,+5,1.008
04-11-2020,652,21,0,0,+14,1.022
04-12-2020,652,21,0,631,+0,1.000
04-13-2020,701,21,0,680,+49,1.075
04-14-2020,721,21,0,700,+20,1.029
04-15-2020,747,21,0,726,+26,1.036
04-16-2020,767,28,0,739,+20,1.027
04-17-2020,797,28,0,769,+30,1.039
04-18-2020,838,28,0,810,+41,1.051
04-19-2020,838,28,0,810,+0,1.000
04-20-2020,920,28,0,892,+82,1.098
04-21-2020,935,28,0,907,+15,1.016
04-22-2020,958,39,0,919,+23,1.025
04-23-2020,966,39,0,927,+8,1.008
04-24-2020,989,41,0,948,+23,1.024
04-25-2020,1019,41,0,978,+30,1.030
04-26-2020,1019,41,0,978,+0,1.000
04-27-2020,1080,41,0,1039,+61,1.060
04-28-2020,1099,48,0,1051,+19,1.018
04-29-2020,1136,48,0,1088,+37,1.034
04-30-2020,1177,48,0,1129,+41,1.036
05-01-2020,1197,51,0,1146,+20,1.017
05-02-2020,1233,51,0,1182,+36,1.030
05-03-2020,1233,51,0,1182,+0,1.000
05-04-2020,1281,51,0,1230,+48,1.039
05-05-2020,1315,56,0,1259,+34,1.027
05-06-2020,1341,56,0,1285,+26,1.020
05-07-2020,1377,56,0,1321,+36,1.027
05-08-2020,1397,56,0,1341,+20,1.015
05-09-2020,1425,56,0,1369,+28,1.020
05-10-2020,1425,56,0,1369,+0,1.000
05-11-2020,1464,56,0,1408,+39,1.027
05-12-2020,1497,65,0,1432,+33,1.023
05-13-2020,1515,65,0,1450,+18,1.012
05-14-2020,1536,65,0,1471,+21,1.014
05-15-2020,1575,66,0,1509,+39,1.025
05-16-2020,1602,66,0,1536,+27,1.017
05-17-2020,1602,66,0,1536,+0,1.000
05-18-2020,1671,66,0,1605,+69,1.043
05-19-2020,1687,75,0,1612,+16,1.010
05-20-2020,1697,75,0,1622,+10,1.006
05-21-2020,1738,75,0,1663,+41,1.024
05-22-2020,1783,76,0,1707,+45,1.026
05-23-2020,1833,76,0,1757,+50,1.028
05-24-2020,1833,76,0,1757,+0,1.000
05-25-2020,1833,76,0,1757,+0,1.000
05-26-2020,1904,82,0,1822,+71,1.039
05-27-2020,1963,82,0,1881,+59,1.031
05-28-2020,2022,82,0,1940,+59,1.030
05-29-2020,2061,84,0,1977,+39,1.019
05-30-2020,2104,84,0,2020,+43,1.021
05-31-2020,2104,84,0,2020,+0,1.000
06-01-2020,2165,84,0,2081,+61,1.029
06-02-2020,2188,84,0,2104,+23,1.011
06-03-2020,2212,84,0,2128,+24,1.011
