Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,13,0,0,0,+0,0.000
03-23-2020,18,0,0,0,+5,1.385
03-24-2020,18,0,0,0,+0,1.000
03-25-2020,24,0,0,0,+6,1.333
03-26-2020,26,0,0,0,+2,1.083
03-27-2020,32,0,0,0,+6,1.231
03-28-2020,47,0,0,0,+15,1.469
03-29-2020,64,0,0,0,+17,1.362
03-30-2020,68,0,0,0,+4,1.062
03-31-2020,88,0,0,0,+20,1.294
04-01-2020,99,0,0,0,+11,1.125
04-02-2020,111,1,0,0,+12,1.121
04-03-2020,139,1,0,0,+28,1.252
04-04-2020,152,1,0,0,+13,1.094
04-05-2020,168,1,0,0,+16,1.105
04-06-2020,174,2,0,0,+6,1.036
04-07-2020,192,2,0,0,+18,1.103
04-08-2020,218,2,0,0,+26,1.135
04-09-2020,228,2,0,0,+10,1.046
04-10-2020,243,2,0,0,+15,1.066
04-11-2020,260,2,0,0,+17,1.070
04-12-2020,264,2,0,262,+4,1.015
04-13-2020,267,2,0,265,+3,1.011
04-14-2020,284,2,0,282,+17,1.064
04-15-2020,313,2,0,311,+29,1.102
04-16-2020,334,2,0,332,+21,1.067
04-17-2020,354,3,0,351,+20,1.060
04-18-2020,373,3,0,370,+19,1.054
04-19-2020,385,4,0,381,+12,1.032
04-20-2020,394,4,0,390,+9,1.023
04-21-2020,416,4,0,412,+22,1.056
04-22-2020,429,5,0,424,+13,1.031
04-23-2020,451,5,0,446,+22,1.051
04-24-2020,460,6,0,454,+9,1.020
04-25-2020,469,7,0,462,+9,1.020
04-26-2020,469,7,0,462,+0,1.000
04-27-2020,471,7,0,464,+2,1.004
04-28-2020,473,7,0,466,+2,1.004
04-29-2020,485,8,0,477,+12,1.025
04-30-2020,485,8,0,477,+0,1.000
05-01-2020,506,8,0,498,+21,1.043
05-02-2020,506,8,0,498,+0,1.000
05-03-2020,514,8,0,506,+8,1.016
05-04-2020,514,8,0,506,+0,1.000
05-05-2020,526,8,0,518,+12,1.023
05-06-2020,613,9,0,604,+87,1.165
05-07-2020,613,9,0,604,+0,1.000
05-08-2020,722,10,0,712,+109,1.178
05-09-2020,1250,11,0,1239,+528,1.731
05-10-2020,1250,11,0,1239,+0,1.000
05-11-2020,1362,11,0,1351,+112,1.090
05-12-2020,1371,11,0,1360,+9,1.007
05-13-2020,1371,11,0,1360,+0,1.000
05-14-2020,1387,11,0,1376,+16,1.012
05-15-2020,1387,11,0,1376,+0,1.000
05-16-2020,1418,11,0,1407,+31,1.022
05-17-2020,1474,11,0,1463,+56,1.039
05-18-2020,1474,11,0,1463,+0,1.000
05-19-2020,1517,11,0,1506,+43,1.029
05-20-2020,1520,11,0,1509,+3,1.002
05-21-2020,1520,11,0,1509,+0,1.000
05-22-2020,1540,11,0,1529,+20,1.013
05-23-2020,1551,12,0,1539,+11,1.007
05-24-2020,1551,12,0,1539,+0,1.000
05-25-2020,1551,12,0,1539,+0,1.000
05-26-2020,1551,12,0,1539,+0,1.000
05-27-2020,1604,12,0,1592,+53,1.034
05-28-2020,1636,12,0,1624,+32,1.020
05-29-2020,1636,12,0,1624,+0,1.000
05-30-2020,1649,12,0,1637,+13,1.008
05-31-2020,1649,12,0,1637,+0,1.000
06-01-2020,1649,12,0,1637,+0,1.000
06-02-2020,1669,12,0,1657,+20,1.012
06-03-2020,1697,14,0,1683,+28,1.017
