Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,263,8,0,0,+0,0.000
03-23-2020,302,10,0,0,+39,1.148
03-24-2020,375,16,0,0,+73,1.242
03-25-2020,459,17,0,0,+84,1.224
03-26-2020,542,19,0,0,+83,1.181
03-27-2020,574,20,0,0,+32,1.059
03-28-2020,591,25,0,0,+17,1.030
03-29-2020,646,25,0,0,+55,1.093
03-30-2020,848,28,0,0,+202,1.313
03-31-2020,890,30,0,0,+42,1.050
04-01-2020,956,32,0,0,+66,1.074
04-02-2020,1019,36,0,0,+63,1.066
04-03-2020,1019,36,0,0,+0,1.000
04-04-2020,1148,39,0,0,+129,1.127
04-05-2020,1207,39,0,0,+59,1.051
04-06-2020,1207,39,0,0,+0,1.000
04-07-2020,1285,43,0,0,+78,1.065
04-08-2020,1380,46,0,0,+95,1.074
04-09-2020,1380,46,0,0,+0,1.000
04-10-2020,1442,47,0,0,+62,1.045
04-11-2020,1484,50,0,0,+42,1.029
04-12-2020,1566,51,0,1515,+82,1.055
04-13-2020,1666,60,0,1606,+100,1.064
04-14-2020,1666,60,0,1606,+0,1.000
04-15-2020,1793,65,0,1728,+127,1.076
04-16-2020,1833,69,0,1764,+40,1.022
04-17-2020,1870,73,0,1797,+37,1.020
04-18-2020,1870,73,0,1797,+0,1.000
04-19-2020,1870,73,0,1797,+0,1.000
04-20-2020,1922,83,0,1839,+52,1.028
04-21-2020,1922,83,0,1839,+0,1.000
04-22-2020,1962,94,0,1868,+40,1.021
04-23-2020,1987,95,0,1892,+25,1.013
04-24-2020,2018,98,0,1920,+31,1.016
04-25-2020,2040,99,0,1941,+22,1.011
04-26-2020,2084,100,0,1984,+44,1.022
04-27-2020,2105,103,0,2002,+21,1.010
04-28-2020,2122,106,0,2016,+17,1.008
04-29-2020,2134,107,0,2027,+12,1.006
04-30-2020,2163,111,0,2052,+29,1.014
05-01-2020,2179,113,0,2066,+16,1.007
05-02-2020,2205,114,0,2091,+26,1.012
05-03-2020,2231,115,0,2116,+26,1.012
05-04-2020,2244,117,0,2127,+13,1.006
05-05-2020,2255,121,0,2134,+11,1.005
05-06-2020,2268,126,0,2142,+13,1.006
05-07-2020,2281,127,0,2154,+13,1.006
05-08-2020,2290,128,0,2162,+9,1.004
05-09-2020,2307,128,0,2179,+17,1.007
05-10-2020,2339,129,0,2210,+32,1.014
05-11-2020,2341,129,0,2212,+2,1.001
05-12-2020,2362,130,0,2232,+21,1.009
05-13-2020,2364,130,0,2234,+2,1.001
05-14-2020,2391,134,0,2257,+27,1.011
05-15-2020,2391,134,0,2257,+0,1.000
05-16-2020,2418,135,0,2283,+27,1.011
05-17-2020,2453,135,0,2318,+35,1.014
05-18-2020,2453,135,0,2318,+0,1.000
05-19-2020,2483,137,0,2346,+30,1.012
05-20-2020,2492,138,0,2354,+9,1.004
05-21-2020,2492,138,0,2354,+0,1.000
05-22-2020,2492,138,0,2354,+0,1.000
05-23-2020,2571,139,0,2432,+79,1.032
05-24-2020,2617,139,0,2478,+46,1.018
05-25-2020,2652,139,0,2513,+35,1.013
05-26-2020,2675,139,0,2536,+23,1.009
05-27-2020,2688,140,0,2548,+13,1.005
05-28-2020,2701,140,0,2561,+13,1.005
05-29-2020,2707,140,0,2567,+6,1.002
05-30-2020,2731,141,0,2590,+24,1.009
05-31-2020,2776,141,0,2635,+45,1.016
06-01-2020,2776,141,0,2635,+0,1.000
06-02-2020,2819,143,0,2676,+43,1.015
06-03-2020,2832,144,0,2688,+13,1.005
