Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,66,0,0,0,+0,0.000
03-23-2020,93,0,0,0,+27,1.409
03-24-2020,135,0,0,0,+42,1.452
03-25-2020,170,0,0,0,+35,1.259
03-26-2020,198,0,0,0,+28,1.165
03-27-2020,223,0,0,0,+25,1.126
03-28-2020,275,0,0,0,+52,1.233
03-29-2020,362,1,0,0,+87,1.316
03-30-2020,396,1,0,0,+34,1.094
03-31-2020,428,1,0,0,+32,1.081
04-01-2020,496,1,0,0,+68,1.159
04-02-2020,638,7,0,0,+142,1.286
04-03-2020,640,7,0,0,+2,1.003
04-04-2020,689,8,0,0,+49,1.077
04-05-2020,736,11,0,0,+47,1.068
04-06-2020,766,13,0,0,+30,1.041
04-07-2020,835,15,0,0,+69,1.090
04-08-2020,912,17,0,0,+77,1.092
04-09-2020,1006,20,0,0,+94,1.103
04-10-2020,1083,20,0,0,+77,1.077
04-11-2020,1147,26,0,0,+64,1.059
04-12-2020,1215,26,0,1189,+68,1.059
