Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,10,0,0,0,+0,0.000
03-23-2020,10,0,0,0,+0,1.000
03-24-2020,14,0,0,0,+4,1.400
03-25-2020,16,1,0,0,+2,1.143
03-26-2020,21,1,0,0,+5,1.312
03-27-2020,27,1,0,0,+6,1.286
03-28-2020,27,1,0,0,+0,1.000
03-29-2020,31,1,0,0,+4,1.148
03-30-2020,32,1,0,0,+1,1.032
03-31-2020,36,1,0,0,+4,1.125
04-01-2020,37,1,0,0,+1,1.028
04-02-2020,42,1,0,0,+5,1.135
04-03-2020,53,1,0,0,+11,1.262
04-04-2020,57,1,0,0,+4,1.075
04-05-2020,57,1,0,0,+0,1.000
04-06-2020,62,2,0,0,+5,1.088
04-07-2020,75,2,0,0,+13,1.210
04-08-2020,79,2,0,0,+4,1.053
04-09-2020,82,2,0,0,+3,1.038
04-10-2020,88,2,0,0,+6,1.073
04-11-2020,93,2,0,0,+5,1.057
04-12-2020,96,2,0,94,+3,1.032
04-13-2020,96,2,0,94,+0,1.000
04-14-2020,101,2,0,99,+5,1.052
04-15-2020,103,1,0,102,+2,1.020
04-16-2020,108,2,0,106,+5,1.049
04-17-2020,112,2,0,110,+4,1.037
04-18-2020,116,2,0,114,+4,1.036
04-19-2020,121,2,0,119,+5,1.043
04-20-2020,121,2,0,119,+0,1.000
04-21-2020,124,3,0,121,+3,1.025
