Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,480,10,0,0,+0,0.000
03-23-2020,519,11,0,0,+39,1.081
03-24-2020,614,16,0,0,+95,1.183
03-25-2020,634,16,0,0,+20,1.033
03-26-2020,778,18,0,0,+144,1.227
03-27-2020,912,23,0,0,+134,1.172
03-28-2020,913,23,0,0,+1,1.001
03-29-2020,912,23,0,0,+-1,0.999
03-30-2020,1068,23,0,0,+156,1.171
03-31-2020,1229,33,0,0,+161,1.151
04-01-2020,1304,40,0,0,+75,1.061
04-02-2020,1376,41,0,0,+72,1.055
04-03-2020,1376,42,0,0,+0,1.000
04-04-2020,1503,45,0,0,+127,1.092
04-05-2020,1559,48,0,0,+56,1.037
04-06-2020,1603,58,0,0,+44,1.028
04-07-2020,1659,61,0,0,+56,1.035
04-08-2020,1695,63,0,0,+36,1.022
04-09-2020,1745,64,0,0,+50,1.029
04-10-2020,1802,64,0,0,+57,1.033
04-11-2020,1835,68,0,0,+33,1.018
04-12-2020,1867,69,0,1798,+32,1.017
04-13-2020,1907,73,0,1834,+40,1.021
04-14-2020,1950,77,0,1873,+43,1.023
04-15-2020,1988,80,0,1908,+38,1.019
04-16-2020,2032,86,0,1946,+44,1.022
04-17-2020,2056,88,0,1968,+24,1.012
04-18-2020,2093,91,0,2002,+37,1.018
04-19-2020,2143,93,0,2050,+50,1.024
04-20-2020,2163,97,0,2066,+20,1.009
04-21-2020,2189,98,0,2091,+26,1.012
04-22-2020,2209,98,0,2111,+20,1.009
04-23-2020,2216,101,0,2115,+7,1.003
04-24-2020,2243,102,0,2141,+27,1.012
04-25-2020,2297,102,0,2195,+54,1.024
04-26-2020,2311,104,0,2207,+14,1.006
04-27-2020,2332,106,0,2226,+21,1.009
04-28-2020,2365,108,0,2257,+33,1.014
04-29-2020,2389,108,0,2281,+24,1.010
04-30-2020,2433,108,0,2325,+44,1.018
05-01-2020,2453,109,0,2344,+20,1.008
05-02-2020,2493,109,0,2384,+40,1.016
05-03-2020,2509,109,0,2400,+16,1.006
05-04-2020,2537,111,0,2426,+28,1.011
05-05-2020,2549,112,0,2437,+12,1.005
05-06-2020,2584,112,0,2472,+35,1.014
05-07-2020,2627,114,0,2513,+43,1.017
05-08-2020,2634,115,0,2519,+7,1.003
05-09-2020,2664,117,0,2547,+30,1.011
05-10-2020,2681,117,0,2564,+17,1.006
05-11-2020,2690,118,0,2572,+9,1.003
05-12-2020,2711,121,0,2590,+21,1.008
05-13-2020,2720,121,0,2599,+9,1.003
05-14-2020,2739,122,0,2617,+19,1.007
05-15-2020,2756,125,0,2631,+17,1.006
05-16-2020,2773,125,0,2648,+17,1.006
05-17-2020,2784,125,0,2659,+11,1.004
05-18-2020,2797,125,0,2672,+13,1.005
05-19-2020,2818,132,0,2686,+21,1.008
05-20-2020,2826,132,0,2694,+8,1.003
05-21-2020,2846,133,0,2713,+20,1.007
05-22-2020,2863,135,0,2728,+17,1.006
05-23-2020,2863,135,0,2728,+0,1.000
05-24-2020,2895,135,0,2760,+32,1.011
05-25-2020,2904,136,0,2768,+9,1.003
05-26-2020,2916,142,0,2774,+12,1.004
05-27-2020,2927,145,0,2782,+11,1.004
05-28-2020,2937,147,0,2790,+10,1.003
05-29-2020,2945,147,0,2798,+8,1.003
05-30-2020,2956,148,0,2808,+11,1.004
05-31-2020,2967,148,0,2819,+11,1.004
06-01-2020,2976,149,0,2827,+9,1.003
06-02-2020,2987,149,0,2838,+11,1.004
06-03-2020,2991,150,0,2841,+4,1.001
