Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,51,0,0,0,+0,0.000
03-23-2020,67,1,0,0,+16,1.314
03-24-2020,102,1,0,0,+35,1.522
03-25-2020,117,1,0,0,+15,1.147
03-26-2020,179,1,0,0,+62,1.530
03-27-2020,222,1,0,0,+43,1.240
03-28-2020,258,4,0,0,+36,1.162
03-29-2020,295,6,0,0,+37,1.143
03-30-2020,349,6,0,0,+54,1.183
03-31-2020,413,1,0,0,+64,1.183
04-01-2020,472,15,0,0,+59,1.143
04-02-2020,549,17,0,0,+77,1.163
04-03-2020,641,23,0,0,+92,1.168
04-04-2020,765,24,0,0,+124,1.193
04-05-2020,833,26,0,0,+68,1.089
04-06-2020,902,31,0,0,+69,1.083
04-07-2020,1033,40,0,0,+131,1.145
04-08-2020,1160,46,0,0,+127,1.123
