Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,3,0,0,0,+0,0.000
03-23-2020,4,0,0,0,+1,1.333
03-24-2020,7,0,0,0,+3,1.750
03-25-2020,7,0,0,0,+0,1.000
03-26-2020,7,0,0,0,+0,1.000
03-27-2020,15,0,0,0,+8,2.143
03-28-2020,18,0,0,0,+3,1.200
03-29-2020,31,2,0,0,+13,1.722
03-30-2020,36,2,0,0,+5,1.161
03-31-2020,43,2,0,0,+7,1.194
04-01-2020,53,2,0,0,+10,1.233
04-02-2020,55,2,0,0,+2,1.038
04-03-2020,57,2,0,0,+2,1.036
04-04-2020,80,2,0,0,+23,1.404
04-05-2020,86,2,0,0,+6,1.075
04-06-2020,92,2,0,0,+6,1.070
04-07-2020,92,2,0,0,+0,1.000
04-08-2020,127,3,0,0,+35,1.380
04-09-2020,127,3,0,0,+0,1.000
04-10-2020,159,5,0,0,+32,1.252
04-11-2020,173,7,0,0,+14,1.088
04-12-2020,189,8,0,181,+16,1.092
04-13-2020,202,8,0,194,+13,1.069
04-14-2020,220,8,0,212,+18,1.089
04-15-2020,225,10,0,215,+5,1.023
04-16-2020,239,14,0,225,+14,1.062
04-17-2020,254,17,0,237,+15,1.063
04-18-2020,265,17,0,248,+11,1.043
04-19-2020,271,18,0,253,+6,1.023
04-20-2020,276,18,0,258,+5,1.018
04-21-2020,289,18,0,271,+13,1.047
04-22-2020,316,19,0,297,+27,1.093
04-23-2020,330,19,0,311,+14,1.044
04-24-2020,350,19,0,331,+20,1.061
04-25-2020,363,24,0,339,+13,1.037
04-26-2020,391,24,0,367,+28,1.077
04-27-2020,403,24,0,379,+12,1.031
04-28-2020,434,25,0,409,+31,1.077
04-29-2020,442,29,0,413,+8,1.018
04-30-2020,475,30,0,445,+33,1.075
05-01-2020,492,31,0,461,+17,1.036
05-02-2020,507,33,0,474,+15,1.030
05-03-2020,537,33,0,504,+30,1.059
05-04-2020,551,34,0,517,+14,1.026
05-05-2020,579,41,0,538,+28,1.051
05-06-2020,601,42,0,559,+22,1.038
05-07-2020,623,44,0,579,+22,1.037
05-08-2020,648,46,0,602,+25,1.040
05-09-2020,689,49,0,640,+41,1.063
05-10-2020,711,50,0,661,+22,1.032
05-11-2020,719,52,0,667,+8,1.011
05-12-2020,727,53,0,674,+8,1.011
05-13-2020,737,59,0,678,+10,1.014
05-14-2020,759,61,0,698,+22,1.030
05-15-2020,765,63,0,702,+6,1.008
05-16-2020,783,65,0,718,+18,1.024
05-17-2020,805,65,0,740,+22,1.028
05-18-2020,815,66,0,749,+10,1.012
05-19-2020,832,69,0,763,+17,1.021
05-20-2020,858,69,0,789,+26,1.031
05-21-2020,888,69,0,819,+30,1.035
05-22-2020,907,70,0,837,+19,1.021
05-23-2020,939,70,0,869,+32,1.035
05-24-2020,966,71,0,895,+27,1.029
05-25-2020,991,72,0,919,+25,1.026
05-26-2020,1017,73,0,944,+26,1.026
05-27-2020,1035,73,0,962,+18,1.018
05-28-2020,1050,77,0,973,+15,1.014
05-29-2020,1091,79,0,1012,+41,1.039
05-30-2020,1121,80,0,1041,+30,1.027
05-31-2020,1137,82,0,1055,+16,1.014
06-01-2020,1152,82,0,1070,+15,1.013
06-02-2020,1172,86,0,1086,+20,1.017
06-03-2020,1210,89,0,1121,+38,1.032
