Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,8,0,0,0,+0,0.000
03-23-2020,17,0,0,0,+9,2.125
03-24-2020,18,0,0,0,+1,1.059
03-25-2020,19,0,0,0,+1,1.056
03-26-2020,21,0,0,0,+2,1.105
03-27-2020,27,1,0,0,+6,1.286
03-28-2020,31,1,0,0,+4,1.148
03-29-2020,32,1,0,0,+1,1.032
03-30-2020,36,1,0,0,+4,1.125
03-31-2020,49,1,0,0,+13,1.361
04-01-2020,57,1,0,0,+8,1.163
04-02-2020,65,1,0,0,+8,1.140
04-03-2020,72,1,0,0,+7,1.108
04-04-2020,89,1,0,0,+17,1.236
04-05-2020,102,1,0,0,+13,1.146
04-06-2020,112,1,0,0,+10,1.098
04-07-2020,129,1,0,0,+17,1.152
04-08-2020,142,1,0,0,+13,1.101
04-09-2020,150,1,0,0,+8,1.056
04-10-2020,165,2,0,0,+15,1.100
04-11-2020,186,3,0,0,+21,1.127
04-12-2020,192,3,0,189,+6,1.032
04-13-2020,194,3,0,191,+2,1.010
04-14-2020,234,4,0,230,+40,1.206
04-15-2020,273,5,0,268,+39,1.167
04-16-2020,306,7,0,299,+33,1.121
04-17-2020,358,7,0,351,+52,1.170
04-18-2020,388,8,0,380,+30,1.084
04-19-2020,402,8,0,394,+14,1.036
04-20-2020,412,9,0,403,+10,1.025
04-21-2020,442,9,0,433,+30,1.073
04-22-2020,454,10,0,444,+12,1.027
04-23-2020,475,10,0,465,+21,1.046
04-24-2020,515,11,0,504,+40,1.084
04-25-2020,553,11,0,542,+38,1.074
04-26-2020,576,14,0,562,+23,1.042
04-27-2020,586,15,0,571,+10,1.017
04-28-2020,602,16,0,586,+16,1.027
04-29-2020,620,17,0,603,+18,1.030
04-30-2020,633,17,0,616,+13,1.021
05-01-2020,642,19,0,623,+9,1.014
05-02-2020,645,20,0,625,+3,1.005
05-03-2020,658,20,0,638,+13,1.020
05-04-2020,668,20,0,648,+10,1.015
05-05-2020,687,21,0,666,+19,1.028
05-06-2020,714,24,0,690,+27,1.039
05-07-2020,730,24,0,706,+16,1.022
05-08-2020,773,25,0,748,+43,1.059
05-09-2020,785,25,0,760,+12,1.016
05-10-2020,810,25,0,785,+25,1.032
05-11-2020,829,26,0,803,+19,1.023
05-12-2020,847,27,0,820,+18,1.022
05-13-2020,857,28,0,829,+10,1.012
05-14-2020,897,28,0,869,+40,1.047
05-15-2020,921,28,0,893,+24,1.027
05-16-2020,947,28,0,919,+26,1.028
05-17-2020,971,28,0,943,+24,1.025
05-18-2020,984,28,0,956,+13,1.013
05-19-2020,1014,30,0,984,+30,1.030
05-20-2020,1054,31,0,1023,+40,1.039
05-21-2020,1082,32,0,1050,+28,1.027
05-22-2020,1097,33,0,1064,+15,1.014
05-23-2020,1132,34,0,1098,+35,1.032
05-24-2020,1155,34,0,1121,+23,1.020
05-25-2020,1170,34,0,1136,+15,1.013
05-26-2020,1205,34,0,1171,+35,1.030
05-27-2020,1218,34,0,1184,+13,1.011
05-28-2020,1221,34,0,1187,+3,1.002
05-29-2020,1248,34,0,1214,+27,1.022
05-30-2020,1266,34,0,1232,+18,1.014
05-31-2020,1274,34,0,1240,+8,1.006
06-01-2020,1286,34,0,1252,+12,1.009
06-02-2020,1309,34,0,1275,+23,1.018
06-03-2020,1320,35,0,1285,+11,1.008
