Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,10,0,0,0,+0,0.000
03-23-2020,15,1,0,0,+5,1.500
03-24-2020,23,1,0,0,+8,1.533
03-25-2020,44,1,0,0,+21,1.913
03-26-2020,69,1,0,0,+25,1.568
03-27-2020,72,1,0,0,+3,1.043
03-28-2020,95,1,0,0,+23,1.319
03-29-2020,102,1,0,0,+7,1.074
03-30-2020,102,1,0,0,+0,1.000
03-31-2020,150,1,0,0,+48,1.471
04-01-2020,195,1,0,0,+45,1.300
04-02-2020,239,1,0,0,+44,1.226
04-03-2020,239,1,0,0,+0,1.000
04-04-2020,297,5,0,0,+58,1.243
04-05-2020,328,6,0,0,+31,1.104
04-06-2020,358,4,0,0,+30,1.091
04-07-2020,440,10,0,0,+82,1.229
04-08-2020,476,12,0,0,+36,1.082
04-09-2020,514,17,0,0,+38,1.080
04-10-2020,565,13,0,0,+51,1.099
04-11-2020,594,17,0,0,+29,1.051
04-12-2020,645,17,0,628,+51,1.086
04-13-2020,698,19,0,679,+53,1.082
04-14-2020,706,24,0,682,+8,1.011
04-15-2020,723,26,0,697,+17,1.024
04-16-2020,743,27,0,716,+20,1.028
04-17-2020,766,28,0,738,+23,1.031
04-18-2020,808,30,0,778,+42,1.055
04-19-2020,831,30,0,801,+23,1.028
04-20-2020,859,30,0,829,+28,1.034
04-21-2020,882,40,0,842,+23,1.027
04-22-2020,908,42,0,866,+26,1.029
04-23-2020,966,45,0,921,+58,1.064
04-24-2020,1000,48,0,952,+34,1.035
04-25-2020,1019,50,0,969,+19,1.019
04-26-2020,1037,50,0,987,+18,1.018
04-27-2020,1067,57,0,1010,+30,1.029
04-28-2020,1104,59,0,1045,+37,1.035
04-29-2020,1126,60,0,1066,+22,1.020
04-30-2020,1145,64,0,1081,+19,1.017
05-01-2020,1150,65,0,1085,+5,1.004
05-02-2020,1207,65,0,1142,+57,1.050
05-03-2020,1304,70,0,1234,+97,1.080
05-04-2020,1346,71,0,1275,+42,1.032
05-05-2020,1362,78,0,1284,+16,1.012
05-06-2020,1384,82,0,1302,+22,1.016
05-07-2020,1450,83,0,1367,+66,1.048
05-08-2020,1474,85,0,1389,+24,1.017
05-09-2020,1484,86,0,1398,+10,1.007
05-10-2020,1513,88,0,1425,+29,1.020
05-11-2020,1526,90,0,1436,+13,1.009
05-12-2020,1549,91,0,1458,+23,1.015
05-13-2020,1571,95,0,1476,+22,1.014
05-14-2020,1596,95,0,1501,+25,1.016
05-15-2020,1602,95,0,1507,+6,1.004
05-16-2020,1631,96,0,1535,+29,1.018
05-17-2020,1654,97,0,1557,+23,1.014
05-18-2020,1682,100,0,1582,+28,1.017
05-19-2020,1705,108,0,1597,+23,1.014
05-20-2020,1717,109,0,1608,+12,1.007
05-21-2020,1744,109,0,1635,+27,1.016
05-22-2020,1763,110,0,1653,+19,1.011
05-23-2020,1789,110,0,1679,+26,1.015
05-24-2020,1815,112,0,1703,+26,1.015
05-25-2020,1849,112,0,1737,+34,1.019
05-26-2020,1867,116,0,1751,+18,1.010
05-27-2020,1884,117,0,1767,+17,1.009
05-28-2020,1906,118,0,1788,+22,1.012
05-29-2020,1916,118,0,1798,+10,1.005
05-30-2020,1930,130,0,1800,+14,1.007
05-31-2020,1955,130,0,1825,+25,1.013
06-01-2020,1974,130,0,1844,+19,1.010
06-02-2020,1990,131,0,1859,+16,1.008
06-03-2020,2006,132,0,1874,+16,1.008
