Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,22,1,0,0,+0,0.000
03-23-2020,69,1,0,0,+47,3.136
03-24-2020,100,1,0,0,+31,1.449
03-25-2020,129,1,0,0,+29,1.290
03-26-2020,173,2,0,0,+44,1.341
03-27-2020,247,2,0,0,+74,1.428
03-28-2020,313,2,0,0,+66,1.267
03-29-2020,336,2,0,0,+23,1.073
03-30-2020,366,2,0,0,+30,1.089
03-31-2020,492,3,0,0,+126,1.344
04-01-2020,605,3,0,0,+113,1.230
04-02-2020,712,4,0,0,+107,1.177
04-03-2020,712,4,0,0,+0,1.000
04-04-2020,864,7,0,0,+152,1.213
04-05-2020,864,11,0,0,+0,1.000
04-06-2020,1033,13,0,0,+169,1.196
04-07-2020,1203,14,0,0,+170,1.165
04-08-2020,1203,24,0,0,+0,1.000
04-09-2020,1302,26,0,0,+99,1.082
04-10-2020,1498,33,0,0,+196,1.151
04-11-2020,1568,42,0,0,+70,1.047
04-12-2020,1633,42,0,1591,+65,1.041
04-13-2020,1724,42,0,1682,+91,1.056
04-14-2020,1851,53,0,1798,+127,1.074
04-15-2020,1851,53,0,1798,+0,1.000
04-16-2020,2026,66,0,1960,+175,1.095
04-17-2020,2088,72,0,2016,+62,1.031
04-18-2020,2163,80,0,2083,+75,1.036
04-19-2020,2235,81,0,2154,+72,1.033
04-20-2020,2289,82,0,2207,+54,1.024
04-21-2020,2349,91,0,2258,+60,1.026
