Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,22,0,0,0,+0,0.000
03-23-2020,47,0,0,0,+25,2.136
03-24-2020,52,1,0,0,+5,1.106
03-25-2020,67,1,0,0,+15,1.288
03-26-2020,89,1,0,0,+22,1.328
03-27-2020,111,2,0,0,+22,1.247
03-28-2020,134,2,0,0,+23,1.207
03-29-2020,138,3,0,0,+4,1.030
03-30-2020,186,4,0,0,+48,1.348
03-31-2020,220,4,0,0,+34,1.183
04-01-2020,270,6,0,0,+50,1.227
04-02-2020,399,9,0,0,+129,1.478
04-03-2020,435,10,0,0,+36,1.090
04-04-2020,532,14,0,0,+97,1.223
04-05-2020,560,14,0,0,+28,1.053
04-06-2020,637,17,0,0,+77,1.137
04-07-2020,700,17,0,0,+63,1.099
04-08-2020,733,18,0,0,+33,1.047
04-09-2020,777,19,0,0,+44,1.060
04-10-2020,825,27,0,0,+48,1.062
04-11-2020,845,32,0,0,+20,1.024
04-12-2020,864,39,0,825,+19,1.022
04-13-2020,881,48,0,833,+17,1.020
04-14-2020,898,55,0,843,+17,1.019
04-15-2020,924,60,0,864,+26,1.029
04-16-2020,944,60,0,884,+20,1.022
04-17-2020,961,66,0,895,+17,1.018
04-18-2020,987,67,0,920,+26,1.027
04-19-2020,1011,71,0,940,+24,1.024
04-20-2020,1057,73,0,984,+46,1.045
04-21-2020,1067,74,0,993,+10,1.009
