Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,4,0,0,0,+0,0.000
03-23-2020,5,0,0,0,+1,1.250
03-24-2020,5,0,0,0,+0,1.000
03-25-2020,5,0,0,0,+0,1.000
03-26-2020,5,0,0,0,+0,1.000
03-27-2020,5,0,0,0,+0,1.000
03-28-2020,5,0,0,0,+0,1.000
03-29-2020,5,0,0,0,+0,1.000
03-30-2020,5,0,0,0,+0,1.000
03-31-2020,5,0,0,0,+0,1.000
04-01-2020,5,0,0,0,+0,1.000
04-02-2020,5,0,0,0,+0,1.000
04-03-2020,5,0,0,0,+0,1.000
04-04-2020,6,0,0,0,+1,1.200
04-05-2020,6,0,0,0,+0,1.000
04-06-2020,6,0,0,0,+0,1.000
04-07-2020,6,0,0,0,+0,1.000
04-08-2020,7,0,0,0,+1,1.167
04-09-2020,7,0,0,0,+0,1.000
04-10-2020,7,0,0,0,+0,1.000
04-11-2020,7,0,0,0,+0,1.000
04-12-2020,7,0,0,7,+0,1.000
04-13-2020,7,0,0,7,+0,1.000
04-14-2020,7,0,0,7,+0,1.000
04-15-2020,7,0,0,7,+0,1.000
04-16-2020,7,0,0,7,+0,1.000
04-17-2020,14,0,0,14,+7,2.000
04-18-2020,16,0,0,16,+2,1.143
04-19-2020,16,0,0,16,+0,1.000
04-20-2020,17,0,0,17,+1,1.062
04-21-2020,18,0,0,18,+1,1.059
04-22-2020,20,0,0,20,+2,1.111
04-23-2020,25,0,0,25,+5,1.250
04-24-2020,33,0,0,33,+8,1.320
04-25-2020,38,0,0,38,+5,1.152
04-26-2020,38,0,0,38,+0,1.000
04-27-2020,55,0,0,55,+17,1.447
04-28-2020,86,0,0,86,+31,1.564
04-29-2020,166,0,0,166,+80,1.930
04-30-2020,267,0,0,267,+101,1.608
05-01-2020,435,0,0,435,+168,1.629
05-02-2020,531,0,0,531,+96,1.221
05-03-2020,589,0,0,589,+58,1.109
05-04-2020,728,2,0,726,+139,1.236
05-05-2020,815,2,0,813,+87,1.120
05-06-2020,975,3,0,972,+160,1.196
05-07-2020,1161,4,0,1157,+186,1.191
05-08-2020,1274,4,0,1270,+113,1.097
05-09-2020,1348,5,0,1343,+74,1.058
05-10-2020,1405,5,0,1400,+57,1.042
05-11-2020,1443,6,0,1437,+38,1.027
05-12-2020,1512,6,0,1506,+69,1.048
05-13-2020,1558,7,0,1551,+46,1.030
05-14-2020,1609,9,0,1600,+51,1.033
05-15-2020,1641,9,0,1632,+32,1.020
05-16-2020,1675,10,0,1665,+34,1.021
05-17-2020,1713,10,0,1703,+38,1.023
05-18-2020,1740,10,0,1730,+27,1.016
05-19-2020,1782,10,0,1772,+42,1.024
05-20-2020,1831,11,0,1820,+49,1.027
05-21-2020,1853,11,0,1842,+22,1.012
05-22-2020,1881,12,0,1869,+28,1.015
05-23-2020,1918,12,0,1906,+37,1.020
05-24-2020,1923,12,0,1911,+5,1.003
05-25-2020,1950,12,0,1938,+27,1.014
05-26-2020,1959,12,0,1947,+9,1.005
05-27-2020,1984,12,0,1972,+25,1.013
05-28-2020,1995,12,0,1983,+11,1.006
05-29-2020,2001,13,0,1988,+6,1.003
05-30-2020,2014,13,0,2001,+13,1.006
05-31-2020,2021,13,0,2008,+7,1.003
06-01-2020,2030,13,0,2017,+9,1.004
06-02-2020,2042,13,0,2029,+12,1.006
06-03-2020,2047,14,0,2033,+5,1.002
