Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,126,1,0,0,+0,0.000
03-23-2020,154,1,0,0,+28,1.222
03-24-2020,234,1,0,0,+80,1.519
03-25-2020,342,1,0,0,+108,1.462
03-26-2020,448,2,0,0,+106,1.310
03-27-2020,631,2,0,0,+183,1.408
03-28-2020,843,3,0,0,+212,1.336
03-29-2020,940,3,0,0,+97,1.115
03-30-2020,1115,5,0,0,+175,1.186
03-31-2020,1373,6,0,0,+258,1.231
04-01-2020,1624,13,0,0,+251,1.183
04-02-2020,1896,19,0,0,+272,1.167
04-03-2020,2183,21,0,0,+287,1.151
04-04-2020,2429,26,0,0,+246,1.113
04-05-2020,2658,27,0,0,+229,1.094
