Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,1034,9,0,0,+0,0.000
03-23-2020,1458,13,0,0,+424,1.410
03-24-2020,1880,17,0,0,+422,1.289
03-25-2020,2260,20,0,0,+380,1.202
03-26-2020,2735,22,0,0,+475,1.210
03-27-2020,3385,30,0,0,+650,1.238
03-28-2020,4138,30,0,0,+753,1.222
03-29-2020,5023,40,0,0,+885,1.214
03-30-2020,5791,40,0,0,+768,1.153
03-31-2020,6713,44,0,0,+922,1.159
04-01-2020,7605,53,0,0,+892,1.133
04-02-2020,8746,69,0,0,+1141,1.150
04-03-2020,10154,84,0,0,+1408,1.161
04-04-2020,11370,124,0,0,+1216,1.120
04-05-2020,13129,175,0,0,+1759,1.155
04-06-2020,14185,199,0,0,+1056,1.080
04-07-2020,15561,263,0,0,+1376,1.097
04-08-2020,17008,323,0,0,+1447,1.093
04-09-2020,18803,362,0,0,+1795,1.106
04-10-2020,20320,414,0,0,+1517,1.081
04-11-2020,20321,458,0,0,+1,1.000
04-12-2020,20934,518,0,20416,+613,1.030
04-13-2020,21643,568,0,21075,+709,1.034
04-14-2020,22691,608,0,22083,+1048,1.048
04-15-2020,23523,653,0,22870,+832,1.037
04-16-2020,24812,693,0,24119,+1289,1.055
04-17-2020,25035,693,0,24342,+223,1.009
04-18-2020,26143,693,0,25450,+1108,1.044
04-19-2020,26888,693,0,26195,+745,1.028
04-20-2020,28127,859,0,27268,+1239,1.046
04-21-2020,28701,888,0,27813,+574,1.020
04-22-2020,28854,926,0,27928,+153,1.005
04-23-2020,29567,959,0,28608,+713,1.025
04-24-2020,30606,993,0,29613,+1039,1.035
04-25-2020,31368,1042,0,30326,+762,1.025
04-26-2020,32059,1070,0,30989,+691,1.022
04-27-2020,32470,1102,0,31368,+411,1.013
04-28-2020,32724,1131,0,31593,+254,1.008
04-29-2020,33265,1155,0,32110,+541,1.017
04-30-2020,33664,1177,0,32487,+399,1.012
05-01-2020,34037,1203,0,32834,+373,1.011
05-02-2020,34478,1227,0,33251,+441,1.013
05-03-2020,34855,1256,0,33599,+377,1.011
05-04-2020,35077,1273,0,33804,+222,1.006
05-05-2020,35275,1296,0,33979,+198,1.006
05-06-2020,35543,1522,0,34021,+268,1.008
05-07-2020,35892,1547,0,34345,+349,1.010
05-08-2020,36223,1568,0,34655,+331,1.009
05-09-2020,36461,1597,0,34864,+238,1.007
05-10-2020,36702,1617,0,35085,+241,1.007
05-11-2020,36911,1639,0,35272,+209,1.006
05-12-2020,37062,1654,0,35408,+151,1.004
05-13-2020,37305,1680,0,35625,+243,1.007
05-14-2020,37544,1697,0,35847,+239,1.006
05-15-2020,37719,1709,0,36010,+175,1.005
05-16-2020,37942,1733,0,36209,+223,1.006
05-17-2020,38117,1748,0,36369,+175,1.005
05-18-2020,38224,1754,0,36470,+107,1.003
05-19-2020,38327,1772,0,36555,+103,1.003
05-20-2020,38411,1791,0,36620,+84,1.002
05-21-2020,38553,1802,0,36751,+142,1.004
05-22-2020,38672,1814,0,36858,+119,1.003
05-23-2020,38802,1822,0,36980,+130,1.003
05-24-2020,38964,1834,0,37130,+162,1.004
05-25-2020,39090,1840,0,37250,+126,1.003
05-26-2020,39199,1851,0,37348,+109,1.003
05-27-2020,39258,1861,0,37397,+59,1.002
05-28-2020,39359,1871,0,37488,+101,1.003
05-29-2020,39445,1879,0,37566,+86,1.002
05-30-2020,39532,1892,0,37640,+87,1.002
05-31-2020,39643,1901,0,37742,+111,1.003
06-01-2020,39705,1906,0,37799,+62,1.002
06-02-2020,39980,1909,0,38071,+275,1.007
06-03-2020,40062,1915,0,38147,+82,1.002
