Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,12,0,0,0,+0,0.000
03-23-2020,12,0,0,0,+0,1.000
03-24-2020,23,0,0,0,+11,1.917
03-25-2020,39,0,0,0,+16,1.696
03-26-2020,53,0,0,0,+14,1.359
03-27-2020,64,0,0,0,+11,1.208
03-28-2020,72,0,0,0,+8,1.125
03-29-2020,88,0,0,0,+16,1.222
03-30-2020,101,0,0,0,+13,1.148
03-31-2020,106,1,0,0,+5,1.050
04-01-2020,121,1,0,0,+15,1.142
04-02-2020,143,4,0,0,+22,1.182
04-03-2020,168,5,0,0,+25,1.175
04-04-2020,193,5,0,0,+25,1.149
04-05-2020,193,5,0,0,+0,1.000
04-06-2020,253,6,0,0,+60,1.311
04-07-2020,270,7,0,0,+17,1.067
04-08-2020,296,7,0,0,+26,1.096
04-09-2020,296,7,0,0,+0,1.000
04-10-2020,318,7,0,0,+22,1.074
04-11-2020,340,7,0,0,+22,1.069
04-12-2020,358,7,0,351,+18,1.053
04-13-2020,380,8,0,372,+22,1.061
04-14-2020,415,9,0,406,+35,1.092
04-15-2020,424,10,0,414,+9,1.022
04-16-2020,437,11,0,426,+13,1.031
04-17-2020,505,11,0,494,+68,1.156
04-18-2020,524,11,0,513,+19,1.038
04-19-2020,537,11,0,526,+13,1.025
04-20-2020,560,13,0,547,+23,1.043
04-21-2020,592,14,0,578,+32,1.057
04-22-2020,592,14,0,578,+0,1.000
04-23-2020,580,17,0,563,+-12,0.980
04-24-2020,628,17,0,611,+48,1.083
04-25-2020,689,17,0,672,+61,1.097
04-26-2020,724,17,0,707,+35,1.051
04-27-2020,748,21,0,727,+24,1.033
04-28-2020,769,21,0,748,+21,1.028
04-29-2020,811,22,0,789,+42,1.055
04-30-2020,838,22,0,816,+27,1.033
05-01-2020,880,22,0,858,+42,1.050
05-02-2020,931,22,0,909,+51,1.058
05-03-2020,951,22,0,929,+20,1.021
05-04-2020,976,23,0,953,+25,1.026
05-05-2020,984,23,0,961,+8,1.008
05-06-2020,996,23,0,973,+12,1.012
05-07-2020,1021,23,0,998,+25,1.025
05-08-2020,1039,23,0,1016,+18,1.018
05-09-2020,1071,25,0,1046,+32,1.031
05-10-2020,1093,25,0,1068,+22,1.021
05-11-2020,1109,25,0,1084,+16,1.015
05-12-2020,1119,25,0,1094,+10,1.009
05-13-2020,1135,25,0,1110,+16,1.014
05-14-2020,1168,25,0,1143,+33,1.029
05-15-2020,1189,25,0,1164,+21,1.018
05-16-2020,1217,25,0,1192,+28,1.024
05-17-2020,1231,25,0,1206,+14,1.012
05-18-2020,1246,25,0,1221,+15,1.012
05-19-2020,1258,28,0,1230,+12,1.010
05-20-2020,1267,28,0,1239,+9,1.007
05-21-2020,1281,28,0,1253,+14,1.011
05-22-2020,1287,28,0,1259,+6,1.005
05-23-2020,1297,29,0,1268,+10,1.008
05-24-2020,1310,29,0,1281,+13,1.010
05-25-2020,1324,29,0,1295,+14,1.011
05-26-2020,1338,29,0,1309,+14,1.011
05-27-2020,1340,30,0,1310,+2,1.001
05-28-2020,1351,30,0,1321,+11,1.008
05-29-2020,1364,30,0,1334,+13,1.010
05-30-2020,1375,31,0,1344,+11,1.008
05-31-2020,1387,31,0,1356,+12,1.009
06-01-2020,1389,31,0,1358,+2,1.001
06-02-2020,1392,31,0,1361,+3,1.002
06-03-2020,1393,31,0,1362,+1,1.001
