Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,23,0,0,0,+0,0.000
03-23-2020,28,0,0,0,+5,1.217
03-24-2020,36,0,0,0,+8,1.286
03-25-2020,42,0,0,0,+6,1.167
03-26-2020,50,0,0,0,+8,1.190
03-27-2020,65,1,0,0,+15,1.300
03-28-2020,79,4,0,0,+14,1.215
03-29-2020,99,5,0,0,+20,1.253
03-30-2020,118,5,0,0,+19,1.192
03-31-2020,131,5,0,0,+13,1.110
04-01-2020,144,7,0,0,+13,1.099
04-02-2020,155,7,0,0,+11,1.076
04-03-2020,165,7,0,0,+10,1.065
04-04-2020,184,7,0,0,+19,1.115
04-05-2020,184,9,0,0,+0,1.000
04-06-2020,189,10,0,0,+5,1.027
04-07-2020,199,12,0,0,+10,1.053
04-08-2020,211,12,0,0,+12,1.060
04-09-2020,221,12,0,0,+10,1.047
04-10-2020,235,12,0,0,+14,1.063
04-11-2020,243,14,0,0,+8,1.034
04-12-2020,257,14,0,243,+14,1.058
04-13-2020,262,15,0,247,+5,1.019
04-14-2020,273,15,0,258,+11,1.042
04-15-2020,294,15,0,279,+21,1.077
04-16-2020,310,16,0,294,+16,1.054
04-17-2020,323,17,0,306,+13,1.042
04-18-2020,340,20,0,320,+17,1.053
04-19-2020,350,21,0,329,+10,1.029
04-20-2020,370,24,0,346,+20,1.057
04-21-2020,385,28,0,357,+15,1.041
04-22-2020,415,30,0,385,+30,1.078
04-23-2020,447,32,0,415,+32,1.077
04-24-2020,460,35,0,425,+13,1.029
04-25-2020,475,35,0,440,+15,1.033
04-26-2020,485,38,0,447,+10,1.021
04-27-2020,500,39,0,461,+15,1.031
04-28-2020,542,43,0,499,+42,1.084
04-29-2020,584,49,0,535,+42,1.077
04-30-2020,608,49,0,559,+24,1.041
05-01-2020,639,49,0,590,+31,1.051
05-02-2020,679,57,0,622,+40,1.063
05-03-2020,701,58,0,643,+22,1.032
05-04-2020,716,58,0,658,+15,1.021
05-05-2020,751,66,0,685,+35,1.049
05-06-2020,787,70,0,717,+36,1.048
05-07-2020,831,73,0,758,+44,1.056
05-08-2020,867,74,0,793,+36,1.043
05-09-2020,880,78,0,802,+13,1.015
05-10-2020,892,78,0,814,+12,1.014
05-11-2020,915,78,0,837,+23,1.026
05-12-2020,930,86,0,844,+15,1.016
05-13-2020,946,88,0,858,+16,1.017
05-14-2020,976,101,0,875,+30,1.032
05-15-2020,989,104,0,885,+13,1.013
05-16-2020,995,110,0,885,+6,1.006
05-17-2020,1004,110,0,894,+9,1.009
05-18-2020,1028,112,0,916,+24,1.024
05-19-2020,1042,113,0,929,+14,1.014
05-20-2020,1077,131,0,946,+35,1.034
05-21-2020,1141,139,0,1002,+64,1.059
05-22-2020,1183,148,0,1035,+42,1.037
05-23-2020,1204,159,0,1045,+21,1.018
05-24-2020,1220,159,0,1061,+16,1.013
05-25-2020,1236,159,0,1077,+16,1.013
05-26-2020,1277,159,0,1118,+41,1.033
05-27-2020,1315,160,0,1155,+38,1.030
05-28-2020,1335,172,0,1163,+20,1.015
05-29-2020,1380,172,0,1208,+45,1.034
05-30-2020,1390,172,0,1218,+10,1.007
05-31-2020,1420,173,0,1247,+30,1.022
06-01-2020,1453,176,0,1277,+33,1.023
06-02-2020,1475,180,0,1295,+22,1.015
06-03-2020,1487,181,0,1306,+12,1.008
