Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,12,0,0,0,+0,0.000
03-23-2020,18,0,0,0,+6,1.500
03-24-2020,23,0,0,0,+5,1.278
03-25-2020,26,0,0,0,+3,1.130
03-26-2020,27,1,0,0,+1,1.038
03-27-2020,37,1,0,0,+10,1.370
03-28-2020,59,1,0,0,+22,1.595
03-29-2020,66,1,0,0,+7,1.119
03-30-2020,81,1,0,0,+15,1.227
03-31-2020,88,2,0,0,+7,1.086
04-01-2020,101,3,0,0,+13,1.148
04-02-2020,105,3,0,0,+4,1.040
04-03-2020,117,3,0,0,+12,1.114
04-04-2020,125,3,0,0,+8,1.068
04-05-2020,151,3,0,0,+26,1.208
04-06-2020,159,3,0,0,+8,1.053
04-07-2020,210,3,0,0,+51,1.321
04-08-2020,279,3,0,0,+69,1.329
04-09-2020,294,3,0,0,+15,1.054
04-10-2020,336,3,0,0,+42,1.143
04-11-2020,404,10,0,0,+68,1.202
04-12-2020,464,10,0,454,+60,1.149
04-13-2020,551,15,0,536,+87,1.188
04-14-2020,639,16,0,623,+88,1.160
04-15-2020,678,16,0,662,+39,1.061
04-16-2020,698,18,0,680,+20,1.029
04-17-2020,811,22,0,789,+113,1.162
04-18-2020,886,25,0,861,+75,1.092
04-19-2020,886,25,0,861,+0,1.000
04-20-2020,1055,26,0,1029,+169,1.191
04-21-2020,1139,32,0,1107,+84,1.080
