Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,12,0,0,0,+0,0.000
03-23-2020,15,0,0,0,+3,1.250
03-24-2020,18,0,0,0,+3,1.200
03-25-2020,27,0,0,0,+9,1.500
03-26-2020,49,0,0,0,+22,1.815
03-27-2020,65,0,0,0,+16,1.327
03-28-2020,81,0,0,0,+16,1.246
03-29-2020,93,1,0,0,+12,1.148
03-30-2020,113,1,0,0,+20,1.215
03-31-2020,132,0,0,0,+19,1.168
04-01-2020,158,6,0,0,+26,1.197
04-02-2020,179,7,0,0,+21,1.133
04-03-2020,210,8,0,0,+31,1.173
04-04-2020,236,9,0,0,+26,1.124
04-05-2020,267,9,0,0,+31,1.131
04-06-2020,292,11,0,0,+25,1.094
04-07-2020,331,15,0,0,+39,1.134
04-08-2020,357,21,0,0,+26,1.079
04-09-2020,392,21,0,0,+35,1.098
04-10-2020,413,26,0,0,+21,1.054
04-11-2020,456,27,0,0,+43,1.104
04-12-2020,483,35,0,448,+27,1.059
04-13-2020,508,38,0,470,+25,1.052
04-14-2020,535,39,0,496,+27,1.053
04-15-2020,551,41,0,510,+16,1.030
04-16-2020,578,43,0,535,+27,1.049
04-17-2020,591,54,0,537,+13,1.022
04-18-2020,626,55,0,571,+35,1.059
04-19-2020,659,62,0,597,+33,1.053
04-20-2020,680,64,0,616,+21,1.032
04-21-2020,688,64,0,624,+8,1.012
04-22-2020,743,76,0,667,+55,1.080
04-23-2020,784,82,0,702,+41,1.055
04-24-2020,795,84,0,711,+11,1.014
04-25-2020,812,91,0,721,+17,1.021
04-26-2020,855,92,0,763,+43,1.053
04-27-2020,864,93,0,771,+9,1.011
04-28-2020,882,97,0,785,+18,1.021
04-29-2020,900,99,0,801,+18,1.020
04-30-2020,921,103,0,818,+21,1.023
05-01-2020,936,110,0,826,+15,1.016
05-02-2020,949,114,0,835,+13,1.014
05-03-2020,969,115,0,854,+20,1.021
05-04-2020,979,116,0,863,+10,1.010
05-05-2020,987,120,0,867,+8,1.008
05-06-2020,995,122,0,873,+8,1.008
05-07-2020,1006,123,0,883,+11,1.011
05-08-2020,1015,125,0,890,+9,1.009
05-09-2020,1023,127,0,896,+8,1.008
05-10-2020,1026,127,0,899,+3,1.003
05-11-2020,1033,128,0,905,+7,1.007
05-12-2020,1046,135,0,911,+13,1.013
05-13-2020,1042,137,0,905,+-4,0.996
05-14-2020,1046,137,0,909,+4,1.004
05-15-2020,1050,137,0,913,+4,1.004
05-16-2020,1053,137,0,916,+3,1.003
05-17-2020,1060,138,0,922,+7,1.007
05-18-2020,1061,138,0,923,+1,1.001
05-19-2020,1065,139,0,926,+4,1.004
05-20-2020,1069,140,0,929,+4,1.004
05-21-2020,1077,140,0,937,+8,1.007
05-22-2020,1075,141,0,934,+-2,0.998
05-23-2020,1079,145,0,934,+4,1.004
05-24-2020,1079,145,0,934,+0,1.000
05-25-2020,1084,145,0,939,+5,1.005
05-26-2020,1089,145,0,944,+5,1.005
05-27-2020,1095,146,0,949,+6,1.006
05-28-2020,1104,147,0,957,+9,1.008
05-29-2020,1106,147,0,959,+2,1.002
05-30-2020,1110,149,0,961,+4,1.004
05-31-2020,1110,149,0,961,+0,1.000
06-01-2020,1114,149,0,965,+4,1.004
06-02-2020,1123,149,0,974,+9,1.008
06-03-2020,1128,149,0,979,+5,1.004
