Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,47,1,0,0,+0,0.000
03-23-2020,57,1,0,0,+10,1.213
03-24-2020,71,1,0,0,+14,1.246
03-25-2020,90,1,0,0,+19,1.268
03-26-2020,100,1,0,0,+10,1.111
03-27-2020,114,1,0,0,+14,1.140
03-28-2020,128,1,0,0,+14,1.123
03-29-2020,139,1,0,0,+11,1.086
03-30-2020,238,1,0,0,+99,1.712
03-31-2020,273,1,0,0,+35,1.147
04-01-2020,288,3,0,0,+15,1.055
04-02-2020,325,6,0,0,+37,1.128
04-03-2020,383,7,0,0,+58,1.178
04-04-2020,404,9,0,0,+21,1.055
04-05-2020,418,11,0,0,+14,1.035
04-06-2020,452,13,0,0,+34,1.081
04-07-2020,517,18,0,0,+65,1.144
04-08-2020,588,19,0,0,+71,1.137
04-09-2020,637,20,0,0,+49,1.083
04-10-2020,705,21,0,0,+68,1.107
04-11-2020,705,25,0,0,+0,1.000
04-12-2020,787,25,0,762,+82,1.116
04-13-2020,876,25,0,851,+89,1.113
04-14-2020,929,29,0,900,+53,1.061
04-15-2020,990,30,0,960,+61,1.066
04-16-2020,1093,34,0,1059,+103,1.104
04-17-2020,1175,35,0,1140,+82,1.075
04-18-2020,1229,38,0,1191,+54,1.046
04-19-2020,1229,38,0,1191,+0,1.000
04-20-2020,1242,39,0,1203,+13,1.011
04-21-2020,1333,42,0,1291,+91,1.073
04-22-2020,1333,42,0,1291,+0,1.000
04-23-2020,1559,45,0,1514,+226,1.170
04-24-2020,1706,48,0,1658,+147,1.094
04-25-2020,1836,52,0,1784,+130,1.076
04-26-2020,1947,52,0,1895,+111,1.060
04-27-2020,1947,53,0,1894,+0,1.000
04-28-2020,2019,53,0,1966,+72,1.037
04-29-2020,2088,58,0,2030,+69,1.034
04-30-2020,2246,68,0,2178,+158,1.076
05-01-2020,2246,68,0,2178,+0,1.000
05-02-2020,2388,69,0,2319,+142,1.063
05-03-2020,2503,71,0,2432,+115,1.048
05-04-2020,2584,75,0,2509,+81,1.032
05-05-2020,2624,77,0,2547,+40,1.015
05-06-2020,2686,83,0,2603,+62,1.024
05-07-2020,2956,90,0,2866,+270,1.101
05-08-2020,2956,90,0,2866,+0,1.000
05-09-2020,3127,95,0,3032,+171,1.058
05-10-2020,3210,101,0,3109,+83,1.027
05-11-2020,3695,103,0,3592,+485,1.151
05-12-2020,3745,104,0,3641,+50,1.014
05-13-2020,3810,109,0,3701,+65,1.017
05-14-2020,4076,114,0,3962,+266,1.070
05-15-2020,4211,117,0,4094,+135,1.033
05-16-2020,4266,120,0,4146,+55,1.013
05-17-2020,4350,121,0,4229,+84,1.020
05-18-2020,4447,123,0,4324,+97,1.022
05-19-2020,4559,123,0,4436,+112,1.025
05-20-2020,4643,130,0,4513,+84,1.018
05-21-2020,4711,132,0,4579,+68,1.015
05-22-2020,4711,132,0,4579,+0,1.000
05-23-2020,4899,132,0,4767,+188,1.040
05-24-2020,4951,143,0,4808,+52,1.011
05-25-2020,4977,144,0,4833,+26,1.005
05-26-2020,4977,144,0,4833,+0,1.000
05-27-2020,5039,144,0,4895,+62,1.012
05-28-2020,5190,155,0,5035,+151,1.030
05-29-2020,5190,155,0,5035,+0,1.000
05-30-2020,5379,160,0,5219,+189,1.036
05-31-2020,5463,165,0,5298,+84,1.016
06-01-2020,5513,165,0,5348,+50,1.009
06-02-2020,5534,165,0,5369,+21,1.004
06-03-2020,5623,167,0,5456,+89,1.016
