Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,0,0,0,0,+0,0.000
03-23-2020,0,0,0,0,+0,0.000
03-24-2020,0,0,0,0,+0,0.000
03-25-2020,0,0,0,0,+0,0.000
03-26-2020,1,0,0,0,+1,0.000
03-27-2020,2,0,0,0,+1,2.000
03-28-2020,3,0,0,0,+1,1.500
03-29-2020,9,0,0,0,+6,3.000
03-30-2020,11,0,0,0,+2,1.222
03-31-2020,14,0,0,0,+3,1.273
04-01-2020,14,0,0,0,+0,1.000
04-02-2020,18,0,0,0,+4,1.286
04-03-2020,23,0,0,0,+5,1.278
04-04-2020,27,1,0,0,+4,1.174
04-05-2020,31,1,0,0,+4,1.148
04-06-2020,31,1,0,0,+0,1.000
04-07-2020,38,1,0,0,+7,1.226
04-08-2020,38,1,0,0,+0,1.000
04-09-2020,51,1,0,0,+13,1.342
04-10-2020,55,1,0,0,+4,1.078
04-11-2020,55,1,0,0,+0,1.000
04-12-2020,59,1,0,58,+4,1.073
04-13-2020,68,1,0,67,+9,1.153
04-14-2020,68,1,0,67,+0,1.000
04-15-2020,74,1,0,73,+6,1.088
04-16-2020,79,2,0,77,+5,1.068
04-17-2020,89,2,0,87,+10,1.127
04-18-2020,126,2,0,124,+37,1.416
04-19-2020,142,2,0,140,+16,1.127
04-20-2020,144,2,0,142,+2,1.014
04-21-2020,144,3,0,141,+0,1.000
