Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,62,0,0,0,+0,0.000
03-23-2020,79,0,0,0,+17,1.274
03-24-2020,86,0,0,0,+7,1.089
03-25-2020,98,0,0,0,+12,1.140
03-26-2020,119,0,0,0,+21,1.214
03-27-2020,160,1,0,0,+41,1.345
03-28-2020,179,1,0,0,+19,1.119
03-29-2020,200,1,0,0,+21,1.117
03-30-2020,206,2,0,0,+6,1.030
03-31-2020,244,2,0,0,+38,1.184
04-01-2020,244,2,0,0,+0,1.000
04-02-2020,351,3,0,0,+107,1.439
04-03-2020,351,3,0,0,+0,1.000
04-04-2020,430,4,0,0,+79,1.225
04-05-2020,484,6,0,0,+54,1.126
04-06-2020,502,6,0,0,+18,1.037
04-07-2020,502,4,0,0,+0,1.000
04-08-2020,554,7,0,0,+52,1.104
04-09-2020,597,7,0,0,+43,1.078
04-10-2020,642,7,0,0,+45,1.075
04-11-2020,690,9,0,0,+48,1.075
04-12-2020,744,9,0,735,+54,1.078
