Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,0,0,0,0,+0,0.000
03-23-2020,0,0,0,0,+0,0.000
03-24-2020,0,0,0,0,+0,0.000
03-25-2020,0,0,0,0,+0,0.000
03-26-2020,0,0,0,0,+0,0.000
03-27-2020,0,0,0,0,+0,0.000
03-28-2020,1,0,0,0,+1,0.000
03-29-2020,1,0,0,0,+0,1.000
03-30-2020,1,0,0,0,+0,1.000
03-31-2020,4,0,0,0,+3,4.000
04-01-2020,5,0,0,0,+1,1.250
04-02-2020,6,1,0,0,+1,1.200
04-03-2020,7,1,0,0,+1,1.167
04-04-2020,7,1,0,0,+0,1.000
04-05-2020,8,1,0,0,+1,1.143
04-06-2020,11,1,0,0,+3,1.375
04-07-2020,14,1,0,0,+3,1.273
04-08-2020,14,1,0,0,+0,1.000
04-09-2020,14,1,0,0,+0,1.000
04-10-2020,14,1,0,0,+0,1.000
04-11-2020,17,1,0,0,+3,1.214
04-12-2020,17,1,0,16,+0,1.000
04-13-2020,20,1,0,19,+3,1.176
04-14-2020,20,1,0,19,+0,1.000
04-15-2020,20,1,0,19,+0,1.000
04-16-2020,19,1,0,18,+-1,0.950
04-17-2020,19,1,0,18,+0,1.000
04-18-2020,20,1,0,19,+1,1.053
04-19-2020,22,1,0,21,+2,1.100
04-20-2020,21,1,0,20,+-1,0.955
04-21-2020,23,1,0,22,+2,1.095
04-22-2020,23,1,0,22,+0,1.000
04-23-2020,27,1,0,26,+4,1.174
04-24-2020,29,1,0,28,+2,1.074
04-25-2020,47,1,0,46,+18,1.621
04-26-2020,48,1,0,47,+1,1.021
04-27-2020,48,1,0,47,+0,1.000
04-28-2020,50,1,0,49,+2,1.042
04-29-2020,122,1,0,121,+72,2.440
04-30-2020,123,1,0,122,+1,1.008
05-01-2020,1020,1,0,1019,+897,8.293
05-02-2020,1344,1,0,1343,+324,1.318
05-03-2020,1346,1,0,1345,+2,1.001
05-04-2020,1348,1,0,1347,+2,1.001
05-05-2020,1352,2,0,1350,+4,1.003
05-06-2020,1355,2,0,1353,+3,1.002
05-07-2020,1356,2,0,1354,+1,1.001
05-08-2020,1355,2,0,1353,+-1,0.999
05-09-2020,1357,2,0,1355,+2,1.001
05-10-2020,1357,2,0,1355,+0,1.000
05-11-2020,1363,2,0,1361,+6,1.004
05-12-2020,1364,3,0,1361,+1,1.001
05-13-2020,1381,3,0,1378,+17,1.012
05-14-2020,1382,3,0,1379,+1,1.001
05-15-2020,1382,4,0,1378,+0,1.000
05-16-2020,1382,4,0,1378,+0,1.000
05-17-2020,1383,4,0,1379,+1,1.001
05-18-2020,1383,4,0,1379,+0,1.000
05-19-2020,1384,4,0,1380,+1,1.001
05-20-2020,1384,4,0,1380,+0,1.000
05-21-2020,1385,4,0,1381,+1,1.001
05-22-2020,1390,4,0,1386,+5,1.004
05-23-2020,1390,4,0,1386,+0,1.000
05-24-2020,1393,4,0,1389,+3,1.002
05-25-2020,1392,4,0,1388,+-1,0.999
05-26-2020,1392,4,0,1388,+0,1.000
05-27-2020,1392,4,0,1388,+0,1.000
05-28-2020,1393,4,0,1389,+1,1.001
05-29-2020,1393,4,0,1389,+0,1.000
05-30-2020,1392,4,0,1388,+-1,0.999
05-31-2020,1392,4,0,1388,+0,1.000
06-01-2020,1392,4,0,1388,+0,1.000
06-02-2020,1396,4,0,1392,+4,1.003
06-03-2020,1394,4,0,1390,+-2,0.999
