Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,12,0,0,0,+0,0.000
03-23-2020,16,0,0,0,+4,1.333
03-24-2020,17,0,0,0,+1,1.062
03-25-2020,17,0,0,0,+0,1.000
03-26-2020,18,0,0,0,+1,1.059
03-27-2020,20,0,0,0,+2,1.111
03-28-2020,24,0,0,0,+4,1.200
03-29-2020,29,1,0,0,+5,1.208
03-30-2020,35,1,0,0,+6,1.207
03-31-2020,43,1,0,0,+8,1.229
04-01-2020,45,1,0,0,+2,1.047
04-02-2020,74,2,0,0,+29,1.644
04-03-2020,81,2,0,0,+7,1.095
04-04-2020,81,3,0,0,+0,1.000
04-05-2020,116,5,0,0,+35,1.432
04-06-2020,135,6,0,0,+19,1.164
04-07-2020,157,7,0,0,+22,1.163
04-08-2020,157,7,0,0,+0,1.000
04-09-2020,168,9,0,0,+11,1.070
04-10-2020,203,11,0,0,+35,1.208
04-11-2020,203,11,0,0,+0,1.000
04-12-2020,227,11,0,216,+24,1.118
04-13-2020,264,13,0,251,+37,1.163
04-14-2020,296,13,0,283,+32,1.121
04-15-2020,352,15,0,337,+56,1.189
04-16-2020,372,17,0,355,+20,1.057
04-17-2020,382,17,0,365,+10,1.027
04-18-2020,397,17,0,380,+15,1.039
04-19-2020,411,17,0,394,+14,1.035
04-20-2020,422,18,0,404,+11,1.027
04-21-2020,422,18,0,404,+0,1.000
04-22-2020,441,25,0,416,+19,1.045
04-23-2020,453,25,0,428,+12,1.027
04-24-2020,472,28,0,444,+19,1.042
04-25-2020,491,32,0,459,+19,1.040
04-26-2020,504,32,0,472,+13,1.026
04-27-2020,532,32,0,500,+28,1.056
04-28-2020,578,35,0,543,+46,1.086
04-29-2020,626,36,0,590,+48,1.083
04-30-2020,640,40,0,600,+14,1.022
05-01-2020,680,40,0,640,+40,1.062
05-02-2020,720,40,0,680,+40,1.059
05-03-2020,743,40,0,703,+23,1.032
05-04-2020,757,40,0,717,+14,1.019
05-05-2020,858,40,0,818,+101,1.133
05-06-2020,916,41,0,875,+58,1.068
05-07-2020,969,43,0,926,+53,1.058
05-08-2020,1013,44,0,969,+44,1.045
05-09-2020,1079,46,0,1033,+66,1.065
05-10-2020,1140,48,0,1092,+61,1.057
05-11-2020,1159,50,0,1109,+19,1.017
05-12-2020,1241,52,0,1189,+82,1.071
05-13-2020,1268,54,0,1214,+27,1.022
05-14-2020,1295,54,0,1241,+27,1.021
05-15-2020,1338,64,0,1274,+43,1.033
05-16-2020,1426,67,0,1359,+88,1.066
05-17-2020,1430,67,0,1363,+4,1.003
05-18-2020,1436,67,0,1369,+6,1.004
05-19-2020,1539,71,0,1468,+103,1.072
05-20-2020,1552,73,0,1479,+13,1.008
05-21-2020,1603,74,0,1529,+51,1.033
05-22-2020,1641,75,0,1566,+38,1.024
05-23-2020,1641,75,0,1566,+0,1.000
05-24-2020,1641,75,0,1566,+0,1.000
05-25-2020,1641,75,0,1566,+0,1.000
05-26-2020,1771,79,0,1692,+130,1.079
05-27-2020,1796,79,0,1717,+25,1.014
05-28-2020,1835,80,0,1755,+39,1.022
05-29-2020,1844,84,0,1760,+9,1.005
05-30-2020,1844,84,0,1760,+0,1.000
05-31-2020,1844,84,0,1760,+0,1.000
06-01-2020,1897,89,0,1808,+53,1.029
06-02-2020,2004,89,0,1915,+107,1.056
06-03-2020,2026,90,0,1936,+22,1.011
