Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,6,1,0,0,+0,0.000
03-23-2020,11,1,0,0,+5,1.833
03-24-2020,12,1,0,0,+1,1.091
03-25-2020,27,1,0,0,+15,2.250
03-26-2020,41,1,0,0,+14,1.519
03-27-2020,49,1,0,0,+8,1.195
03-28-2020,57,3,0,0,+8,1.163
03-29-2020,61,3,0,0,+4,1.070
03-30-2020,65,3,0,0,+4,1.066
03-31-2020,83,3,0,0,+18,1.277
04-01-2020,115,3,0,0,+32,1.386
04-02-2020,151,5,0,0,+36,1.313
04-03-2020,175,8,0,0,+24,1.159
04-04-2020,221,8,0,0,+46,1.263
04-05-2020,240,8,0,0,+19,1.086
04-06-2020,249,8,0,0,+9,1.038
04-07-2020,273,14,0,0,+24,1.096
04-08-2020,293,16,0,0,+20,1.073
04-09-2020,308,16,0,0,+15,1.051
04-10-2020,314,16,0,0,+6,1.019
04-11-2020,323,16,0,0,+9,1.029
04-12-2020,332,18,0,314,+9,1.028
04-13-2020,337,18,0,319,+5,1.015
04-14-2020,358,19,0,339,+21,1.062
04-15-2020,362,21,0,341,+4,1.011
04-16-2020,376,21,0,355,+14,1.039
04-17-2020,376,21,0,355,+0,1.000
04-18-2020,376,21,0,355,+0,1.000
04-19-2020,411,22,0,389,+35,1.093
04-20-2020,422,22,0,400,+11,1.027
04-21-2020,432,25,0,407,+10,1.024
04-22-2020,437,25,0,412,+5,1.012
04-23-2020,454,26,0,428,+17,1.039
04-24-2020,467,27,0,440,+13,1.029
04-25-2020,479,27,0,452,+12,1.026
04-26-2020,491,27,0,464,+12,1.025
04-27-2020,490,28,0,462,+-1,0.998
04-28-2020,506,32,0,474,+16,1.033
04-29-2020,522,33,0,489,+16,1.032
04-30-2020,567,33,0,534,+45,1.086
05-01-2020,584,33,0,551,+17,1.030
05-02-2020,607,34,0,573,+23,1.039
05-03-2020,628,34,0,594,+21,1.035
05-04-2020,639,34,0,605,+11,1.018
05-05-2020,645,36,0,609,+6,1.009
05-06-2020,653,36,0,617,+8,1.012
05-07-2020,676,36,0,640,+23,1.035
05-08-2020,684,36,0,648,+8,1.012
05-09-2020,695,36,0,659,+11,1.016
05-10-2020,700,36,0,664,+5,1.007
05-11-2020,708,36,0,672,+8,1.011
05-12-2020,717,37,0,680,+9,1.013
05-13-2020,734,37,0,697,+17,1.024
05-14-2020,743,37,0,706,+9,1.012
05-15-2020,752,37,0,715,+9,1.012
05-16-2020,776,37,0,739,+24,1.032
05-17-2020,781,37,0,744,+5,1.006
05-18-2020,787,37,0,750,+6,1.008
05-19-2020,802,37,0,765,+15,1.019
05-20-2020,814,39,0,775,+12,1.015
05-21-2020,852,40,0,812,+38,1.047
05-22-2020,890,41,0,849,+38,1.045
05-23-2020,903,44,0,859,+13,1.015
05-24-2020,915,44,0,871,+12,1.013
05-25-2020,926,44,0,882,+11,1.012
05-26-2020,935,47,0,888,+9,1.010
05-27-2020,958,49,0,909,+23,1.025
05-28-2020,960,49,0,911,+2,1.002
05-29-2020,983,51,0,932,+23,1.024
05-30-2020,998,54,0,944,+15,1.015
05-31-2020,998,54,0,944,+0,1.000
06-01-2020,1022,54,0,968,+24,1.024
06-02-2020,1057,57,0,1000,+35,1.034
06-03-2020,1087,57,0,1030,+30,1.028
