Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,18,0,0,0,+0,0.000
03-23-2020,18,0,0,0,+0,1.000
03-24-2020,35,0,0,0,+17,1.944
03-25-2020,65,0,0,0,+30,1.857
03-26-2020,78,0,0,0,+13,1.200
03-27-2020,98,0,0,0,+20,1.256
03-28-2020,133,0,0,0,+35,1.357
03-29-2020,146,0,0,0,+13,1.098
03-30-2020,190,0,0,0,+44,1.301
03-31-2020,207,0,0,0,+17,1.089
04-01-2020,222,3,0,0,+15,1.072
04-02-2020,240,3,0,0,+18,1.081
04-03-2020,263,3,0,0,+23,1.096
04-04-2020,290,4,0,0,+27,1.103
04-05-2020,358,4,0,0,+68,1.234
04-06-2020,382,4,0,0,+24,1.067
04-07-2020,398,5,0,0,+16,1.042
04-08-2020,462,7,0,0,+64,1.161
04-09-2020,462,8,0,0,+0,1.000
04-10-2020,530,8,0,0,+68,1.147
04-11-2020,589,8,0,0,+59,1.111
04-12-2020,655,11,0,644,+66,1.112
04-13-2020,716,11,0,705,+61,1.093
04-14-2020,716,13,0,703,+0,1.000
04-15-2020,745,13,0,732,+29,1.041
04-16-2020,845,15,0,830,+100,1.134
04-17-2020,880,15,0,865,+35,1.041
04-18-2020,880,16,0,864,+0,1.000
04-19-2020,960,16,0,944,+80,1.091
04-20-2020,997,16,0,981,+37,1.039
04-21-2020,1018,17,0,1001,+21,1.021
