Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,221,4,0,0,+0,0.000
03-23-2020,419,9,0,0,+198,1.896
03-24-2020,645,26,0,0,+226,1.539
03-25-2020,930,44,0,0,+285,1.442
03-26-2020,1478,63,0,0,+548,1.589
03-27-2020,1984,82,0,0,+506,1.342
03-28-2020,2478,86,0,0,+494,1.249
03-29-2020,3020,56,0,0,+542,1.219
03-30-2020,3847,91,0,0,+827,1.274
03-31-2020,3686,247,0,0,+-161,0.958
04-01-2020,4512,0,0,0,+826,1.224
04-02-2020,4866,4,0,0,+354,1.078
04-03-2020,4808,4,0,0,+-58,0.988
04-04-2020,3935,14,0,0,+-873,0.818
04-05-2020,3821,13,0,0,+-114,0.971
04-06-2020,3521,14,0,0,+-300,0.921
04-07-2020,2207,5,0,0,+-1314,0.627
04-08-2020,1391,4,0,0,+-816,0.630
04-09-2020,996,4,0,0,+-395,0.716
04-10-2020,649,2,0,0,+-347,0.652
04-11-2020,924,2,0,0,+275,1.424
04-12-2020,1274,2,0,1272,+350,1.379
04-13-2020,1203,2,0,1201,+-71,0.944
04-14-2020,1702,2,0,1700,+499,1.415
04-15-2020,1189,2,0,1187,+-513,0.699
04-16-2020,1048,3,0,1045,+-141,0.881
04-17-2020,719,3,0,716,+-329,0.686
04-18-2020,748,2,0,746,+29,1.040
04-19-2020,585,0,0,585,+-163,0.782
04-20-2020,585,0,0,585,+0,1.000
04-21-2020,3073,233,0,2840,+2488,5.253
