Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,8,0,0,0,+0,0.000
03-23-2020,5,0,0,0,+-3,0.625
03-24-2020,23,0,0,0,+18,4.600
03-25-2020,31,0,0,0,+8,1.348
03-26-2020,33,0,0,0,+2,1.065
03-27-2020,71,0,0,0,+38,2.152
03-28-2020,107,2,0,0,+36,1.507
03-29-2020,57,3,0,0,+-50,0.533
03-30-2020,171,4,0,0,+114,3.000
03-31-2020,184,8,0,0,+13,1.076
04-01-2020,160,10,0,0,+-24,0.870
04-02-2020,80,12,0,0,+-80,0.500
04-03-2020,146,11,0,0,+66,1.825
04-04-2020,241,14,0,0,+95,1.651
04-05-2020,238,22,0,0,+-3,0.988
04-06-2020,332,24,0,0,+94,1.395
04-07-2020,353,27,0,0,+21,1.063
04-08-2020,274,32,0,0,+-79,0.776
04-09-2020,551,40,0,0,+277,2.011
04-10-2020,408,40,0,0,+-143,0.740
04-11-2020,649,53,0,0,+241,1.591
04-12-2020,965,60,0,905,+316,1.487
04-13-2020,965,60,0,905,+0,1.000
04-14-2020,1551,77,0,1474,+586,1.607
04-15-2020,756,77,0,679,+-795,0.487
04-16-2020,902,84,0,818,+146,1.193
04-17-2020,790,115,0,675,+-112,0.876
04-18-2020,1146,134,0,1012,+356,1.451
04-19-2020,1030,147,0,883,+-116,0.899
04-20-2020,861,152,0,709,+-169,0.836
04-21-2020,1000,168,0,832,+139,1.161
04-22-2020,895,178,0,717,+-105,0.895
04-23-2020,1006,189,0,817,+111,1.124
04-24-2020,1132,202,0,930,+126,1.125
04-25-2020,1198,215,0,983,+66,1.058
04-26-2020,1109,226,0,883,+-89,0.926
04-27-2020,1160,233,0,927,+51,1.046
04-28-2020,1267,239,0,1028,+107,1.092
04-29-2020,1065,251,0,814,+-202,0.841
04-30-2020,1087,266,0,821,+22,1.021
05-01-2020,1104,279,0,825,+17,1.016
05-02-2020,1142,296,0,846,+38,1.034
05-03-2020,1086,320,0,766,+-56,0.951
05-04-2020,1133,341,0,792,+47,1.043
05-05-2020,1414,355,0,1059,+281,1.248
05-06-2020,1686,370,0,1316,+272,1.192
05-07-2020,2011,388,0,1623,+325,1.193
05-08-2020,2260,399,0,1861,+249,1.124
05-09-2020,2470,418,0,2052,+210,1.093
05-10-2020,2755,422,0,2333,+285,1.115
05-11-2020,1158,430,0,728,+-1597,0.420
05-12-2020,1198,444,0,754,+40,1.035
05-13-2020,1046,462,0,584,+-152,0.873
05-14-2020,1227,468,0,759,+181,1.173
05-15-2020,1430,479,0,951,+203,1.165
05-16-2020,1645,489,0,1156,+215,1.150
05-17-2020,1885,499,0,1386,+240,1.146
05-18-2020,2006,506,0,1500,+121,1.064
05-19-2020,2162,532,0,1630,+156,1.078
05-20-2020,1556,538,0,1018,+-606,0.720
05-21-2020,1553,556,0,997,+-3,0.998
05-22-2020,1528,579,0,949,+-25,0.984
05-23-2020,1504,597,0,907,+-24,0.984
05-24-2020,1518,608,0,910,+14,1.009
05-25-2020,1518,608,0,910,+0,1.000
05-26-2020,1663,634,0,1029,+145,1.096
05-27-2020,1496,655,0,841,+-167,0.900
05-28-2020,1533,677,0,856,+37,1.025
05-29-2020,1564,693,0,871,+31,1.020
05-30-2020,1748,711,0,1037,+184,1.118
05-31-2020,1857,718,0,1139,+109,1.062
06-01-2020,1920,720,0,1200,+63,1.034
06-02-2020,2041,732,0,1309,+121,1.063
06-03-2020,2148,742,0,1406,+107,1.052
