Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,124,0,0,0,+0,0.000
03-23-2020,189,0,0,0,+65,1.524
03-24-2020,246,0,0,0,+57,1.302
03-25-2020,262,0,0,0,+16,1.065
03-26-2020,432,0,0,0,+170,1.649
03-27-2020,519,0,0,0,+87,1.201
03-28-2020,742,0,0,0,+223,1.430
03-29-2020,896,7,0,0,+154,1.208
03-30-2020,1213,7,0,0,+317,1.354
03-31-2020,1418,0,0,0,+205,1.169
04-01-2020,1661,29,0,0,+243,1.171
04-02-2020,2010,34,0,0,+349,1.210
04-03-2020,2487,45,0,0,+477,1.237
04-04-2020,2916,66,0,0,+429,1.172
04-05-2020,3216,71,0,0,+300,1.103
04-06-2020,3685,78,0,0,+469,1.146
04-07-2020,4368,95,0,0,+683,1.185
04-08-2020,4831,125,0,0,+463,1.106
04-09-2020,5203,145,0,0,+372,1.077
04-10-2020,5575,161,0,0,+372,1.071
