Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,6,0,0,0,+0,0.000
03-23-2020,11,0,0,0,+5,1.833
03-24-2020,13,0,0,0,+2,1.182
03-25-2020,18,0,0,0,+5,1.385
03-26-2020,24,0,0,0,+6,1.333
03-27-2020,26,0,0,0,+2,1.083
03-28-2020,30,0,0,0,+4,1.154
03-29-2020,50,0,0,0,+20,1.667
03-30-2020,57,0,0,0,+7,1.140
03-31-2020,70,0,0,0,+13,1.228
04-01-2020,70,0,0,0,+0,1.000
04-02-2020,105,0,0,0,+35,1.500
04-03-2020,150,0,0,0,+45,1.429
04-04-2020,186,0,0,0,+36,1.240
04-05-2020,216,0,0,0,+30,1.161
04-06-2020,223,2,0,0,+7,1.032
04-07-2020,236,2,0,0,+13,1.058
04-08-2020,267,2,0,0,+31,1.131
04-09-2020,267,2,0,0,+0,1.000
04-10-2020,283,2,0,0,+16,1.060
04-11-2020,295,2,0,0,+12,1.042
04-12-2020,313,2,0,311,+18,1.061
04-13-2020,322,2,0,320,+9,1.029
04-14-2020,335,2,0,333,+13,1.040
04-15-2020,352,2,0,350,+17,1.051
04-16-2020,387,2,0,385,+35,1.099
04-17-2020,403,4,0,399,+16,1.041
04-18-2020,417,5,0,412,+14,1.035
04-19-2020,455,5,0,450,+38,1.091
04-20-2020,498,5,0,493,+43,1.095
04-21-2020,523,5,0,518,+25,1.050
04-22-2020,570,5,0,565,+47,1.090
04-23-2020,611,6,0,605,+41,1.072
04-24-2020,669,7,0,662,+58,1.095
04-25-2020,725,7,0,718,+56,1.084
04-26-2020,777,7,0,770,+52,1.072
04-27-2020,828,7,0,821,+51,1.066
04-28-2020,862,7,0,855,+34,1.041
04-29-2020,899,7,0,892,+37,1.043
04-30-2020,957,7,0,950,+58,1.065
05-01-2020,993,7,0,986,+36,1.038
05-02-2020,1021,9,0,1012,+28,1.028
05-03-2020,1073,9,0,1064,+52,1.051
05-04-2020,1122,9,0,1113,+49,1.046
05-05-2020,1171,10,0,1161,+49,1.044
05-06-2020,1210,10,0,1200,+39,1.033
05-07-2020,1219,11,0,1208,+9,1.007
05-08-2020,1288,11,0,1277,+69,1.057
05-09-2020,1318,11,0,1307,+30,1.023
05-10-2020,1346,11,0,1335,+28,1.021
05-11-2020,1358,11,0,1347,+12,1.009
05-12-2020,1365,11,0,1354,+7,1.005
05-13-2020,1400,11,0,1389,+35,1.026
05-14-2020,1435,11,0,1424,+35,1.025
05-15-2020,1455,11,0,1444,+20,1.014
05-16-2020,1471,11,0,1460,+16,1.011
05-17-2020,1497,11,0,1486,+26,1.018
05-18-2020,1520,11,0,1509,+23,1.015
05-19-2020,1537,12,0,1525,+17,1.011
05-20-2020,1569,13,0,1556,+32,1.021
05-21-2020,1592,13,0,1579,+23,1.015
05-22-2020,1651,13,0,1638,+59,1.037
05-23-2020,1678,14,0,1664,+27,1.016
05-24-2020,1704,14,0,1690,+26,1.015
05-25-2020,1722,14,0,1708,+18,1.011
05-26-2020,1744,14,0,1730,+22,1.013
05-27-2020,1753,15,0,1738,+9,1.005
05-28-2020,1777,17,0,1760,+24,1.014
05-29-2020,1826,17,0,1809,+49,1.028
05-30-2020,1870,17,0,1853,+44,1.024
05-31-2020,1929,17,0,1912,+59,1.032
06-01-2020,1965,17,0,1948,+36,1.019
06-02-2020,1991,17,0,1974,+26,1.013
06-03-2020,2028,17,0,2011,+37,1.019
