Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,25,0,0,0,+0,0.000
03-23-2020,30,1,0,0,+5,1.200
03-24-2020,35,1,0,0,+5,1.167
03-25-2020,39,1,0,0,+4,1.114
03-26-2020,50,1,0,0,+11,1.282
03-27-2020,61,1,0,0,+11,1.220
03-28-2020,83,3,0,0,+22,1.361
03-29-2020,98,3,0,0,+15,1.181
03-30-2020,109,4,0,0,+11,1.112
03-31-2020,126,4,0,0,+17,1.156
04-01-2020,149,5,0,0,+23,1.183
04-02-2020,160,5,0,0,+11,1.074
04-03-2020,177,6,0,0,+17,1.106
04-04-2020,203,6,0,0,+26,1.147
04-05-2020,221,6,0,0,+18,1.089
04-06-2020,221,6,0,0,+0,1.000
04-07-2020,243,6,0,0,+22,1.100
04-08-2020,263,7,0,0,+20,1.082
04-09-2020,274,7,0,0,+11,1.042
04-10-2020,298,10,0,0,+24,1.088
04-11-2020,298,10,0,0,+0,1.000
04-12-2020,309,10,0,299,+11,1.037
04-13-2020,314,10,0,304,+5,1.016
04-14-2020,317,10,0,307,+3,1.010
04-15-2020,365,13,0,352,+48,1.151
04-16-2020,384,13,0,371,+19,1.052
04-17-2020,396,13,0,383,+12,1.031
04-18-2020,396,13,0,383,+0,1.000
04-19-2020,422,13,0,409,+26,1.066
04-20-2020,428,13,0,415,+6,1.014
04-21-2020,428,13,0,415,+0,1.000
04-22-2020,443,13,0,430,+15,1.035
04-23-2020,465,16,0,449,+22,1.050
04-24-2020,476,16,0,460,+11,1.024
04-25-2020,476,16,0,460,+0,1.000
04-26-2020,496,16,0,480,+20,1.042
04-27-2020,497,17,0,480,+1,1.002
04-28-2020,508,17,0,491,+11,1.022
04-29-2020,517,17,0,500,+9,1.018
04-30-2020,535,18,0,517,+18,1.035
05-01-2020,544,18,0,526,+9,1.017
05-02-2020,559,19,0,540,+15,1.028
05-03-2020,566,19,0,547,+7,1.013
05-04-2020,577,19,0,558,+11,1.019
05-05-2020,595,19,0,576,+18,1.031
05-06-2020,608,19,0,589,+13,1.022
05-07-2020,631,19,0,612,+23,1.038
05-08-2020,631,19,0,612,+0,1.000
05-09-2020,652,19,0,633,+21,1.033
05-10-2020,666,19,0,647,+14,1.021
05-11-2020,678,19,0,659,+12,1.018
05-12-2020,698,19,0,679,+20,1.029
05-13-2020,725,24,0,701,+27,1.039
05-14-2020,748,25,0,723,+23,1.032
05-15-2020,764,25,0,739,+16,1.021
05-16-2020,764,25,0,739,+0,1.000
05-17-2020,764,25,0,739,+0,1.000
05-18-2020,764,25,0,739,+0,1.000
05-19-2020,825,25,0,800,+61,1.080
05-20-2020,837,28,0,809,+12,1.015
05-21-2020,858,29,0,829,+21,1.025
05-22-2020,883,29,0,854,+25,1.029
05-23-2020,912,30,0,882,+29,1.033
05-24-2020,912,30,0,882,+0,1.000
05-25-2020,912,30,0,882,+0,1.000
05-26-2020,912,30,0,882,+0,1.000
05-27-2020,1017,32,0,985,+105,1.115
05-28-2020,1062,32,0,1030,+45,1.044
05-29-2020,1062,32,0,1030,+0,1.000
05-30-2020,1078,33,0,1045,+16,1.015
05-31-2020,1078,33,0,1045,+0,1.000
06-01-2020,1152,34,0,1118,+74,1.069
06-02-2020,1164,34,0,1130,+12,1.010
06-03-2020,1164,34,0,1130,+0,1.000
