Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,52,0,0,0,+0,0.000
03-23-2020,52,0,0,0,+0,1.000
03-24-2020,66,0,0,0,+14,1.269
03-25-2020,73,0,0,0,+7,1.106
03-26-2020,100,0,0,0,+27,1.370
03-27-2020,123,0,0,0,+23,1.230
03-28-2020,123,0,0,0,+0,1.000
03-29-2020,146,0,0,0,+23,1.187
03-30-2020,166,0,0,0,+20,1.137
03-31-2020,193,0,0,0,+27,1.163
04-01-2020,213,0,0,0,+20,1.104
04-02-2020,251,0,0,0,+38,1.178
04-03-2020,275,0,0,0,+24,1.096
04-04-2020,283,0,0,0,+8,1.029
04-05-2020,304,0,0,0,+21,1.074
04-06-2020,314,0,0,0,+10,1.033
04-07-2020,351,0,0,0,+37,1.118
04-08-2020,365,0,0,0,+14,1.040
04-09-2020,385,0,0,0,+20,1.055
04-10-2020,391,0,0,0,+6,1.016
04-11-2020,424,0,0,0,+33,1.084
04-12-2020,470,0,0,470,+46,1.108
04-13-2020,476,0,0,476,+6,1.013
04-14-2020,501,0,0,501,+25,1.053
04-15-2020,537,1,0,536,+36,1.072
04-16-2020,556,3,0,553,+19,1.035
04-17-2020,574,3,0,571,+18,1.032
04-18-2020,579,4,0,575,+5,1.009
04-19-2020,592,4,0,588,+13,1.022
04-20-2020,605,8,0,597,+13,1.022
04-21-2020,613,9,0,604,+8,1.013
04-22-2020,613,9,0,604,+0,1.000
04-23-2020,633,11,0,622,+20,1.033
04-24-2020,640,12,0,628,+7,1.011
04-25-2020,651,13,0,638,+11,1.017
04-26-2020,663,13,0,650,+12,1.018
04-27-2020,752,14,0,738,+89,1.134
04-28-2020,782,16,0,766,+30,1.040
04-29-2020,814,17,0,797,+32,1.041
04-30-2020,833,18,0,815,+19,1.023
05-01-2020,855,19,0,836,+22,1.026
05-02-2020,870,19,0,851,+15,1.018
05-03-2020,887,19,0,868,+17,1.020
05-04-2020,891,19,0,872,+4,1.005
05-05-2020,928,21,0,907,+37,1.042
05-06-2020,958,21,0,937,+30,1.032
05-07-2020,981,21,0,960,+23,1.024
05-08-2020,1008,23,0,985,+27,1.028
05-09-2020,1022,23,0,999,+14,1.014
05-10-2020,1038,23,0,1015,+16,1.016
05-11-2020,1051,23,0,1028,+13,1.013
05-12-2020,1076,25,0,1051,+25,1.024
05-13-2020,1102,26,0,1076,+26,1.024
05-14-2020,1132,28,0,1104,+30,1.027
05-15-2020,1165,28,0,1137,+33,1.029
05-16-2020,1199,28,0,1171,+34,1.029
05-17-2020,1212,28,0,1184,+13,1.011
05-18-2020,1253,28,0,1225,+41,1.034
05-19-2020,1253,28,0,1225,+0,1.000
05-20-2020,1307,30,0,1277,+54,1.043
05-21-2020,1326,30,0,1296,+19,1.015
05-22-2020,1393,32,0,1361,+67,1.051
05-23-2020,1434,32,0,1402,+41,1.029
05-24-2020,1448,32,0,1416,+14,1.010
05-25-2020,1471,33,0,1438,+23,1.016
05-26-2020,1509,34,0,1475,+38,1.026
05-27-2020,1523,36,0,1487,+14,1.009
05-28-2020,1604,37,0,1567,+81,1.053
05-29-2020,1661,37,0,1624,+57,1.036
05-30-2020,1683,38,0,1645,+22,1.013
05-31-2020,1747,39,0,1708,+64,1.038
06-01-2020,1773,39,0,1734,+26,1.015
06-02-2020,1841,39,0,1802,+68,1.038
06-03-2020,1901,40,0,1861,+60,1.033
