Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,2,0,0,0,+0,0.000
03-23-2020,4,0,0,0,+2,2.000
03-24-2020,4,0,0,0,+0,1.000
03-25-2020,5,0,0,0,+1,1.250
03-26-2020,5,0,0,0,+0,1.000
03-27-2020,5,0,0,0,+0,1.000
03-28-2020,5,0,0,0,+0,1.000
03-29-2020,9,0,0,0,+4,1.800
03-30-2020,12,0,0,0,+3,1.333
03-31-2020,13,0,0,0,+1,1.083
04-01-2020,13,0,0,0,+0,1.000
04-02-2020,13,0,0,0,+0,1.000
04-03-2020,13,0,0,0,+0,1.000
04-04-2020,18,0,0,0,+5,1.385
04-05-2020,21,0,0,0,+3,1.167
04-06-2020,21,0,0,0,+0,1.000
04-07-2020,21,0,0,0,+0,1.000
04-08-2020,21,0,0,0,+0,1.000
04-09-2020,24,0,0,0,+3,1.143
04-10-2020,24,0,0,0,+0,1.000
04-11-2020,24,0,0,0,+0,1.000
04-12-2020,49,0,0,49,+25,2.042
04-13-2020,49,0,0,49,+0,1.000
04-14-2020,47,0,0,47,+-2,0.959
04-15-2020,52,0,0,52,+5,1.106
04-16-2020,71,0,0,71,+19,1.365
04-17-2020,71,0,0,71,+0,1.000
04-18-2020,87,0,0,87,+16,1.225
04-19-2020,95,0,0,95,+8,1.092
04-20-2020,101,0,0,101,+6,1.063
04-21-2020,112,0,0,112,+11,1.109
04-22-2020,131,0,0,131,+19,1.170
04-23-2020,130,0,0,130,+-1,0.992
04-24-2020,165,0,0,165,+35,1.269
04-25-2020,184,0,0,184,+19,1.115
04-26-2020,219,0,0,219,+35,1.190
04-27-2020,234,0,0,234,+15,1.068
04-28-2020,263,0,0,263,+29,1.124
04-29-2020,313,0,0,313,+50,1.190
04-30-2020,332,0,0,332,+19,1.061
05-01-2020,344,0,0,344,+12,1.036
05-02-2020,344,1,0,343,+0,1.000
05-03-2020,369,1,0,368,+25,1.073
05-04-2020,400,1,0,399,+31,1.084
05-05-2020,426,1,0,425,+26,1.065
05-06-2020,447,1,0,446,+21,1.049
05-07-2020,486,2,0,484,+39,1.087
05-08-2020,512,2,0,510,+26,1.053
05-09-2020,530,2,0,528,+18,1.035
05-10-2020,530,2,0,528,+0,1.000
05-11-2020,573,2,0,571,+43,1.081
05-12-2020,637,2,0,635,+64,1.112
05-13-2020,637,2,0,635,+0,1.000
05-14-2020,730,2,0,728,+93,1.146
05-15-2020,751,2,0,749,+21,1.029
05-16-2020,776,2,0,774,+25,1.033
05-17-2020,776,2,0,774,+0,1.000
05-18-2020,810,2,0,808,+34,1.044
05-19-2020,828,3,0,825,+18,1.022
05-20-2020,863,3,0,860,+35,1.042
05-21-2020,878,5,0,873,+15,1.017
05-22-2020,906,5,0,901,+28,1.032
05-23-2020,920,5,0,915,+14,1.015
05-24-2020,920,5,0,915,+0,1.000
05-25-2020,920,5,0,915,+0,1.000
05-26-2020,949,5,0,944,+29,1.032
05-27-2020,950,5,0,945,+1,1.001
05-28-2020,964,6,0,958,+14,1.015
05-29-2020,995,6,0,989,+31,1.032
05-30-2020,1007,6,0,1001,+12,1.012
05-31-2020,1007,6,0,1001,+0,1.000
06-01-2020,1038,6,0,1032,+31,1.031
06-02-2020,1045,6,0,1039,+7,1.007
06-03-2020,1067,6,0,1061,+22,1.021
