Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,9,0,0,0,+0,0.000
03-23-2020,12,0,0,0,+3,1.333
03-24-2020,15,0,0,0,+3,1.250
03-25-2020,18,0,0,0,+3,1.200
03-26-2020,31,0,0,0,+13,1.722
03-27-2020,38,0,0,0,+7,1.226
03-28-2020,51,0,0,0,+13,1.342
03-29-2020,56,1,0,0,+5,1.098
03-30-2020,68,1,0,0,+12,1.214
03-31-2020,76,0,0,0,+8,1.118
04-01-2020,96,3,0,0,+20,1.263
04-02-2020,116,3,0,0,+20,1.208
04-03-2020,149,3,0,0,+33,1.284
04-04-2020,182,6,0,0,+33,1.221
04-05-2020,195,6,0,0,+13,1.071
04-06-2020,215,7,0,0,+20,1.103
04-07-2020,255,7,0,0,+40,1.186
04-08-2020,289,9,0,0,+34,1.133
04-09-2020,319,9,0,0,+30,1.104
04-10-2020,337,15,0,0,+18,1.056
04-11-2020,362,18,0,0,+25,1.074
04-12-2020,395,22,0,373,+33,1.091
04-13-2020,416,24,0,392,+21,1.053
04-14-2020,442,25,0,417,+26,1.062
04-15-2020,468,30,0,438,+26,1.059
04-16-2020,501,33,0,468,+33,1.071
04-17-2020,521,36,0,485,+20,1.040
04-18-2020,543,39,0,504,+22,1.042
04-19-2020,592,44,0,548,+49,1.090
04-20-2020,613,47,0,566,+21,1.035
04-21-2020,613,47,0,566,+0,1.000
04-22-2020,689,55,0,634,+76,1.124
04-23-2020,719,60,0,659,+30,1.044
04-24-2020,729,61,0,668,+10,1.014
04-25-2020,750,63,0,687,+21,1.029
04-26-2020,778,65,0,713,+28,1.037
04-27-2020,810,67,0,743,+32,1.041
04-28-2020,848,71,0,777,+38,1.047
04-29-2020,880,81,0,799,+32,1.038
04-30-2020,903,82,0,821,+23,1.026
05-01-2020,920,83,0,837,+17,1.019
05-02-2020,941,84,0,857,+21,1.023
05-03-2020,957,86,0,871,+16,1.017
05-04-2020,977,87,0,890,+20,1.021
05-05-2020,982,91,0,891,+5,1.005
05-06-2020,993,94,0,899,+11,1.011
05-07-2020,1004,99,0,905,+11,1.011
05-08-2020,1034,101,0,933,+30,1.030
05-09-2020,1040,103,0,937,+6,1.006
05-10-2020,1044,104,0,940,+4,1.004
05-11-2020,1047,104,0,943,+3,1.003
05-12-2020,1061,108,0,953,+14,1.013
05-13-2020,1066,114,0,952,+5,1.005
05-14-2020,1068,115,0,953,+2,1.002
05-15-2020,1072,118,0,954,+4,1.004
05-16-2020,1077,118,0,959,+5,1.005
05-17-2020,1078,120,0,958,+1,1.001
05-18-2020,1086,121,0,965,+8,1.007
05-19-2020,1091,121,0,970,+5,1.005
05-20-2020,1100,122,0,978,+9,1.008
05-21-2020,1111,123,0,988,+11,1.010
05-22-2020,1118,123,0,995,+7,1.006
05-23-2020,1119,126,0,993,+1,1.001
05-24-2020,1125,126,0,999,+6,1.005
05-25-2020,1132,126,0,1006,+7,1.006
05-26-2020,1136,128,0,1008,+4,1.004
05-27-2020,1145,129,0,1016,+9,1.008
05-28-2020,1146,129,0,1017,+1,1.001
05-29-2020,1153,131,0,1022,+7,1.006
05-30-2020,1162,131,0,1031,+9,1.008
05-31-2020,1160,131,0,1029,+-2,0.998
06-01-2020,1165,132,0,1033,+5,1.004
06-02-2020,1173,132,0,1041,+8,1.007
06-03-2020,1182,132,0,1050,+9,1.008
