Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,25,0,0,0,+0,0.000
03-23-2020,25,0,0,0,+0,1.000
03-24-2020,44,0,0,0,+19,1.760
03-25-2020,50,0,0,0,+6,1.136
03-26-2020,57,0,0,0,+7,1.140
03-27-2020,67,0,0,0,+10,1.175
03-28-2020,75,0,0,0,+8,1.119
03-29-2020,107,1,0,0,+32,1.427
03-30-2020,111,1,0,0,+4,1.037
03-31-2020,121,3,0,0,+10,1.090
04-01-2020,143,3,0,0,+22,1.182
04-02-2020,163,4,0,0,+20,1.140
04-03-2020,184,4,0,0,+21,1.129
04-04-2020,245,4,0,0,+61,1.332
04-05-2020,264,4,0,0,+19,1.078
04-06-2020,264,4,0,0,+0,1.000
04-07-2020,309,5,0,0,+45,1.170
04-08-2020,326,6,0,0,+17,1.055
04-09-2020,326,8,0,0,+0,1.000
04-10-2020,363,10,0,0,+37,1.113
04-11-2020,389,10,0,0,+26,1.072
04-12-2020,415,11,0,404,+26,1.067
04-13-2020,461,12,0,449,+46,1.111
04-14-2020,532,12,0,520,+71,1.154
04-15-2020,549,14,0,535,+17,1.032
04-16-2020,549,14,0,535,+0,1.000
04-17-2020,572,15,0,557,+23,1.042
04-18-2020,588,16,0,572,+16,1.028
04-19-2020,637,18,0,619,+49,1.083
04-20-2020,662,18,0,644,+25,1.039
04-21-2020,662,18,0,644,+0,1.000
04-22-2020,710,18,0,692,+48,1.073
04-23-2020,736,22,0,714,+26,1.037
04-24-2020,736,22,0,714,+0,1.000
04-25-2020,791,27,0,764,+55,1.075
04-26-2020,804,27,0,777,+13,1.016
04-27-2020,804,27,0,777,+0,1.000
04-28-2020,834,29,0,805,+30,1.037
04-29-2020,848,30,0,818,+14,1.017
04-30-2020,873,30,0,843,+25,1.029
05-01-2020,921,33,0,888,+48,1.055
05-02-2020,949,33,0,916,+28,1.030
05-03-2020,977,33,0,944,+28,1.030
05-04-2020,988,34,0,954,+11,1.011
05-05-2020,1014,36,0,978,+26,1.026
05-06-2020,1022,37,0,985,+8,1.008
05-07-2020,1030,38,0,992,+8,1.008
05-08-2020,1065,39,0,1026,+35,1.034
05-09-2020,1077,39,0,1038,+12,1.011
05-10-2020,1095,39,0,1056,+18,1.017
05-11-2020,1100,39,0,1061,+5,1.005
05-12-2020,1116,40,0,1076,+16,1.015
05-13-2020,1132,43,0,1089,+16,1.014
05-14-2020,1154,45,0,1109,+22,1.019
05-15-2020,1190,46,0,1144,+36,1.031
05-16-2020,1190,46,0,1144,+0,1.000
05-17-2020,1256,47,0,1209,+66,1.055
05-18-2020,1266,48,0,1218,+10,1.008
05-19-2020,1295,48,0,1247,+29,1.023
05-20-2020,1395,48,0,1347,+100,1.077
05-21-2020,1316,48,0,1268,+-79,0.943
05-22-2020,1356,48,0,1308,+40,1.030
05-23-2020,1356,49,0,1307,+0,1.000
05-24-2020,1378,48,0,1330,+22,1.016
05-25-2020,1405,54,0,1351,+27,1.020
05-26-2020,1459,54,0,1405,+54,1.038
05-27-2020,1485,54,0,1431,+26,1.018
05-28-2020,1514,55,0,1459,+29,1.020
05-29-2020,1531,55,0,1476,+17,1.011
05-30-2020,1548,59,0,1489,+17,1.011
05-31-2020,1577,59,0,1518,+29,1.019
06-01-2020,1585,59,0,1526,+8,1.005
06-02-2020,1606,59,0,1547,+21,1.013
06-03-2020,1618,61,0,1557,+12,1.007
