Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,35,0,0,0,+0,0.000
03-23-2020,42,0,0,0,+7,1.200
03-24-2020,50,3,0,0,+8,1.190
03-25-2020,72,3,0,0,+22,1.440
03-26-2020,92,3,0,0,+20,1.278
03-27-2020,150,3,0,0,+58,1.630
03-28-2020,185,3,0,0,+35,1.233
03-29-2020,233,5,0,0,+48,1.259
03-30-2020,266,6,0,0,+33,1.142
03-31-2020,305,7,0,0,+39,1.147
04-01-2020,401,8,0,0,+96,1.315
04-02-2020,438,8,0,0,+37,1.092
04-03-2020,477,8,0,0,+39,1.089
04-04-2020,501,8,0,0,+24,1.050
04-05-2020,518,8,0,0,+17,1.034
04-06-2020,539,10,0,0,+21,1.041
04-07-2020,559,11,0,0,+20,1.037
04-08-2020,610,13,0,0,+51,1.091
04-09-2020,637,15,0,0,+27,1.044
04-10-2020,659,15,0,0,+22,1.035
04-11-2020,685,18,0,0,+26,1.039
04-12-2020,716,18,0,698,+31,1.045
04-13-2020,736,18,0,718,+20,1.028
04-14-2020,772,21,0,751,+36,1.049
04-15-2020,798,24,0,774,+26,1.034
04-16-2020,826,25,0,801,+28,1.035
04-17-2020,855,25,0,830,+29,1.035
04-18-2020,870,29,0,841,+15,1.018
04-19-2020,870,30,0,840,+0,1.000
04-20-2020,878,31,0,847,+8,1.009
04-21-2020,900,38,0,862,+22,1.025
04-22-2020,912,40,0,872,+12,1.013
04-23-2020,960,42,0,918,+48,1.053
04-24-2020,974,47,0,927,+14,1.015
04-25-2020,1002,50,0,952,+28,1.029
04-26-2020,1001,50,0,951,+-1,0.999
04-27-2020,1004,55,0,949,+3,1.003
04-28-2020,1033,56,0,977,+29,1.029
04-29-2020,1049,59,0,990,+16,1.015
04-30-2020,1075,61,0,1014,+26,1.025
05-01-2020,1091,66,0,1025,+16,1.015
05-02-2020,1101,70,0,1031,+10,1.009
05-03-2020,1113,71,0,1042,+12,1.011
05-04-2020,1118,76,0,1042,+5,1.004
05-05-2020,1123,76,0,1047,+5,1.004
05-06-2020,1129,77,0,1052,+6,1.005
05-07-2020,1140,77,0,1063,+11,1.010
05-08-2020,1160,80,0,1080,+20,1.018
05-09-2020,1176,81,0,1095,+16,1.014
05-10-2020,1182,81,0,1101,+6,1.005
05-11-2020,1192,81,0,1111,+10,1.008
05-12-2020,1206,82,0,1124,+14,1.012
05-13-2020,1210,83,0,1127,+4,1.003
05-14-2020,1231,86,0,1145,+21,1.017
05-15-2020,1236,87,0,1149,+5,1.004
05-16-2020,1241,88,0,1153,+5,1.004
05-17-2020,1242,88,0,1154,+1,1.001
05-18-2020,1245,89,0,1156,+3,1.002
05-19-2020,1251,89,0,1162,+6,1.005
05-20-2020,1261,90,0,1171,+10,1.008
05-21-2020,1265,95,0,1170,+4,1.003
05-22-2020,1275,96,0,1179,+10,1.008
05-23-2020,1282,96,0,1186,+7,1.005
05-24-2020,1294,96,0,1198,+12,1.009
05-25-2020,1298,96,0,1202,+4,1.003
05-26-2020,1301,96,0,1205,+3,1.002
05-27-2020,1305,97,0,1208,+4,1.003
05-28-2020,1313,100,0,1213,+8,1.006
05-29-2020,1318,100,0,1218,+5,1.004
05-30-2020,1331,100,0,1231,+13,1.010
05-31-2020,1336,99,0,1237,+5,1.004
06-01-2020,1337,99,0,1238,+1,1.001
06-02-2020,1340,99,0,1241,+3,1.002
06-03-2020,1341,100,0,1241,+1,1.001
