Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,1,0,0,0,+0,0.000
03-23-2020,1,0,0,0,+0,1.000
03-24-2020,2,0,0,0,+1,2.000
03-25-2020,3,0,0,0,+1,1.500
03-26-2020,3,0,0,0,+0,1.000
03-27-2020,3,0,0,0,+0,1.000
03-28-2020,3,0,0,0,+0,1.000
03-29-2020,3,0,0,0,+0,1.000
03-30-2020,4,0,0,0,+1,1.333
03-31-2020,5,0,0,0,+1,1.250
04-01-2020,5,0,0,0,+0,1.000
04-02-2020,7,0,0,0,+2,1.400
04-03-2020,11,0,0,0,+4,1.571
04-04-2020,12,0,0,0,+1,1.091
04-05-2020,15,0,0,0,+3,1.250
04-06-2020,23,0,0,0,+8,1.533
04-07-2020,32,0,0,0,+9,1.391
04-08-2020,34,0,0,0,+2,1.062
04-09-2020,47,0,0,0,+13,1.382
04-10-2020,52,1,0,0,+5,1.106
04-11-2020,69,1,0,0,+17,1.327
04-12-2020,69,1,0,68,+0,1.000
04-13-2020,72,0,0,72,+3,1.043
04-14-2020,78,2,0,76,+6,1.083
04-15-2020,87,2,0,85,+9,1.115
04-16-2020,103,4,0,99,+16,1.184
04-17-2020,246,4,0,242,+143,2.388
04-18-2020,378,4,0,374,+132,1.537
04-19-2020,463,4,0,459,+85,1.225
04-20-2020,572,4,0,568,+109,1.235
04-21-2020,581,6,0,575,+9,1.016
04-22-2020,585,6,0,579,+4,1.007
04-23-2020,597,6,0,591,+12,1.021
04-24-2020,603,6,0,597,+6,1.010
04-25-2020,618,8,0,610,+15,1.025
04-26-2020,630,8,0,622,+12,1.019
04-27-2020,635,10,0,625,+5,1.008
04-28-2020,641,10,0,631,+6,1.009
04-29-2020,651,10,0,641,+10,1.016
04-30-2020,655,10,0,645,+4,1.006
05-01-2020,658,11,0,647,+3,1.005
05-02-2020,674,11,0,663,+16,1.024
05-03-2020,677,11,0,666,+3,1.004
05-04-2020,685,11,0,674,+8,1.012
05-05-2020,688,12,0,676,+3,1.004
05-06-2020,688,12,0,676,+0,1.000
05-07-2020,699,12,0,687,+11,1.016
05-08-2020,715,12,0,703,+16,1.023
05-09-2020,726,13,0,713,+11,1.015
05-10-2020,743,13,0,730,+17,1.023
05-11-2020,752,13,0,739,+9,1.012
05-12-2020,755,13,0,742,+3,1.004
05-13-2020,760,13,0,747,+5,1.007
05-14-2020,775,14,0,761,+15,1.020
05-15-2020,801,15,0,786,+26,1.034
05-16-2020,819,15,0,804,+18,1.022
05-17-2020,832,15,0,817,+13,1.016
05-18-2020,867,15,0,852,+35,1.042
05-19-2020,867,15,0,852,+0,1.000
05-20-2020,888,16,0,872,+21,1.024
05-21-2020,888,16,0,872,+0,1.000
05-22-2020,949,18,0,931,+61,1.069
05-23-2020,980,18,0,962,+31,1.033
05-24-2020,1000,18,0,982,+20,1.020
05-25-2020,1031,18,0,1013,+31,1.031
05-26-2020,1031,18,0,1013,+0,1.000
05-27-2020,1047,20,0,1027,+16,1.016
05-28-2020,1061,22,0,1039,+14,1.013
05-29-2020,1088,20,0,1068,+27,1.025
05-30-2020,1112,20,0,1092,+24,1.022
05-31-2020,1138,20,0,1118,+26,1.023
06-01-2020,1169,20,0,1149,+31,1.027
06-02-2020,1179,20,0,1159,+10,1.009
06-03-2020,1188,20,0,1168,+9,1.008
