Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,4,0,0,0,+0,0.000
03-23-2020,4,0,0,0,+0,1.000
03-24-2020,4,0,0,0,+0,1.000
03-25-2020,9,0,0,0,+5,2.250
03-26-2020,11,0,0,0,+2,1.222
03-27-2020,19,0,0,0,+8,1.727
03-28-2020,25,0,0,0,+6,1.316
03-29-2020,30,0,0,0,+5,1.200
03-30-2020,35,1,0,0,+5,1.167
03-31-2020,45,2,0,0,+10,1.286
04-01-2020,45,2,0,0,+0,1.000
04-02-2020,63,4,0,0,+18,1.400
04-03-2020,65,5,0,0,+2,1.032
04-04-2020,83,5,0,0,+18,1.277
04-05-2020,98,6,0,0,+15,1.181
04-06-2020,122,6,0,0,+24,1.245
04-07-2020,122,6,0,0,+0,1.000
04-08-2020,135,6,0,0,+13,1.107
04-09-2020,155,6,0,0,+20,1.148
04-10-2020,166,6,0,0,+11,1.071
04-11-2020,171,6,0,0,+5,1.030
04-12-2020,191,6,0,185,+20,1.117
04-13-2020,196,8,0,188,+5,1.026
04-14-2020,206,8,0,198,+10,1.051
04-15-2020,223,8,0,215,+17,1.083
04-16-2020,239,10,0,229,+16,1.072
04-17-2020,245,11,0,234,+6,1.025
04-18-2020,253,11,0,242,+8,1.033
04-19-2020,267,11,0,256,+14,1.055
04-20-2020,280,11,0,269,+13,1.049
04-21-2020,281,11,0,270,+1,1.004
