Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,37,1,0,0,+0,0.000
03-23-2020,50,2,0,0,+13,1.351
03-24-2020,50,2,0,0,+0,1.000
03-25-2020,87,4,0,0,+37,1.740
03-26-2020,107,4,0,0,+20,1.230
03-27-2020,107,4,0,0,+0,1.000
03-28-2020,129,6,0,0,+22,1.206
03-29-2020,180,9,0,0,+51,1.395
03-30-2020,180,9,0,0,+0,1.000
03-31-2020,255,12,0,0,+75,1.417
04-01-2020,255,12,0,0,+0,1.000
04-02-2020,293,13,0,0,+38,1.149
04-03-2020,329,16,0,0,+36,1.123
04-04-2020,379,16,0,0,+50,1.152
04-05-2020,470,24,0,0,+91,1.240
04-06-2020,504,26,0,0,+34,1.072
04-07-2020,537,26,0,0,+33,1.065
04-08-2020,573,30,0,0,+36,1.067
04-09-2020,573,30,0,0,+0,1.000
04-10-2020,614,30,0,0,+41,1.072
04-11-2020,649,40,0,0,+35,1.057
04-12-2020,738,48,0,690,+89,1.137
04-13-2020,808,53,0,755,+70,1.095
04-14-2020,858,55,0,803,+50,1.062
04-15-2020,858,55,0,803,+0,1.000
04-16-2020,928,57,0,871,+70,1.082
04-17-2020,960,60,0,900,+32,1.034
04-18-2020,986,61,0,925,+26,1.027
04-19-2020,1063,64,0,999,+77,1.078
04-20-2020,1063,64,0,999,+0,1.000
04-21-2020,1180,69,0,1111,+117,1.110
