Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,1873,0,0,0,+0,0.000
03-23-2020,2894,0,0,0,+1021,1.545
03-24-2020,3891,1,0,0,+997,1.345
03-25-2020,4691,1,0,0,+800,1.206
03-26-2020,5944,1,0,0,+1253,1.267
03-27-2020,7187,1,0,0,+1243,1.209
03-28-2020,7875,10,0,0,+688,1.096
03-29-2020,8519,10,0,0,+644,1.082
03-30-2020,9326,10,0,0,+807,1.095
03-31-2020,9967,10,0,0,+641,1.069
04-01-2020,10683,25,0,0,+716,1.072
04-02-2020,11567,64,0,0,+884,1.083
04-03-2020,12351,67,0,0,+784,1.068
