Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,9,0,0,0,+0,0.000
03-23-2020,14,0,0,0,+5,1.556
03-24-2020,14,0,0,0,+0,1.000
03-25-2020,22,0,0,0,+8,1.571
03-26-2020,27,0,0,0,+5,1.227
03-27-2020,34,0,0,0,+7,1.259
03-28-2020,34,0,0,0,+0,1.000
03-29-2020,37,1,0,0,+3,1.088
03-30-2020,37,1,0,0,+0,1.000
03-31-2020,42,1,0,0,+5,1.135
04-01-2020,50,1,0,0,+8,1.190
04-02-2020,63,1,0,0,+13,1.260
04-03-2020,71,1,0,0,+8,1.127
04-04-2020,71,1,0,0,+0,1.000
04-05-2020,77,2,0,0,+6,1.085
04-06-2020,77,2,0,0,+0,1.000
04-07-2020,81,3,0,0,+4,1.052
04-08-2020,87,4,0,0,+6,1.074
04-09-2020,97,4,0,0,+10,1.115
04-10-2020,103,4,0,0,+6,1.062
04-11-2020,110,4,0,0,+7,1.068
04-12-2020,113,4,0,109,+3,1.027
04-13-2020,117,4,0,113,+4,1.035
04-14-2020,119,4,0,115,+2,1.017
04-15-2020,124,4,0,120,+5,1.042
04-16-2020,128,4,0,124,+4,1.032
04-17-2020,140,4,0,136,+12,1.094
04-18-2020,146,4,0,142,+6,1.043
04-19-2020,151,4,0,147,+5,1.034
04-20-2020,155,4,0,151,+4,1.026
04-21-2020,156,4,0,152,+1,1.006
04-22-2020,158,5,0,153,+2,1.013
04-23-2020,167,5,0,162,+9,1.057
04-24-2020,182,5,0,177,+15,1.090
04-25-2020,206,5,0,201,+24,1.132
04-26-2020,211,6,0,205,+5,1.024
04-27-2020,262,6,0,256,+51,1.242
04-28-2020,287,6,0,281,+25,1.095
04-29-2020,287,7,0,280,+0,1.000
04-30-2020,301,9,0,292,+14,1.049
05-01-2020,306,10,0,296,+5,1.017
05-02-2020,313,10,0,303,+7,1.023
05-03-2020,323,10,0,313,+10,1.032
05-04-2020,328,10,0,318,+5,1.015
05-05-2020,333,11,0,322,+5,1.015
05-06-2020,341,12,0,329,+8,1.024
05-07-2020,352,12,0,340,+11,1.032
05-08-2020,361,12,0,349,+9,1.026
05-09-2020,368,13,0,355,+7,1.019
05-10-2020,377,13,0,364,+9,1.024
05-11-2020,380,14,0,366,+3,1.008
05-12-2020,397,16,0,381,+17,1.045
05-13-2020,424,16,0,408,+27,1.068
05-14-2020,442,19,0,423,+18,1.042
05-15-2020,451,19,0,432,+9,1.020
05-16-2020,463,19,0,444,+12,1.027
05-17-2020,481,19,0,462,+18,1.039
05-18-2020,486,19,0,467,+5,1.010
05-19-2020,501,20,0,481,+15,1.031
05-20-2020,513,20,0,493,+12,1.024
05-21-2020,520,20,0,500,+7,1.014
05-22-2020,528,21,0,507,+8,1.015
05-23-2020,541,21,0,520,+13,1.025
05-24-2020,553,21,0,532,+12,1.022
05-25-2020,565,22,0,543,+12,1.022
05-26-2020,584,22,0,562,+19,1.034
05-27-2020,588,22,0,566,+4,1.007
05-28-2020,596,23,0,573,+8,1.014
05-29-2020,605,24,0,581,+9,1.015
05-30-2020,612,24,0,588,+7,1.012
05-31-2020,621,24,0,597,+9,1.015
06-01-2020,630,25,0,605,+9,1.014
06-02-2020,636,25,0,611,+6,1.010
06-03-2020,649,25,0,624,+13,1.020
