Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,4,0,0,0,+0,0.000
03-23-2020,5,0,0,0,+1,1.250
03-24-2020,5,0,0,0,+0,1.000
03-25-2020,7,0,0,0,+2,1.400
03-26-2020,7,0,0,0,+0,1.000
03-27-2020,8,0,0,0,+1,1.143
03-28-2020,9,0,0,0,+1,1.125
03-29-2020,12,0,0,0,+3,1.333
03-30-2020,13,0,0,0,+1,1.083
03-31-2020,15,0,0,0,+2,1.154
04-01-2020,18,1,0,0,+3,1.200
04-02-2020,24,1,0,0,+6,1.333
04-03-2020,28,1,0,0,+4,1.167
04-04-2020,36,1,0,0,+8,1.286
04-05-2020,42,1,0,0,+6,1.167
04-06-2020,49,1,0,0,+7,1.167
04-07-2020,49,1,0,0,+0,1.000
04-08-2020,63,3,0,0,+14,1.286
04-09-2020,63,3,0,0,+0,1.000
04-10-2020,77,3,0,0,+14,1.222
04-11-2020,80,4,0,0,+3,1.039
04-12-2020,94,4,0,90,+14,1.175
04-13-2020,99,4,0,95,+5,1.053
04-14-2020,101,4,0,97,+2,1.020
04-15-2020,112,4,0,108,+11,1.109
04-16-2020,121,4,0,117,+9,1.080
04-17-2020,145,4,0,141,+24,1.198
04-18-2020,172,4,0,168,+27,1.186
04-19-2020,178,4,0,174,+6,1.035
04-20-2020,195,4,0,191,+17,1.096
04-21-2020,207,5,0,202,+12,1.062
04-22-2020,238,5,0,233,+31,1.150
04-23-2020,252,7,0,245,+14,1.059
04-24-2020,279,7,0,272,+27,1.107
04-25-2020,302,8,0,294,+23,1.082
04-26-2020,318,8,0,310,+16,1.053
04-27-2020,343,8,0,335,+25,1.079
04-28-2020,365,10,0,355,+22,1.064
04-29-2020,392,10,0,382,+27,1.074
04-30-2020,442,11,0,431,+50,1.128
05-01-2020,485,11,0,474,+43,1.097
05-02-2020,521,11,0,510,+36,1.074
05-03-2020,579,16,0,563,+58,1.111
05-04-2020,638,18,0,620,+59,1.102
05-05-2020,649,19,0,630,+11,1.017
05-06-2020,696,20,0,676,+47,1.072
05-07-2020,759,21,0,738,+63,1.091
05-08-2020,830,21,0,809,+71,1.094
05-09-2020,877,24,0,853,+47,1.057
05-10-2020,917,25,0,892,+40,1.046
05-11-2020,932,25,0,907,+15,1.016
05-12-2020,1159,28,0,1131,+227,1.244
05-13-2020,1208,32,0,1176,+49,1.042
05-14-2020,1337,32,0,1305,+129,1.107
05-15-2020,1390,33,0,1357,+53,1.040
05-16-2020,1436,34,0,1402,+46,1.033
05-17-2020,1490,35,0,1455,+54,1.038
05-18-2020,1537,37,0,1500,+47,1.032
05-19-2020,1564,39,0,1525,+27,1.018
05-20-2020,1615,40,0,1575,+51,1.033
05-21-2020,1681,44,0,1637,+66,1.041
05-22-2020,1780,46,0,1734,+99,1.059
05-23-2020,1838,49,0,1789,+58,1.033
05-24-2020,1925,50,0,1875,+87,1.047
05-25-2020,1953,51,0,1902,+28,1.015
05-26-2020,1993,51,0,1942,+40,1.020
05-27-2020,2001,52,0,1949,+8,1.004
05-28-2020,2091,53,0,2038,+90,1.045
05-29-2020,2156,54,0,2102,+65,1.031
05-30-2020,2209,55,0,2154,+53,1.025
05-31-2020,2251,55,0,2196,+42,1.019
06-01-2020,2290,55,0,2235,+39,1.017
06-02-2020,2313,56,0,2257,+23,1.010
06-03-2020,2354,57,0,2297,+41,1.018
