Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,1,0,0,0,+0,0.000
03-23-2020,2,0,0,0,+1,2.000
03-24-2020,2,0,0,0,+0,1.000
03-25-2020,2,0,0,0,+0,1.000
03-26-2020,2,0,0,0,+0,1.000
03-27-2020,3,0,0,0,+1,1.500
03-28-2020,3,0,0,0,+0,1.000
03-29-2020,4,0,0,0,+1,1.333
03-30-2020,4,0,0,0,+0,1.000
03-31-2020,4,0,0,0,+0,1.000
04-01-2020,4,0,0,0,+0,1.000
04-02-2020,7,0,0,0,+3,1.750
04-03-2020,8,0,0,0,+1,1.143
04-04-2020,8,0,0,0,+0,1.000
04-05-2020,8,0,0,0,+0,1.000
04-06-2020,8,0,0,0,+0,1.000
04-07-2020,9,0,0,0,+1,1.125
04-08-2020,11,0,0,0,+2,1.222
04-09-2020,12,0,0,0,+1,1.091
04-10-2020,15,0,0,0,+3,1.250
04-11-2020,18,0,0,0,+3,1.200
04-12-2020,18,0,0,18,+0,1.000
04-13-2020,19,0,0,19,+1,1.056
04-14-2020,20,0,0,20,+1,1.053
04-15-2020,21,0,0,21,+1,1.050
04-16-2020,22,0,0,22,+1,1.048
04-17-2020,25,0,0,25,+3,1.136
04-18-2020,35,0,0,35,+10,1.400
04-19-2020,37,0,0,37,+2,1.057
04-20-2020,44,0,0,44,+7,1.189
04-21-2020,81,0,0,81,+37,1.841
04-22-2020,100,1,0,99,+19,1.235
04-23-2020,120,1,0,119,+20,1.200
04-24-2020,189,1,0,188,+69,1.575
04-25-2020,316,1,0,315,+127,1.672
04-26-2020,409,1,0,408,+93,1.294
04-27-2020,495,1,0,494,+86,1.210
04-28-2020,695,1,0,694,+200,1.404
04-29-2020,728,1,0,727,+33,1.047
04-30-2020,742,1,0,741,+14,1.019
05-01-2020,922,1,0,921,+180,1.243
05-02-2020,1074,2,0,1072,+152,1.165
05-03-2020,1112,2,0,1110,+38,1.035
05-04-2020,1152,2,0,1150,+40,1.036
05-05-2020,1296,3,0,1293,+144,1.125
05-06-2020,1323,4,0,1319,+27,1.021
05-07-2020,1429,4,0,1425,+106,1.080
05-08-2020,1532,7,0,1525,+103,1.072
05-09-2020,1554,7,0,1547,+22,1.014
05-10-2020,1627,8,0,1619,+73,1.047
05-11-2020,1676,9,0,1667,+49,1.030
05-12-2020,1988,11,0,1977,+312,1.186
05-13-2020,2054,14,0,2040,+66,1.033
05-14-2020,2078,14,0,2064,+24,1.012
05-15-2020,2111,14,0,2097,+33,1.016
05-16-2020,2157,16,0,2141,+46,1.022
05-17-2020,2215,16,0,2199,+58,1.027
05-18-2020,2278,17,0,2261,+63,1.028
05-19-2020,2342,17,0,2325,+64,1.028
05-20-2020,2362,21,0,2341,+20,1.009
05-21-2020,2448,23,0,2425,+86,1.036
05-22-2020,2469,23,0,2446,+21,1.009
05-23-2020,2520,23,0,2497,+51,1.021
05-24-2020,2555,24,0,2531,+35,1.014
05-25-2020,2624,24,0,2600,+69,1.027
05-26-2020,2640,28,0,2612,+16,1.006
05-27-2020,2658,31,0,2627,+18,1.007
05-28-2020,2672,32,0,2640,+14,1.005
05-29-2020,2721,34,0,2687,+49,1.018
05-30-2020,2740,34,0,2706,+19,1.007
05-31-2020,2750,34,0,2716,+10,1.004
06-01-2020,2761,36,0,2725,+11,1.004
06-02-2020,2786,36,0,2750,+25,1.009
06-03-2020,2817,37,0,2780,+31,1.011
