Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,37,0,0,0,+0,0.000
03-23-2020,42,0,0,0,+5,1.135
03-24-2020,73,0,0,0,+31,1.738
03-25-2020,129,2,0,0,+56,1.767
03-26-2020,166,3,0,0,+37,1.287
03-27-2020,219,3,0,0,+53,1.319
03-28-2020,291,5,0,0,+72,1.329
03-29-2020,337,5,0,0,+46,1.158
03-30-2020,390,5,0,0,+53,1.157
03-31-2020,433,7,0,0,+43,1.110
04-01-2020,563,9,0,0,+130,1.300
04-02-2020,667,13,0,0,+104,1.185
04-03-2020,825,14,0,0,+158,1.237
04-04-2020,915,17,0,0,+90,1.109
04-05-2020,978,17,0,0,+63,1.069
04-06-2020,1077,18,0,0,+99,1.101
04-07-2020,1172,23,0,0,+95,1.088
04-08-2020,1296,29,0,0,+124,1.106
04-09-2020,1461,29,0,0,+165,1.127
04-10-2020,1678,29,0,0,+217,1.149
04-11-2020,1822,41,0,0,+144,1.086
04-12-2020,2032,49,0,1983,+210,1.115
04-13-2020,2128,49,0,2079,+96,1.047
04-14-2020,2246,49,0,2197,+118,1.055
04-15-2020,2350,74,0,2276,+104,1.046
04-16-2020,2503,74,0,2429,+153,1.065
04-17-2020,2765,84,0,2681,+262,1.105
04-18-2020,2952,92,0,2860,+187,1.068
04-19-2020,3069,114,0,2955,+117,1.040
04-20-2020,3069,114,0,2955,+0,1.000
04-21-2020,3341,133,0,3208,+272,1.089
