Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,14,1,0,0,+0,0.000
03-23-2020,16,1,0,0,+2,1.143
03-24-2020,22,1,0,0,+6,1.375
03-25-2020,27,2,0,0,+5,1.227
03-26-2020,34,2,0,0,+7,1.259
03-27-2020,43,3,0,0,+9,1.265
03-28-2020,53,3,0,0,+10,1.233
03-29-2020,55,4,0,0,+2,1.038
03-30-2020,67,4,0,0,+12,1.218
03-31-2020,79,4,0,0,+12,1.179
04-01-2020,93,4,0,0,+14,1.177
04-02-2020,106,4,0,0,+13,1.140
04-03-2020,137,6,0,0,+31,1.292
04-04-2020,149,6,0,0,+12,1.088
04-05-2020,158,6,0,0,+9,1.060
04-06-2020,186,6,0,0,+28,1.177
04-07-2020,195,10,0,0,+9,1.048
04-08-2020,245,12,0,0,+50,1.256
04-09-2020,272,13,0,0,+27,1.110
04-10-2020,272,13,0,0,+0,1.000
04-11-2020,315,20,0,0,+43,1.158
04-12-2020,332,24,0,308,+17,1.054
04-13-2020,337,28,0,309,+5,1.015
04-14-2020,345,30,0,315,+8,1.024
04-15-2020,363,31,0,332,+18,1.052
04-16-2020,379,34,0,345,+16,1.044
04-17-2020,400,35,0,365,+21,1.055
04-18-2020,412,35,0,377,+12,1.030
04-19-2020,417,37,0,380,+5,1.012
04-20-2020,427,44,0,383,+10,1.024
04-21-2020,433,45,0,388,+6,1.014
04-22-2020,473,47,0,426,+40,1.092
04-23-2020,490,47,0,443,+17,1.036
04-24-2020,527,49,0,478,+37,1.076
04-25-2020,555,50,0,505,+28,1.053
04-26-2020,565,51,0,514,+10,1.018
04-27-2020,573,53,0,520,+8,1.014
04-28-2020,585,53,0,532,+12,1.021
04-29-2020,619,55,0,564,+34,1.058
04-30-2020,677,55,0,622,+58,1.094
05-01-2020,710,55,0,655,+33,1.049
05-02-2020,762,55,0,707,+52,1.073
05-03-2020,826,55,0,771,+64,1.084
05-04-2020,879,61,0,818,+53,1.064
05-05-2020,896,64,0,832,+17,1.019
05-06-2020,910,64,0,846,+14,1.016
05-07-2020,942,64,0,878,+32,1.035
05-08-2020,1000,64,0,936,+58,1.062
05-09-2020,1045,64,0,981,+45,1.045
05-10-2020,1078,64,0,1014,+33,1.032
05-11-2020,1086,65,0,1021,+8,1.007
05-12-2020,1086,65,0,1021,+0,1.000
05-13-2020,1098,66,0,1032,+12,1.011
05-14-2020,1114,67,0,1047,+16,1.015
05-15-2020,1129,69,0,1060,+15,1.013
05-16-2020,1153,70,0,1083,+24,1.021
05-17-2020,1154,70,0,1084,+1,1.001
05-18-2020,1166,70,0,1096,+12,1.010
05-19-2020,1174,70,0,1104,+8,1.007
05-20-2020,1189,71,0,1118,+15,1.013
05-21-2020,1213,71,0,1142,+24,1.020
05-22-2020,1236,71,0,1165,+23,1.019
05-23-2020,1255,71,0,1184,+19,1.015
05-24-2020,1263,71,0,1192,+8,1.006
05-25-2020,1275,72,0,1203,+12,1.010
05-26-2020,1275,72,0,1203,+0,1.000
05-27-2020,1281,72,0,1209,+6,1.005
05-28-2020,1308,73,0,1235,+27,1.021
05-29-2020,1335,73,0,1262,+27,1.021
05-30-2020,1337,73,0,1264,+2,1.001
05-31-2020,1337,73,0,1264,+0,1.000
06-01-2020,1359,74,0,1285,+22,1.016
06-02-2020,1375,74,0,1301,+16,1.012
06-03-2020,1419,74,0,1345,+44,1.032
