Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,16,0,0,0,+0,0.000
03-23-2020,16,0,0,0,+0,1.000
03-24-2020,25,0,0,0,+9,1.562
03-25-2020,47,1,0,0,+22,1.880
03-26-2020,61,2,0,0,+14,1.298
03-27-2020,66,2,0,0,+5,1.082
03-28-2020,82,2,0,0,+16,1.242
03-29-2020,140,2,0,0,+58,1.707
03-30-2020,147,3,0,0,+7,1.050
03-31-2020,161,3,0,0,+14,1.095
04-01-2020,161,3,0,0,+0,1.000
04-02-2020,224,6,0,0,+63,1.391
04-03-2020,240,6,0,0,+16,1.071
04-04-2020,289,7,0,0,+49,1.204
04-05-2020,326,9,0,0,+37,1.128
04-06-2020,363,12,0,0,+37,1.113
04-07-2020,380,12,0,0,+17,1.047
04-08-2020,400,17,0,0,+20,1.053
04-09-2020,433,18,0,0,+33,1.083
04-10-2020,447,19,0,0,+14,1.032
04-11-2020,511,20,0,0,+64,1.143
04-12-2020,535,21,0,514,+24,1.047
04-13-2020,538,21,0,517,+3,1.006
04-14-2020,614,25,0,589,+76,1.141
04-15-2020,635,29,0,606,+21,1.034
04-16-2020,674,29,0,645,+39,1.061
04-17-2020,707,29,0,678,+33,1.049
04-18-2020,759,34,0,725,+52,1.074
04-19-2020,804,36,0,768,+45,1.059
04-20-2020,835,36,0,799,+31,1.039
04-21-2020,868,38,0,830,+33,1.040
04-22-2020,886,38,0,848,+18,1.021
04-23-2020,879,41,0,838,+-7,0.992
04-24-2020,923,43,0,880,+44,1.050
04-25-2020,976,44,0,932,+53,1.057
04-26-2020,1015,44,0,971,+39,1.040
04-27-2020,1034,45,0,989,+19,1.019
04-28-2020,1046,45,0,1001,+12,1.012
04-29-2020,1082,47,0,1035,+36,1.034
04-30-2020,1128,47,0,1081,+46,1.043
05-01-2020,1203,47,0,1156,+75,1.066
05-02-2020,1272,47,0,1225,+69,1.057
05-03-2020,1296,47,0,1249,+24,1.019
05-04-2020,1372,48,0,1324,+76,1.059
05-05-2020,1389,52,0,1337,+17,1.012
05-06-2020,1449,52,0,1397,+60,1.043
05-07-2020,1547,57,0,1490,+98,1.068
05-08-2020,1579,58,0,1521,+32,1.021
05-09-2020,1686,59,0,1627,+107,1.068
05-10-2020,1781,59,0,1722,+95,1.056
05-11-2020,1864,62,0,1802,+83,1.047
05-12-2020,1916,65,0,1851,+52,1.028
05-13-2020,1946,68,0,1878,+30,1.016
05-14-2020,2002,71,0,1931,+56,1.029
05-15-2020,2052,72,0,1980,+50,1.025
05-16-2020,2217,74,0,2143,+165,1.080
05-17-2020,2253,75,0,2178,+36,1.016
05-18-2020,2370,75,0,2295,+117,1.052
05-19-2020,2444,81,0,2363,+74,1.031
05-20-2020,2518,82,0,2436,+74,1.030
05-21-2020,2551,83,0,2468,+33,1.013
05-22-2020,2594,83,0,2511,+43,1.017
05-23-2020,2594,83,0,2511,+0,1.000
05-24-2020,2812,87,0,2725,+218,1.084
05-25-2020,2958,91,0,2867,+146,1.052
05-26-2020,3008,91,0,2917,+50,1.017
05-27-2020,3048,91,0,2957,+40,1.013
05-28-2020,3231,93,0,3138,+183,1.060
05-29-2020,3369,94,0,3275,+138,1.043
05-30-2020,3458,95,0,3363,+89,1.026
05-31-2020,3585,95,0,3490,+127,1.037
06-01-2020,3749,95,0,3654,+164,1.046
06-02-2020,3817,96,0,3721,+68,1.018
06-03-2020,3938,97,0,3841,+121,1.032
